Question,CorrectAnswer,GivenAnswer,Correct
"Bimwe mu mazi ya Mars yafunzwe mu butaka kandi urubura rw'urubura kandi bimwe byazimiye bitewe no gukuraho umuyaga w'izuba ariko igice kinini cy'amazi y'umwimerere bivugwa ko yazimiye binyuze mu bundi buryo. Ni iki cyabaye kuri iyo ""mazi yazimiye""?
A.Ibyo byatumye igihugu cy'u Rwanda kigabanuka vuba cyane
B.Yagabanyijwe muri hydrogen na ogisijeni bitewe n'urumuri rwa ultraviolet kandi hydrogen yazimiye binyuze mu guhunga ubushyuhe
C.Yashowe n'umuntu ufite inyota y'umushoji
D.Icyo gihe yari afite umubyibuho ukabije kandi yatakaje umwanya kubera guhunga ubushyuhe",B,B.Yagabanyijwe muri hydrogen na ogisijeni bitewe n'urumuri rwa ultraviolet kandi hydrogen yazimiye binyuze mu guhunga ubushyuhe,B
"Abantu bakuze ni bo bafite imyaka myinshi kurusha abakuze cyangwa abakuze
A.Bye Bye Generative
B.Bye bye neurotic
C.agreeable
D.Nta gushidikanya",A,"D. Nta gushidikanya

Abantu bakuze ni bo bafite imyaka myinshi kurusha abakuze. ""Abantu bakuze"" bivuga abantu bafite imyaka myinshi, mu gihe ""abakuze"" bishobora kuvuga abantu bageze mu gihe cy'ubukure cyangwa bakuze mu buryo bw'imitekerereze n'imyitwarire.",D
"Mu gihe cy'itara rimwe, niba ari mu itara rimwe ni 2, ubu ni mu itara riri hafi y'itara riri hafi y'itara rimwe
A.Bye bye, 1 A
B.2:00 AM
C.3.Amatara ari hafi y'amatara ari hafi ya batterie
D.Nta makuru ahagije yo kuvuga",B,"D. Nta makuru ahagije yo kuvuga

Iyi nteruro ntabwo ifite amakuru ahagije cyangwa isobanuro rihagije kugira ngo tumenye neza icyo bivuga cyangwa icyo kibazo ari cyo. Birakenewe ko habaho ibisobanuro birambuye cyangwa amakuru y'inyongera kugira ngo tubashe gusubiza neza.",D
"Ni uwuhe mukinnyi w'umupira w'amaguru Antonio Banderas?
A.Icyesipanyolo
B.Ikirusiya
C.Ikidage
D.Igifaransa",A,"Antonio Banderas ntabwo ari umukinnyi w'umupira w'amaguru. Ni umunyamideli, umwanditsi w'ibitekerezo, umuyobozi wa filime, ndetse n'umukinnyi w'amafilime w'icyesipanyolo. Niba ushaka kumenya amakuru ku mukinnyi w'umupira w'amaguru, ushobora kumbaza undi mukinnyi runaka.",A
"Ni uruhe rurimi rwemewe n'amategeko rw'u Buholandi?
A.Ikinyadanimarike
B.Ikinyasuwede
C.Ikidage
D.Igiholandi",D,"D. Igiholandi

Igiholandi (cyangwa Ikinyaduramo) ni rwo rurimi rwemewe n'amategeko mu Buholandi.",D
"Ni iyihe myambaro ikozwe mu biribwa by'ingurube?
A.Haggis Haggis
B.bye bye chitlins
C.Bye bye grits
D.Bye bye Suey",B,"Igisubizo nyacyo ni B. bye bye chitlins. Chitlins (cyangwa chitterlings) ni imyambaro ikozwe mu biribwa by'ingurube, cyane cyane amara y'ingurube, kandi akenshi arategurwa kandi aribwa mu bice bitandukanye by'isi.",B
"Birashoboka cyane ko umuntu adashobora kwiga mu buryo butaziguye
A.Bye bye barnum effect.
B.Ubwisanzure bwo kwishyira mu macakubiri.
C.Bye bye external control.
D.Ibitekerezo byiza bitagira icyo bitanze.",C,"Igisubizo nyacyo ni:

C. Bye bye external control.

Ibi bivuga ko umuntu ashobora kwiga no gutera imbere adashingiye ku bintu cyangwa ku bantu b'inyuma bamugenzura cyangwa bamuyobora. Aha, umuntu yiga mu buryo bwigenga kandi akamenya kwifatira ibyemezo ku giti cye.",C
"k-e
A.Bye bye in K
B.Bye bye quadratic in K
C.bye bye in K
D.Image in K",A,"It seems like you're providing a list of phrases with ""K"" and ""E"" as potential clues or categories. However, the context is not entirely clear. Could you please provide more details or clarify what you are looking for? Are you asking for the meaning of these phrases, or are you looking for something specific related to ""K"" and ""E""? Any additional information would be helpful to provide a more accurate response.",C
"Ni ikihe muri ibi bice bikurikira cy'amagambo y'
A.Ahabanza Amakuru Amakuru y'Imyidagaduro Amakuru y'Imyidagaduro Amakuru y'Imyidagaduro Amakuru y'
B.Ibintu byose bitangirana na zero kandi birangirana n'undi
C.Ahabanza Amakuru Amakuru y'Imyidagaduro
D.Ahabanza Amakuru Amakuru y'Imyidagaduro Amakuru y'Imyidagaduro Amakuru y'Imyidagaduro Amakuru y",D,"Igisubizo nyacyo ni:

C. Ahabanza Amakuru Amakuru y'Imyidagaduro

Icyo gice cy'amagambo kirimo amagambo atandukanye kandi adasubiramo kenshi, ugereranyije n'ibindi bice by'amagambo byatanzwe.",C
" Iki gikoresho cy'ubucuruzi n'itumanaho gitanga inkunga itaziguye cyangwa inkunga yo gushishikariza abakiriya kugura ibicuruzwa/serivisi:
A.Bye bye advertisement.
B.Imibanire y'abaturage.
C.Bye bye sales promotion.
D.Bye bye direct marketing.",C,"Igisubizo nyacyo ni:

D. Bye bye direct marketing.

Direct marketing cyangwa ubucuruzi butaziguye ni uburyo bwo kugera ku bakiriya no kubashishikariza kugura ibicuruzwa cyangwa serivisi hakoreshejwe uburyo butaziguye nk'ubutumwa bugufi, emails, cyangwa telefoni. Ibi bituma habaho itumanaho ritaziguye hagati y'umucuruzi n'umukiriya, bigatuma umukiriya ashobora kubona amakuru ahagije kandi akagira ubushake bwo kugura.",D
"Kuki Parfit arwanya uburinganire?
A.Avuga ko aho kuba sosiyete y'uburinganire bidashoboka.
B.Yakomeje avuga ko mu gihe dushyize imbere ibyo abakene bakeneye, dushobora kongera uburinganire.
C.Avuga ko buri wese muri twe ari we nyirabayazana w'ubukene bwacu.
D.Ahakana burundu igitekerezo cy'uburinganire.",B,"B.Yakomeje avuga ko mu gihe dushyize imbere ibyo abakene bakeneye, dushobora kongera uburinganire.

Kuki Parfit, umufilozofe w'umwongereza, yibanze cyane ku byerekeye uburinganire n'ubutabera. Yavuze ko mu gihe dushyize imbere ibyo abakene bakeneye, dushobora kongera uburinganire mu muryango.",B
"Ugereranyije n'imitwe ya politiki mu bihugu nka Ubwongereza na Israel, byombi bifite gahunda nyinshi, amashyaka ya politiki ya Amerika ni
A.Ahabanza Amakuru Amakuru y'Imyidagaduro
B.Ntabwo byumvikana neza ko abanyapolitiki bafite ibitekerezo bya politiki
C.Ahabanza Amakuru Amakuru y'Imyidagaduro
D.Ni byiza kurushaho kugaragaza intego z'inzego zose z'igihugu",B,"B.Ntabwo byumvikana neza ko abanyapolitiki bafite ibitekerezo bya politiki

Mu bihugu nka Ubwongereza na Israel, hariho imitwe myinshi ya politiki ifite gahunda zitandukanye, kandi abanyapolitiki bafite ibitekerezo bitandukanye bya politiki. Mu gihe muri Amerika, hari amashyaka abiri akomeye (Democratic na Republican), kandi abanyapolitiki benshi bakunze gukurikira umurongo w'ishyaka ryabo, ariko ntibivuze ko buri gihe bafite ibitekerezo bya politiki byihariye cyangwa bitandukanye cyane.",B
"Find $-dfrac{1}{1}{1}
A.1
B.-1
C.0
D.2",B,"The given expression is \(-\frac{1}{1}\).

First, let's simplify the fraction \(\frac{1}{1}\):
\[
\frac{1}{1} = 1
\]

Next, we apply the negative sign:
\[
-\frac{1}{1} = -1
\]

Therefore, the value of the expression is \(-1\).

The correct answer is:
B. -1",B
"Ni irihe rushanwa rigera ku rwego rw'igihugu rumwe riyoborwa n'ibihugu by'ibihangange?
A.Ubucuruzi Mpuzamahanga
B.Ubukungu bw'isi
C.Irushanwa ry'isi yose
D.Globalization",D,"Igisubizo nyacyo ni:

C. Irushanwa ry'isi yose

Irushanwa ry'isi yose (World Cup) ni irushanwa rigera ku rwego rw'igihugu kandi riyoborwa n'ibihugu by'ibihangange mu mikino, cyane cyane mu mupira w'amaguru. Iri rushanwa rihuza amakipe y'ibihugu bitandukanye ku isi yose, kandi rikaba rifite igikundiro kinini ku rwego mpuzamahanga.",C
"Imbaraga ziva mu gusenya phosphates z'ingufu nyinshi, ATP na phosphocreatine, zishobora gukomeza imyitozo ngororamubiri ikomeye kuri:
A.Bye bye 1-2 seconds.
B.Amasegonda 5-10.
C.Amasegonda 30-40.
D.Amasegonda 50-60.",B,"Imbaraga ziva mu gusenya phosphates z'ingufu nyinshi, nka ATP (Adenosine Triphosphate) na phosphocreatine, zishobora gukomeza imyitozo ngororamubiri ikomeye kuri:

B. Amasegonda 5-10.

Izi phosphates z'ingufu nyinshi zikoreshwa cyane cyane mu bikorwa by'imbaraga nyinshi kandi byihuse, nk'ibikorwa byo guterura ibyuma cyangwa gusimbuka, aho ingufu ziba zikenewe mu gihe gito cyane. Nyuma y'icyo gihe, umubiri utangira gukoresha izindi nzira zo kubona ingufu, nka glycolysis anaerobic cyangwa oxidative phosphorylation.",B
"Umubare w'abantu bagera ku bihumbi byegereye ni ibihumbi 47. Ni uwuhe mubare ushobora kuba ufite umubare w'abantu bari bafite?
A.46,295
B.46,504
C.47,520
D.47,924",B,"Umubare w'abantu bagera ku bihumbi byegereye ni ibihumbi 47. Ibi bivuze ko umubare w'abantu uri hafi cyane y'ibihumbi 47. Reka turebe buri mubare:

A. 46,295 - Uyu mubare uri munsi y'ibihumbi 47 kandi uri hafi y'ibihumbi 46.
B. 46,504 - Uyu mubare uri munsi y'ibihumbi 47 kandi uri hafi y'ibihumbi 46.
C. 47,520 - Uyu mubare uri hejuru y'ibihumbi 47 kandi uri hafi y'ibihumbi 48.
D. 47,924 - Uyu mubare uri hejuru y'ibihumbi 47 kandi uri hafi y'ibihumbi 48.

Umubare uri hafi cyane y'ibihumbi 47 ni 47,520. 

Igisubizo ni:
C. 47,520",C
