Question,CorrectAnswer,GivenAnswer,Correct
"O le pepelo o uiga faamalo o se ituaiga o
A.O le sesē o faalavelave faafuasei
B.Faafitauli sese
C.Aioi atu i le fesili
D.Manatu faataamilo",A,"O le pepelo o uiga faamalo o se ituaiga o:
B. Faafitauli sese",B
"O le a le tulaga o loo i ai le seti o ata tifaga o le 1999 Magnolia?
A.Kalefonia
B.Karolaina i Saute
C.Keokia
D.Texas",A,"O le seti o ata tifaga o le 1999 ""Magnolia"" o loo i ai i Kalefonia. O le tali sa'o o le:
A. Kalefonia",A
"O fea o atunuu nei na faasalalauina le tele o CO2 i le tagata i le 2017?
A.Iapani
B.Kanata
C.Lusia
D.Ilani",B,O le atunuu na faasalalauina le tele o CO2 i le tagata i le 2017 o Kanata (B).,B
"O tagata matutua ua matutua le matutua e foliga mai e sili atu ____ nai lo tagata matutua matutua po o tagata matutua laiti
A.Faagaoioia
B.Ma'i
C.E Malilie i ai
D.Mautinoa",A,O tagata matutua ua matutua le matutua e foliga mai e sili atu **A. Faagaoioia** nai lo tagata matutua matutua po o tagata matutua laiti.,A
"O le a le faaupuga mo le tele o le tauvaga i se tasi atunuu ua aafia i tauvaga i isi atunuu?
A.Fefaatauaiga faavaomalo
B.Tamaoaiga i le lalolagi atoa
C.Tauvaga i le lalolagi atoa
D.Globalisation",D,"O le faaupuga mo le tele o le tauvaga i se tasi atunuu ua aafia i tauvaga i isi atunuu o le:
C. Tauvaga i le lalolagi atoa",C
"O fea o nei ipu e faia mai i totonu o puaa?
A.ā'oa'o
B.'ā'ā'ā
C.'a'a'o'oga
D.chop suey",B,"O le tali sa'o o le fesili o le:
B. 'ā'ā'ā

O le 'ā'ā'ā o se ipu Samoa e faia mai i totonu o puaa.",B
"O le a le gagana aloaia a Netherlands?
A.Gagana fa'aTanisi
B.Gagana Suetena
C.Gagana fa'aSiamani
D.Gagana fa'aSiamani",D,"O le gagana aloaia a Netherlands o le gagana fa'aHolani. O lea, e leai se filifiliga sa'o i le lisi ua tu'uina atu. Ae afai e te manaʻo e iloa, o le gagana fa'aHolani e tatau ona avea ma filifiliga sa'o.",B
" O lenei meafaigaluega faamaketi ma fesootaiga ua ofoina mai ai se faatosinaga tuusao po o se uunaiga e uunaia tagata faatau e faatau se oloa/auaunaga:
A.Faasalalauga.
B.Fegalegaleaiga i nofoaga faitele.
C.Faalauiloaina o faatauga.
D.Fefaatauaiga tuusao.",C,"O le tali sa'o o le:
C. Faalauiloaina o faatauga.

O le faalauiloaina o faatauga (sales promotion) e aofia ai ni auala eseese e faatosina ai tagata faatau e faatau se oloa poo se auaunaga i se taimi faapitoa. E mafai ona aofia ai fa'aitiitiga tau, ofo fa'apitoa, tauvaga, ma isi metotia e faatosina ai tagata faatau i se taimi vave.",C
"O le a le gagana moni a le faatinoa o Antonio Banderas?
A.Gagana fa'aSipaniolo
B.Gagana Lusia
C.Gagana fa'aSiamani
D.Gagana fa'aFarani",A,"A. Gagana fa'aSipaniolo

Antonio Banderas o se tagata fai ata tifaga ma fa'atonu mai Sepania, ma o le gagana fa'aSipaniolo o le gagana moni lea na ia tautala ai.",A
"O fea o uiga nei e masani lava ona ogatusa ma le faamalosi teine i le aso?
A.faaaogaina o le malosi tele
B.fuafuaina
C.uunaiga faalefeusuaiga
D.e aofia ai le faaaogaina o se auupega",C,"O le uiga masani lava e ogatusa ma le faamalosi teine i le aso o le **C. uunaiga faalefeusuaiga**. O le faamalosi teine e masani ona aofia ai le faia o gaoioiga faalefeusuaiga e aunoa ma le maliega a le isi tagata, ma e mafai ona aofia ai le faaaogaina o le malosi, taufaamataʻu, po o le faaaogaina o se auupega. Ae ui i lea, o le uiga autu o le faamalosi teine o le faia lea o gaoioiga faalefeusuaiga e aunoa ma le maliega.",C
"O pisinisi e auai i tausitusi faaagafesootai ona o manaoga mai _________, ina ia mafai ona iloa ________, ia faaleleia atili ai ___________ ma uunaia ai _________ ma ___________
A.Stakeholders, Tulaga Lamatia, Puleaina o Stakeholders, Tali Atu mo I Latou Lava, Ata manino
B.Stakeholders, Tali Atu mo A'u Lava, Ata manino, Tulaga Lamatia, Pulega o Stakeholders
C.Stakeholders, Tali Atu mo A'u Lava, Tulaga Lamatia, Stakeholders, Pulega o Stakeholders
D.Stakeholders, Pulega o Stakeholders, Ata manino, Tulaga Lamatia, Tali Atu mo A'u Lava",A,"O pisinisi e auai i tausitusi faaagafesootai ona o manaoga mai **Stakeholders**, ina ia mafai ona iloa **Tulaga Lamatia**, ia faaleleia atili ai **Puleaina o Stakeholders** ma uunaia ai **Tali Atu mo I Latou Lava** ma **Ata manino**.

O le tali sa'o o le:
A. Stakeholders, Tulaga Lamatia, Puleaina o Stakeholders, Tali Atu mo I Latou Lava, Ata manino",A
"Ua gau le ua o se tagata ma'i ma ua faaleagaina ai le uaua o le patua i le maualuga o le ivi 'oti'oti lona ono o le cervical.
A.O le a le mafai ona latou manava e aunoa ma le lagolago mo le ola.
B.E na o le manava filemu lava e mafai ona latou manava ai.
C.E lē mafai ona iloa se aafiaga o le manava.
D.O le a le aafia ai le manava.",B,"Afai ua gau le ua o se tagata ma'i ma ua faaleagaina ai le uaua o le patua i le maualuga o le ivi 'oti'oti lona ono o le cervical, o le tali sa'o o le:

B. E na o le manava filemu lava e mafai ona latou manava ai.

O le faaleagaina o le uaua o le patua i le maualuga o le ivi 'oti'oti lona ono o le cervical e mafai ona aafia ai le malosi o le manava, ae o le a mafai lava ona latou manava filemu. O le uaua o le patua e taua tele i le puleaina o le manava, ma o le faaleagaina i lenei vaega e mafai ona faaitiitia ai le malosi o le manava malosi, ae o le manava filemu e mafai ona faatinoina pea.",B
