Question,CorrectAnswer,GivenAnswer,Correct
"waa maxay luqadda rasmiga ah ee Nederland?
A.Af-Danish
B.Af-iswiidhis
C.Af-Jarmal
D.Af-Holandiis",D,"D. Af-Holandiis

Luqadda rasmiga ah ee Nederland waa Af-Holandiis.",D
"Dalalkee soo socda ayaa kasoo qubtay CO2 per capita ugu badan ee 2017?
A.Japan
B.Kanada
C.Ruushka
D.Iiiran",B,"Dalalka soo socda, Kanada ayaa soo qubtay CO2 per capita ugu badan ee 2017. Kanada waxay leedahay heerar sare oo isticmaalka tamarta per capita, taas oo ka dhalatay cimilada qabow iyo baahida sare ee tamarta. Sidaas darteed, doorashada saxda ah waa:

B. Kanada",B
"Waa maxay afka hooyo ee actor Antonio Banderas?
A.Af-Isbaanish
B.Af-Ruush
C.Af-Jarmal
D.Faransiis",A,"A. Af-Isbaanish

Antonio Banderas wuxuu ku dhashay Málaga, Spain, waxaana afka hooyo u ah Af-Isbaanish.",A
"Waa kuwee suxuuntan laga sameeyaa xiidmaha doofaarka?
A.haku
B.chitlins
C.barwood
D.karbaash suey",B,"Jawaabta saxda ah waa:
B. chitlins

Chitlins (ama chitterlings) waa suxuun laga sameeyo xiidmaha doofaarka. Waxaa si gaar ah loo nadiifiyaa, loo kariyaa, loona diyaariyaa si ay u noqdaan cunto la cuni karo.",B
"Marka la barbar dhigo xisbiyada siyaasadeed ee dalalka sida Ingiriiska iyo Israel oo labaduba ay ka jiraan nidaamyo kala xisbiyo badan, xisbiyada siyaasadeed ee Maraykanku waa kuwo
A.dan ka yar in la saameeyo natiijada doorashooyinka
B.oo aan si cad loo aqoonsan oo ay ku jiraan fikrado siyaasadeed oo joogto ah
C.wax ku-ool yari ku ah in lacagaha laga ururshaa taageerayaasha siyaasadda ay ka urursadaan
D.si fiican uga tarjumi kara himilooyinka degaannada ay u dhan yihiin",B,"Xisbiyada siyaasadeed ee Maraykanku waa kuwo:

B. oo aan si cad loo aqoonsan oo ay ku jiraan fikrado siyaasadeed oo joogto ah

Xisbiyada siyaasadeed ee Maraykanka, sida Xisbiga Dimuqraadiga iyo Xisbiga Jamhuuriga, waxay leeyihiin fikrado siyaasadeed oo joogto ah oo si cad loo aqoonsan karo. Labada xisbi waxay leeyihiin aragtiyo iyo mabaadi'do siyaasadeed oo kala duwan oo ay ku saleeyaan siyaasadooda iyo ololahooda doorasho.",B
"Isbeddelada keena achondroplasia waxay saameyn ku yeeshaan taas oo lagu kala saari karo sida:
A.negative xukuma.
B.heli-of-function.
C.haploinsufficiency.
D.luminta-of-function.",B,"Isbeddelada keena achondroplasia waxay saameyn ku yeeshaan taas oo lagu kala saari karo sida:
B. heli-of-function.

Achondroplasia waa xaalad hidde-sideed oo keenta korriin la'aanta lafaha, taas oo inta badan sabab u ah isbeddel ku yimaada hidda-sidaha FGFR3 (fibroblast growth factor receptor 3). Isbeddelkan wuxuu keenaa in hidda-sidaha FGFR3 uu noqdo mid aad u firfircoon (gain-of-function mutation), taas oo si xad-dhaaf ah u xakameysa korriinka lafaha.",B
"In gobolka waa 1999 filimka Magnolia 'set?
A.California
B.South Carolina
C.Joorjiya
D.Texas",A,"A. California

Filimka ""Magnolia"" oo la soo saaray 1999 waxaa lagu dejiyay gobolka California. Filimkan waxaa agaasimay Paul Thomas Anderson, waxaana uu ka dhacayaa magaalada Los Angeles, California.",A
"Waa maxay weerar celis ah?
A.Markuu ka jawaabo ninkii weerarka geystay fariin uu u soo diray nidaamka
B.Weerar joogto ah oo ku soo noqnoqda, iskuna tilmaamaya tabaarri, tabadarro
C.Weerar loo adeegsanayo farriimaha nidaamku u gaar yahay oo aan wax lagaga difaaci karin
D.Ninka weerarka soo qaaday ayaa dib usoo celiyay fariin lagu qabtay, bartana way aqbashay waxaana ay jawaab ka bixineysaa raalintii weerarka soo qaaday",D,"Weerar celis ah waa weerar lagu qaado ninka weerarka soo qaaday si looga hortago ama looga jawaabo weerarkiisa. Marka la eego doorashooyinka aad bixisay, midka ugu dhow macnaha saxda ah waa:

D. Ninka weerarka soo qaaday ayaa dib usoo celiyay fariin lagu qabtay, bartana way aqbashay waxaana ay jawaab ka bixineysaa raalintii weerarka soo qaaday.

Weerar celis ah wuxuu noqon karaa mid ka dhan ah weerarka asalka ah, iyadoo la adeegsanayo habab kala duwan si loo joojiyo ama loo yareeyo saameynta weerarka.",D
"Maxaa xilligee xilli ah oo tartan dal keliya uu gaarsiisan yahay oo uu tartanka dal keliya saameyn ku yeesho tartanka waddamo kale?
A.ganacsiga International
B.Dhaqaalaha Global
C.Tartanka Global
D.Globalisation",D,"Jawaabta saxda ah waa:
C. Tartanka Global

Tartanka Global wuxuu tilmaamayaa xaalad ay dalal kala duwan ku tartamayaan suuqa caalamiga ah, taasoo keeni karta in tartanka dal keliya uu saameyn ku yeesho tartanka waddamo kale. Tani waxay dhacdaa marka shirkado ama warshado ka socda dalal kala duwan ay ku tartamayaan suuqa caalamiga ah, taasoo keeni karta in tartanka dal gaar ah uu saameyn ku yeesho dhaqaalaha iyo ganacsiga dalal kale.",C
"Waa kuwee aragtida nafsaaniga ah ee ugu caansanaa qarnigii labaatanaad ee Galbeedka Yurub?
A.neuroscience
B.evolutionary
C.behaviorist
D.psychoanalytic",D,"Aragtida nafsaaniga ah ee ugu caansanaa qarnigii labaatanaad ee Galbeedka Yurub waa:
D. psychoanalytic

Aragtida psychoanalytic waxaa aasaasay Sigmund Freud, waxaana ay diiradda saartaa fahamka maskaxda bini'aadamka iyada oo loo marayo fikradaha sida miyir-beelka, riyada, iyo khibradaha carruurnimada. Aragtidan ayaa saamayn weyn ku yeelatay nafsaaniga iyo dhaqanka guud ee qarnigii labaatanaad.",D
