Question,CorrectAnswer,GivenAnswer,Correct
"Aktor Antonio Banderasyň ene dili näme?
A.Ispan dili
B.Rus dili
C.Nemes dili
D.Fransuz dili",A,A. Ispan dili,A
ili,D
"Aşakdaky ýurtlaryň haýsysy 2017-nji ýylda adam başyna iň köp CO2 çykarar?
A.Ýaponiýa
B.Kanada
C.Russiýa
D.Eýran",B,"2017-nji ýylda adam başyna iň köp CO2 zyňyndylaryny çykaran ýurtlaryň arasynda Kanada öňe çykýar. Şeýlelikde, dogry jogap:

B. Kanada",B
"1999-njy ýylda çykarylan «Magnoliýa» filmi haýsy döwletde setiri bar?
A.Kaliforniýa
B.Günorta Karolina
C.Gürjüstan
D.Teksas",A,"1999-njy ýylda çykarylan «Magnoliýa» filmi ABŞ-nyň Kaliforniýa ştatynda setirlenipdir. Şeýlelikde, dogry jogap A. Kaliforniýa.",A
"Orta ýaşan adamlar özünden uly ýa-da ýaşlara garanyňda ____ ýaly görünýär
A.Generatiw
B.Neýrohirurgiýa
C.Gaýgyly
D.Anyk",A,"Orta ýaşan adamlar özünden uly ýa-da ýaşlara garanyňda ""C. Gaýgyly"" ýaly görünýär. Bu, orta ýaş krizisi ýa-da orta ýaşdaky adamlaryň durmuşdaky kynçylyklary we jogapkärçilikleri bilen baglanyşykly bolup biler.",C
"Xx asyryň başlarynda Günbatar Ýewropada haýsy psihiki garaýyş has meşhur boldy?
A.neýrohirurgiýa
B.ewolýusion
C.özüňi alyp baryşçy
D.psihoanalitik",D,"D. psihoanalitik

XX asyryň başlarynda Günbatar Ýewropada psihoanalitik garaýyş has meşhur boldy. Bu garaýyş Sigmund Freud tarapyndan esaslandyryldy we onuň pikirleri, şol sanda aňastyn we aňalyn düşünjeleri, şol döwürde giňden kabul edilip başlandy.",D
"Bir ýurtda bäsdeşligiň beýleki ýurtlarda bäsdeşligiň nähili derejede täsir edýändigi üçin nähili termin bar?
A.Halkara söwda
B.Global ykdysadyýet
C.Bütindünýä bäsleşigi
D.Globallaşma",D,"Bu soragyň dogry jogaby C. Bütindünýä bäsleşigi. Bütindünýä bäsleşigi (Global Competition) bir ýurtda bäsdeşligiň beýleki ýurtlarda bäsdeşlige nähili täsir edýändigini aňladýar. Bu termin, dürli ýurtlaryň kompaniýalarynyň we ykdysadyýetleriniň arasyndaky bäsdeşligiň global derejesini beýan edýär.",C
"Seriýal etrapçasynda, eger bir çyranyň akymy 2 A bolsa, onuň ýanyndaky çyranyň akymy
A.ýarym, 1 A
B.Sagat 2:00
C.Haýsy çyranyň batareýa golaýdygyna bagly
D.Aýtjak maglumat ýeterlik däl,",B,"Seriýal etrapçasynda (seriýal baglanyşykda), ähli çyralar bir hatarda ýerleşdirilýär we olaryň hemmesi birmeňzeş akymdan geçýär. Bu ýagdaýda, eger bir çyranyň akymy 2 A bolsa, beýleki çyralaryň hem akymy 2 A bolar. Şonuň üçin dogry jogap:

D.Aýtjak maglumat ýeterlik däl.",D
"Achondroplasia döredýän mutasiýalar şular ýaly toparlara bölünip bolýan netije berýär:
A.agalyk ediji negatiw.
B.işlemäge bolan girdeýä.
C.haploinsufficiency.
D.funksiýasy ýitgä sezewar boldy.",B,"Achondroplasia döredýän mutasiýalar şular ýaly toparlara bölünip bolýan netije berýär:

A. agalyk ediji negatiw.

Achondroplasia, FGFR3 (Fibroblast Growth Factor Receptor 3) geninde ýüze çykýan agalyk ediji negatiw mutasiýa sebäpli ýüze çykýar. Bu mutasiýa, FGFR3 belogynyň aşa işjeňleşmegine sebäp bolýar, bu bolsa süňkleriň ösmegini haýalladýar we gysga boýlylyga getirýär.",A
" Şu marketing we aragatnaşyk guraly müşderileri önüm/hyzmat satyn almaga höweslendirmek üçin gönüden-göni induktiw ýa-da höwes hödürleýär:
A.Reklama.
B.Jemgyýetçilik gatnaşyklary.
C.Satuwyň ýokary wezipesi.
D.Gönüden-göni marketing.",C,"Dogry jogap: C. Satuwyň ýokary wezipesi.

Satuwyň ýokary wezipesi (sales promotion) müşderileri önüm ýa-da hyzmat satyn almaga höweslendirmek üçin gönüden-göni induktiw ýa-da höwes hödürleýän marketing we aragatnaşyk guralydyr. Bu gural, köplenç, arzanladyşlar, kuponlar, bäsleşikler, we beýleki höweslendirmeler arkaly müşderileriň satyn alyş hereketlerini artdyrmaga gönükdirilendir.",C
