Question,CorrectAnswer,GivenAnswer,Correct
"Yiyiphi imeko i-movie ye-1999 Magnolia 'iseti?
A.California
B.kwik kwik
C.E-Georgia
D.chrum",A,A. California,A
"Yintoni ulwimi olusemthethweni lweNetherlands?
A.Isi-Danish
B.Isi-Swedish
C.Isi-Jamani
D.Isi-Datshi",D,"Ulwimi olusemthethweni lweNetherlands yi:

D. Isi-Datshi",D
"Amashishini abandakanyeka kwi-akhawunti yoluntu ngenxa yeemfuno ezivela _________, ukwenzela ukuchonga ________, ukuphucula ___________ kunye nokukhuthaza _________ kunye ___________
A.Abachaphazelekayo, imingcipheko, ulawulo lwabachaphazelekayo, uxanduva, ukungafihlisi
B.Abachaphazelekayo, ukuphendula, ukungafihlisi, imingcipheko, ulawulo lwabachaphazelekayo
C.Abachaphazelekayo, ukuphendula, imingcipheko, abachaphazelekayo, ulawulo lwabachaphazelekayo
D.Abachaphazelekayo, uLawulo lwabachaphazelekayo, ukungafihlisi, iingozi, ukuphendula",A,"A. Abachaphazelekayo, imingcipheko, ulawulo lwabachaphazelekayo, uxanduva, ukungafihlisi",A
"Abantu abadala abaphakathi babonakala bengaphezulu ____ kunabantu abadala okanye abaselula
A.kwik
B.neurotic
C.Iyavumelana
D.Qiniseka",A,"C. Iyavumelana

Abantu abadala abaphakathi babonakala bengaphezulu iyavumelana kunabantu abadala okanye abaselula.",C
"Zeziphi kwezi zitya ezenziwe ngamathumbu ehagu?
A.kwik
B.kwik
C.kwik
D.kwik kwik",B,"Zeziphi kwezi zitya ezenziwe ngamathumbu ehagu?
A. Amangqina
B. Ulusu
C. Isopho
D. Amathumbu

Impendulo ichanileyo ngu D. Amathumbu.",D
"Ngaba ukubulawa okungekho mthethweni okwenziwe nguMphathiswa welizwe X phesheya isenzo jure imperiii okanye jure gestionis?
A.Ukuziphatha okunjalo sisenzo esidlangalaleni (jure imperii)
B.Ihambo enjalo ayikaze itsalele ugonyo
C.Ukuziphatha okunjalo sisenzo sabucala (jure gestionis)
D.Ukuziphatha okunjalo sisenzo esidlangalaleni kodwa sikhuselwe kukukhuseleka",C,"A.Ukuziphatha okunjalo sisenzo esidlangalaleni (jure imperii)

Ukubulawa okungekho mthethweni okwenziwe nguMphathiswa welizwe phesheya kubonwa njengesenzo esenziwa ngurhulumente okanye igunya likarhulumente, nto leyo eyenza ukuba kube sisenzo esidlangalaleni (jure imperii).",A
" Esi sixhobo sokuthengisa kunye nonxibelelwano sinika inkuthazo ngqo okanye inkuthazo yokukhuthaza abathengi ukuba bathenge imveliso / inkonzo:
A.Intengiso.
B.Ubudlelwane boluntu.
C.Ukukhuthazwa kwentengiso.
D.Ukuthengisa ngokuthe ngqo.",C,"C. Ukukhuthazwa kwentengiso.

Ukukhuthazwa kwentengiso (Sales Promotion) yindlela yokuthengisa kunye nonxibelelwano enika inkuthazo ngqo okanye inkuthazo yokukhuthaza abathengi ukuba bathenge imveliso okanye inkonzo. Oku kunokubandakanya izaphulelo, iibhonasi, izipho, okanye ezinye iindlela zokukhuthaza ukuthenga ngokukhawuleza.",C
"Irhafu ebekwe kumthengisi iya kudluliselwa ngakumbi kumthengi ngohlobo lokunyuka kwamaxabiso ukuba
A.ixabiso elasticity imfuno elastic kakhulu.
B.ixabiso elasticity of imfuno kakhulu inelastic.
C.ixabiso elasticity of imfuno unit elastic.
D.umvuzo elasticity imfuno kakhulu elastic.",B,"Irhafu ebekwe kumthengisi iya kudluliselwa ngakumbi kumthengi ngohlobo lokunyuka kwamaxabiso ukuba:

B. ixabiso elasticity of imfuno kakhulu inelastic.

Xa imfuno inelastic, oko kuthetha ukuba abathengi abaphenduli kakhulu kutshintsho lwamaxabiso. Ngenxa yoko, xa irhafu ibekwe kumthengisi, umthengisi unokunyusa amaxabiso ngaphandle kokuphulukana nabathengi abaninzi, kwaye ngoko ke, umthengi uthwala uninzi lomthwalo werhafu.",B
"Isigulana sophuke intamo ngenxa yomonakalo kumnqonqo kwinqanaba lethambo lomqolo lesithandathu lomlomo wesibeleko.
A.Abayi kukwazi ukuphefumla ngaphandle kwenkxaso yobomi.
B.Baya kukwazi ukuphefumla ngokuthula kuphela.
C.Akunakwenzeka ukuqikelela umphumo wokuphefumla.
D.Ukuphefumla akuyi kuchaphazeleka.",B,"A.Abayi kukwazi ukuphefumla ngaphandle kwenkxaso yobomi.

Ukuba isigulana siphuke intamo ngenxa yomonakalo kumnqonqo kwinqanaba lethambo lomqolo lesithandathu lomlomo wesibeleko (C6), kunokwenzeka ukuba umonakalo ube mkhulu kangangokuba uchaphazela izinzwa ezilawula ukuphefumla. Kule meko, isigulana sinokufuna inkxaso yobomi ukuze sikwazi ukuphefumla.",C
"Yiyiphi kwezi filimu ezimanyumnyezi eyavelisa ezona zinto zilandelayo?
A.kwik
B.Imihlathi'
C.kwik
D.ngoLwesihlanu umhla we-13'",D,"Impendulo ichanekile yi-B. ""Jaws"" (Imihlathi).

Le filimu yavelisa ezona zinto zilandelayo:
- Iqulathe enye yezona zinto zoyikekayo nezaziwayo kwimbali yeefilimu, umphunga we-shark.
- Yaba nefuthe elikhulu kwindlela iifilimu ezimanyumnyezi ezazenziwa ngayo, yaza yaphumelela kakhulu kwi-ofisi yeebhokisi.
- Yaba nefuthe elikhulu kwindlela abantu abacinga ngayo nge-sharks kunye nolwandle.

""Jaws"" yakhutshwa ngo-1975 kwaye yakhokelwa nguSteven Spielberg. Yaba yimpumelelo enkulu kwaye yathathwa njengenye yezona filimu zibalulekileyo kwimbali ye-cinema.",B
