Question,CorrectAnswer,GivenAnswer,Correct
"Kí ni ọ̀rọ̀ náà fún ìwọ̀n tí ìdíje ní orílẹ̀-èdè kan ní ipa lórí ìfigagbága ní àwọn orílẹ̀-èdè mìíràn?
A.Iṣowo kariaye
B.Ọrọ̀-ajé àgbáyé
C.Idije agbaye
D.Globalisation",D,D. Globalisation,D
"Kí ni òṣèré Antonio Banderas native language?
A.Èdè Sípéènì
B.Èdè Rọ́ṣíà
C.Èdè Jámánì
D.Èdè faransé",A,A. Èdè Sípéènì,A
"Kí ló dé tí Parfit tako ìdọ́gba?
A.Ó jiyàn ju àìdọ́gba àwùjọ lọ kò ṣe é yẹ̀.
B.Ó sọ pé nípa fífún àwọn tálákà ní àkọ́kọ́, a lè mú ìdọ́gba pọ̀ sí i.
C.Ó sọ pé ọ̀kọ̀ọ̀kan wa ni ó jẹ́ ojúṣe fún òṣì wa.
D.Ó kọ èrò ìdọ́gba pátápátá.",B,"B. Ó sọ pé nípa fífún àwọn tálákà ní àkọ́kọ́, a lè mú ìdọ́gba pọ̀ sí i.",B
"Kí ni èdè ìjọba Orílẹ̀-èdè Netherlands?
A.Èdè Dẹ́nmárkì
B.Èdè Swídìn
C.Èdè Jámánì
D.Èdè Nẹ́dálándì",D,"Èdè ìjọba Orílẹ̀-èdè Netherlands ni Èdè Nẹ́dálándì. Nítorí náà, ìdáhùn tó tọ́ ni D. Èdè Nẹ́dálándì.",D
"Ní ìpínlẹ̀ wo ni fíìmù Magnolia 1999 ṣètò?
A.California
B.South Carolina
C.Jọ́jíà
D.Texas",A,"A. California

Fíìmù Magnolia (1999) ṣètò ní ìpínlẹ̀ California.",A
"Â ýòîì ãîäó 20000 ãîäà íà 1000 êì îò 20000 ã. íà 1000 êì îò 100000000000000000000000000000000000000000000
A.awọn ìmọ akọkọ quadrant
B.a pipade igun
C.A ray ninu awọn ìmọ akọkọ quadrant
D.kan ṣoṣo ojuami",A,"O dabi pe ọrọ rẹ ko ni oye pupọ, ati pe o le jẹ aṣiṣe kikọ tabi ọrọ ti ko ni oye. Jọwọ ṣalaye tabi tun kọ ibeere rẹ ki n le ran ọ lọwọ daradara. Ti o ba ni ibeere nipa mathimatiki, jọwọ pese alaye diẹ sii tabi ṣalaye ibeere rẹ ni kedere.",C
"Awọn iyipada ti o fa achondroplasia exert ohun ipa eyi ti o le wa ni classified bi:
A.Ohun tí kò dára.
B.gain-of-function ì
C.Haploinsufficiency.
D.Àdánù-iṣẹ́.",B,"Awọn iyipada ti o fa achondroplasia exert ohun ipa eyi ti o le wa ni classified bi:

B. **gain-of-function**

Achondroplasia jẹ arun ti o fa nipasẹ awọn iyipada ninu FGFR3 (fibroblast growth factor receptor 3) gene. Awọn iyipada wọnyi mu ki FGFR3 receptor ṣiṣẹ ju ti o yẹ lọ, eyiti o dinku idagbasoke egungun ati fa dwarfism. Eyi jẹ apẹẹrẹ ti ""gain-of-function"" mutation, nitori iyipada naa mu ki iṣẹ ti o pọ si tabi ti ko dara ti ọlọjẹ naa.",B
"Owó orí tí wọ́n gbé kalẹ̀ lórí olùpèsè yóò ṣe é ṣe kí wọ́n gbé lé àwọn oníbàárà lọ́wọ́ ní ìrísí ìlọsíwájú iye owó tí ó bá jẹ́ pé
A.Iye owó ríràn ìbéèrè máa ń ràn gidi gan-an.
B.Iye owo elasticity ti eletan jẹ gidigidi inelastic.
C.Ìrọ̀rùn iye owó ìbéèrè jẹ́ ìrọ̀rùn ẹ̀yà.
D.Ìrọ̀rùn owó oṣù ìbéèrè máa ń rọ̀ gidi gan-an.",B,"B. Iye owo elasticity ti eletan jẹ gidigidi inelastic.

Eyi tumọ si pe bi iye owo ba yipada, ko ni ipa nla lori eletan (demand) awọn onibara. Ni ọrọ miiran, awọn onibara yoo tẹsiwaju lati ra ọja naa paapaa ti iye owo ba pọ si.",B
" Yi tita ati ibaraẹnisọrọ ọpa nfun a taara inducement tabi ohun iwuri lati iwuri fun awọn onibara lati ra a ọja / iṣẹ:
A.Ipolowo.
B.Ìbáṣepọ̀ àwùjọ.
C.Tita igbega.
D.Taara tita.",C,"C. Tita igbega.

Tita igbega (Sales promotion) jẹ ọpa ti o funni ni taara inducement tabi iwuri lati iwuri fun awọn onibara lati ra ọja tabi iṣẹ kan. Awọn igbega tita le pẹlu awọn ẹdinwo, awọn kuponu, awọn ẹbun, awọn idije, ati awọn ipese akoko-kekere, gbogbo eyiti o ni ero lati mu ki awọn onibara ṣe igbese ni kiakia.",C
"Àwọn okòwò ń lọ́wọ́ nínú ìṣirò àwùjọ nítorí ìbéèrè láti ọ̀dọ̀ _________, láti lè dá ________ mọ̀, láti mú ìdàgbàsókè bá ___________ àti láti gba àwọn _________ àti ___________ níyànjú.
A.Awọn alabaṣepọ, Awọn ewu, Iṣakoso Stakeholder, Iṣiro, Transparency
B.Àwọn Alákóso, Ìṣírò, Ìkọ̀kọ̀, Ewu, Ìṣàkóso Àwọn Ẹlòmíràn
C.Àwọn Alákóso, Ìṣírò, Ewu, Àwọn Alákóso, Ìṣàkóso Àwọn Alákóso
D.Àwọn Alákóso, Ìṣàkóso Alákóso, Ìkọ̀kọ̀, Ewu, Ìṣírò",A,"A. Àwọn alabaṣepọ, Awọn ewu, Iṣakoso Stakeholder, Iṣiro, Transparency

Àwọn okòwò ń lọ́wọ́ nínú ìṣirò àwùjọ nítorí ìbéèrè láti ọ̀dọ̀ àwọn alabaṣepọ, láti lè dá àwọn ewu mọ̀, láti mú ìdàgbàsókè bá iṣakoso Stakeholder àti láti gba àwọn iṣiro àti transparency níyànjú.",A
"Agbara ti a tu silẹ lati ibajẹ ti awọn fosifeti agbara giga, ATP ati phosphocreatine, le ṣe atilẹyin adaṣe exertion maximal fun nipa:
A.1-2 aaya.
B.5-10 aaya.
C.30-40 aaya.
D.Ìṣẹ́jú àáyá 50-60.",B,"Agbara ti a tu silẹ lati ibajẹ ti awọn fosifeti agbara giga, ATP ati phosphocreatine, le ṣe atilẹyin adaṣe exertion maximal fun nipa:

B. 5-10 aaya.

Awọn fosifeti agbara giga bi ATP ati phosphocreatine ni a lo ni kiakia ni awọn iṣẹ ṣiṣe ti o nilo agbara ti o pọju, ṣugbọn awọn ipamọ wọn ni ihamọ, nitorinaa wọn le ṣe atilẹyin exertion maximal fun igba diẹ nikan, ni ayika 5-10 aaya.",B
"Èwo nínú àwọn orílẹ̀-èdè wọ̀nyí ló yọ CO2 tó pọ̀ jù fún olúkúlùkù ní 2017?
A.Japan
B.Kánádà
C.Rọ́ṣíà
D.Ìráàn",B,"Ní ọdún 2017, Kánádà (Canada) ló yọ CO2 tó pọ̀ jù fún olúkúlùkù lára àwọn orílẹ̀-èdè tí ẹ̀ mẹ́nu kàn. Kánádà ní ìwọn ìdọ́gba tó ga jù nípa ìdásílẹ̀ erogba olókòwò (CO2) fún olúkúlùkù ènìyàn.",B
"Aláìsàn kan ní ọrùn tó fọ́ pẹ̀lú ìbàjẹ́ sí okùn ẹ̀yìn ẹ̀yìn ní ìpele ẹ̀yìn ọrùn kẹfà.
A.Wọn kò ní lè mí láìsí ìrànlọ́wọ́ ayé.
B.Wọ́n kàn máa lè mí ní ìdákẹ́jẹ́ẹ́.
C.Kò ṣe é ṣe láti sọ àsọtẹ́lẹ̀ ipa lórí mímí.
D.Èémí kò ní nípa lórí.",B,"C.Kò ṣe é ṣe láti sọ àsọtẹ́lẹ̀ ipa lórí mímí.

Nípa ìbàjẹ́ sí okùn ẹ̀yìn ẹ̀yìn ní ìpele ẹ̀yìn ọrùn kẹfà, kò ṣe é ṣe láti sọ àsọtẹ́lẹ̀ ipa lórí mímí. Ìbàjẹ́ bẹ́ẹ̀ lè ní ipa tó yàtọ̀ síra lórí èémí àti àwọn iṣẹ́ ara mìíràn, ó sì lè yàtọ̀ láti ọ̀dọ̀ ènìyàn kan sí ẹlòmíì. Nítorí náà, kò ṣe é ṣe láti sọ àsọtẹ́lẹ̀ ipa tó dájú lórí mímí.",C
