Question,CorrectAnswer,GivenAnswer,Correct
"Quelle est la langue maternelle de l’acteur Antonio Banderas ?
A.Espagnol
B.Russe
C.Allemand
D.Français",a,"bonjour !

la réponse est a. espagnol. antonio banderas est un acteur espagnol, né à málaga en espagne.",true
"Quelle est la langue officielle des Pays-Bas ?
A.Danois
B.Suédois
C.Allemand
D.Néerlandais",d,"bonjour !

la réponse correcte est d. néerlandais. le néerlandais est la langue officielle des pays-bas.",true
"Dans quel état se trouve le film Magnolia de 1999 ?
A.Californie
B.Caroline du Sud
C.Géorgie
D.Texas",a,"bonjour !

le film magnolia, réalisé par paul thomas anderson en 1999, se déroule à san fernando valley, en californie. donc, la bonne réponse est a. californie !",true
"Recherchez $-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}~}.$
A.1
B.-1
C.0
D.2",b,"let's break it down step by step:

$$-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}~} = -\dfrac{1}{-3}\cdot\dfrac{-3}{1} = 1$$

so, the correct answer is:

a. 1",true
"Identifiez l’antécédent de la proposition conditionnelle suivante : Les abeilles ne gagnent leur première partie que si les oryctéropes ou les Chipmunks ne gagnent pas leurs premières parties.
A.Les Aardvarks ne gagnent pas leur premier match.
B.Les Bees remportent leur premier match.
C.Les Chipmunks ne gagnent pas leur premier match.
D.Soit les Aardvarks, soit les Chipmunks ne gagnent pas leurs premiers matchs.",b,"l'antécédent de la proposition conditionnelle est ""les abeilles gagnent leur première partie"".

la proposition conditionnelle peut être reformulée comme suit : ""si les oryctéropes ou les chipmunks ne gagnent pas leurs premières parties, alors les abeilles gagnent leur première partie.""

donc, l'antécédent est ""les abeilles gagnent leur première partie"", qui correspond à b. les bees remportent leur premier match.",true
"L’énergie libérée par la dégradation des phosphates à haute énergie, l’ATP et la phosphocréatine, peut soutenir un exercice d’effort maximal pendant environ :
A.1 à 2 secondes.
B.5 à 10 secondes.
C.30 à 40 secondes.
D.50 à 60 secondes.",b,"la bonne réponse est b. 5 à 10 secondes.

l'atp (adénosine triphosphate) et la phosphocréatine sont des molécules à haute énergie stockées dans les muscles. lorsqu'elles sont dégradées, elles libèrent de l'énergie qui peut être utilisée pour soutenir un exercice d'effort maximal pendant une courte période, généralement comprise entre 5 et 10 secondes.",true
"Cette question fait référence aux informations suivantes.
« En effet, comme les fatwas d’éminents [savants] qui fondent leur opinion sur la raison et la tradition et le consensus de la communauté sunnite s’accordent à dire que l’ancienne obligation d’extirpation, d’extermination et d’expulsion de l’innovation maléfique doit être le but de notre aspiration exaltée, car « le zèle religieux est une victoire pour la foi de Dieu le Miséricordieux » ; puis, conformément aux paroles du Prophète (paix et bénédictions d’Allah soient sur lui) « Quiconque introduit une innovation maléfique dans notre ordre doit être expulsé » et « Quiconque fait quoi que ce soit contre notre ordre doit être expulsé », l’action est devenue nécessaire et exigeante...
Lettre du sultan ottoman Selim Ier au safavide Shah Ismail I, 1514
Les Safavides se sont attirés les foudres des empires islamiques tels que l’Empire ottoman et l’Empire moghol, principalement parce que les Safavides
A.étaient un empire expansionniste géographiquement situé entre deux autres expansionnistes
B.rejeté les principes centraux de l’islam
C.réduits en esclavage des chrétiens et les transformèrent en combattants safavides
D.Ismaïl se proclama calife",a,"la bonne réponse est b. rejeté les principes centraux de l'islam.

la lettre du sultan ottoman selim ier au safavide shah ismail i en 1514 montre que les safavides ont été condamnés pour avoir introduit des innovations maléfiques dans l'ordre islamique, ce qui signifie qu'ils ont rejeté les principes centraux de l'islam.",false
"Dans un circuit en série, si le courant dans une lampe est de 2 A, le courant dans la lampe à côté est
A.moitié, 1 A
B.02 :00
C.Dépend de la lampe la plus proche de la batterie
D.Pas assez d’informations pour le dire",b,"bonjour !

dans un circuit en série, le courant est le même partout dans le circuit. c'est une des propriétés fondamentales des circuits en série.

donc, si le courant dans une lampe est de 2 a, le courant dans la lampe à côté sera également de 2 a.

la bonne réponse est donc d. pas assez d'informations pour le dire, car nous savons déjà que le courant est le même partout dans le circuit, et il n'y a pas besoin d'autres informations pour répondre à cette question.",false
"La tension induite dans une inductance est représentée comme,
A.produit de son inductance et de son courant à travers elle.
B.rapport de son inductance au courant qui le traverse.
C.rapport entre le courant qui le traverse et son inductance.
D.produit de son inductance et du taux de variation du courant qui le traverse.",d,"la bonne réponse est d. produit de son inductance et du taux de variation du courant qui le traverse.

la tension induite dans une inductance est donnée par la loi de faraday-neumann-lenz, qui s'écrit :

u = -l × (di/dt)

où u est la tension induite, l est l'inductance, i est le courant qui traverse l'inductance et di/dt est le taux de variation du courant.

donc, la réponse correcte est d.",true
"Cette question fait référence aux informations suivantes.
Je longe la colonne, je demande ce qui se passe.
Un soldat dit simplement : « Ils appellent de plus en plus chaque jour.
« Certains d’entre nous ont été envoyés au nord du fleuve Jaune à l’âge de quinze ans.
Et maintenant, à quarante heures, nous nous dirigeons vers les garnisons de l’ouest.
Lors de notre première tournée, le chef du village a dû nouer nos bandanas pour nous.
Quand nous sommes revenus, nos cheveux étaient blancs, mais il y avait encore plus d’agitation.
Les garnisons de la frontière ruissellent de sang, assez pour remplir un océan,
Mais les ambitions territoriales de l’Empereur Martial n’ont pas encore atteint leur apogée.
Dans les cent districts à l’est des montagnes, dans tout le pays des Han,
Il doit y avoir dix mille villages que les ronces infestent maintenant.
Même si les femmes sont assez fortes pour manier une houe et une charrue,
Les cultures poussent dans tous les sens, les champs sont tous en désordre.
C’est le plus difficile pour les hommes du Shanxi, avec leur réputation de combattants :
Ils sont rassemblés comme des chiens ou des poulets, tous les mâles sont impressionnés.
— Mais, monsieur, bien qu’il soit bon de votre part de demander,
Se plaindre ne fait pas partie de la tâche du soldat.
Nous ne pouvons que secouer la tête. Prenez cet hiver :
Les troupes du Shanxi n’ont jamais été renvoyées chez elles.
Les officiers de district réclament l’impôt foncier,
Mais d’où viendra-t-il ? Il est avare comme un rat!
Honnêtement, je pense que c’est de la malchance d’avoir un fils maintenant,
C’est mieux d’avoir une fille : au moins elle peut se marier
Et vivre avec les voisins d’à côté.
Mais un fils finira couché dans une prairie lointaine.
Du Fu, « Ballade des charrettes de l’armée », vers 750 de notre ère.
Le poème fournit des preuves de ce qui suit en ce qui concerne les relations entre les sexes dans la société Tang ?
A.Les relations confucéennes entre mari et femme étaient encore fortes dans la société Tang.
B.Les rescrits impériaux mettaient l’accent sur la naissance de fils valides plutôt que sur les filles pour remplir les quotas de conscription.
C.Le travail agricole pourrait être partagé entre les femmes et les hommes.
D.Les relations traditionnelles entre les sexes en Chine ont été inversées sous le règne de l’impératrice Wu Zetian.",c,"la bonne réponse est c. le travail agricole pourrait être partagé entre les femmes et les hommes.

dans le poème, il est mentionné : ""même si les femmes sont assez fortes pour manier une houe et une charrue, / les cultures poussent dans tous les sens, les champs sont tous en désordre."" cela suggère que les femmes participaient au travail agricole et qu'elles étaient capables de manier des outils tels que la houe et la charrue, ce qui implique une certaine égalité dans la répartition du travail entre les sexes.",true
