Question,CorrectAnswer,GivenAnswer,Correct
"Cén staid ina bhfuil sraith an scannáin Magnolia i 1999?
A.California
B.Carolina Theas
C.An tSeoirsia
D.Texas",a,"the correct answer is a. california.

the movie magnolia (1999) is set in the san fernando valley region of los angeles, california.",true
"Cad é teanga dhúchais an aisteora Antonio Banderas?
A.Spainnis
B.Rúisis
C.Gearmáinis
D.Fraincis",a,"the correct answer is a. spainnis (spanish). antonio banderas is a spanish actor, born in málaga, spain.",true
"Cé acu de na tíortha seo a leanas a d'astaigh an CO2 per capita is mó in 2017?
A.An tSeapáin
B.Ceanada
C.An Rúis
D.An Iaráin",b,"according to the world bank, the country with the highest co2 emissions per capita in 2017 was canada. therefore, the correct answer is:

b. ceanada",true
"Cé acu de na fachtóirí seo a leanas a mheasfaí a bheith ina fhachtóir ""tarraingt"" do Riva agus é ag smaoineamh ar aistriú ón India go dtí na Stáit Aontaithe?
A.Bochtanas a mhaolú
B.Post níos fearr agus pá níos airde
C.Córas caste na hIndia
D.Foréigean ina chomharsanacht",b,"the correct answer is b. post níos fearr agus pá níos airde.

this translates to ""a better job and higher pay"" in english. this would be a ""pull factor"" for riva, encouraging him to consider moving from india to the united states.",true
"Aimsigh $-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}~}.$
A.1
B.-1
C.0
D.2",b,"let's break it down step by step:

$$-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}~} = -\dfrac{1}{-3}\cdot\dfrac{-3}{1} = 1$$

so, the correct answer is:

a. 1",true
"Cad í teanga oifigiúil na hÍsiltíre?
A.Danmhairgis
B.Sualainnis
C.Gearmáinis
D.Ísiltíris",d,"the correct answer is d.ísiltíris.

in irish, ""cad í teanga oifigiúil na hísiltíre?"" means ""what is the official language of the netherlands?""

and the answer is indeed dutch, which is ""ísiltíris"" in irish.",true
"Cé acu de na scannáin uafáis seo a sceith na sequels is mó?
A.Scread'
B.Jaws'
C.Oíche Shamhna'
D.Dé hAoine an 13ú'",d,"i think i can help you with that!

the correct answer is b. jaws.

jaws is a 1975 thriller film directed by steven spielberg, and it has spawned three sequels: jaws 2 (1978), jaws 3-d (1983), and jaws: the revenge (1987).

so, the correct answer is indeed b. jaws!",false
"Is cosúil go bhfuil daoine fásta meánaosta níos ____ ná daoine fásta níos sine nó níos óige
A.Generative
B.NeuroticName
C.In-chomhaontaithe
D.Áirithe",a,"the correct answer is c. in-chomhaontaithe.

the sentence should read: ""is cosúil go bhfuil daoine fásta meánaosta níos in-chomhaontaithe ná daoine fásta níos sine nó níos óige.""

translation: ""it seems that middle-aged people are more conservative than older or younger people.""

in-chomhaontaithe means ""conservative"" in irish.",false
"Tá umar i gcruth priosma triantánach. Má tá achar 116 troigh cearnach ag an mbonn triantánach, agus má tá an t-umar 30 troigh ar airde, cé mhéad uisce a bheadh san umar nuair a bheadh sé lán?
A.1725 troigh ^ 3
B.1740 troigh ^ 3
C.3480 troigh ^ 3
D.6960 troigh ^ 3",c,"a nice problem in irish!

let's break it down step by step:

we have a triangular prism with a base area of 116 square troigh (troigh cearnach) and a height of 30 troigh.

to find the volume of the prism, we need to multiply the base area by the height:

volume = base area × height
= 116 × 30
= 3480 troigh³

so, the correct answer is:

c. 3480 troigh³",true
"Cén fáth a gcuireann Parfit i gcoinne an chomhionannais?
A.Maíonn sé go bhfuil sochaí éagothrom dosheachanta.
B.Maíonn sé gur féidir linn comhionannas a mhéadú trí thosaíocht a thabhairt do riachtanais na mbocht.
C.Dearbhaíonn sé go bhfuilimid go léir freagrach as ár mbochtanas.
D.Diúltaíonn sé do smaoineamh an chomhionannais ar fad.",b,"the correct answer is a. maíonn sé go bhfuil sochaí éagothrom dosheachanta.

derek parfit, a philosopher, argues against egalitarianism because he believes that an unequal society can be more desirable than an equal one. he thinks that some inequalities can be beneficial and that a completely equal society might not be the most desirable outcome.",false
"Léirítear autocorrelation iarmharach diúltach ag cé acu ceann amháin díobh seo a leanas?
A.Patrún timthriallach sna hiarmharacha
B.Patrún ailtéarnach sna hiarmharacha
C.Randamacht iomlán sna hiarmharacha
D.Iarmharacha atá gar do nialas",b,"the correct answer is b. patrún ailtéarnach sna hiarmharacha.

autocorrelation refers to the correlation between a signal and a delayed version of itself. a negative autocorrelation indicates that the signal tends to change in the opposite direction over time, which is characteristic of an alternating pattern.

so, option b, patrún ailtéarnach sna hiarmharacha, which means ""alternating pattern in the lags"", is the correct answer.",true
