Question,CorrectAnswer,GivenAnswer,Correct
"Os adultos de mediana idade parecen ser máis ____ que os adultos maiores ou máis novos.
A.Xerativa
B.Neurótico
C.Agradable
D.Certas",a,"a correct answer is b. neurótico.

the sentence should read: ""os adultos de mediana idade parecen ser máis neuróticos que os adultos maiores ou máis novos.""

this means: ""middle-aged adults seem to be more neurotic than older or younger adults.""",false
"En que estado está a película Magnolia de 1999?
A.California
B.Carolina do Sur
C.Xeorxia
D.Texas",a,"la respuesta correcta es a. california. la película magnolia (1999) de paul thomas anderson se desarrolla en el valle de san fernando, en el estado de california, estados unidos.",true
"Que é o actor Antonio Banderas lingua nativa?
A.Españois
B.Ruso
C.Alemán
D.Francés",a,"olá!

a resposta certa é a. espanhol. antonio banderas é um ator espanhol, nascido em málaga, espanha, em 1960. sua língua nativa é o espanhol.",true
"Find $-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}~}.$
A.1
B.-1
C.0
D.2",b,"we have that $-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}~} = \dfrac{1}{3}\cdot\dfrac{-3}{1} = -1.$ therefore, the answer is $\boxed{\textbf{(b)}}$.
final answer: the final answer is b.",true
"Cal dos seguintes países emitiu máis CO2 per cápita en 2017?
A.Xapón
B.Canadá
C.Rusia
D.Irán",b,"according to the world bank, in 2017, the co2 emissions per capita were:

* canada: 18.9 tons per capita
* russia: 12.1 tons per capita
* iran: 9.1 tons per capita
* japan: 9.4 tons per capita

so, the correct answer is b. canadá.",true
"A falacia da personalidade laudatoria é un tipo específico de
A.Falacia do accidente
B.Falso dilema
C.Pedindo a pregunta
D.Razoamento circular",a,"a nice question about logical fallacies!

the correct answer is d. razoamento circular (also known as circular reasoning or begging the question).

the ""falacia da personalidade laudatória"" is a type of circular reasoning, where someone presents a conclusion as evidence to support itself, often by citing their own authority or expertise. this fallacy involves using a claim or statement to prove itself, without providing any external evidence or logical justification.

well done on testing your knowledge of logical fallacies!",false
"As mutacións que causan acondroplasia exercen un efecto que pode clasificarse como:
A.Negativo dominante.
B.Ganancia de función.
C.haploinsuficiencia.
D.Perda de función.",b,"a correct answer is:

d. perda de función.

achondroplasia is a genetic disorder caused by mutations in the fgfr3 gene, which codes for a receptor involved in bone growth and development. the mutations that cause achondroplasia lead to a loss of function of the fgfr3 receptor, resulting in abnormal bone growth and dwarfism.

so, the correct classification is ""perda de função"" (loss of function).",false
"Nun circuíto serie, se a corrente nunha lámpada é de 2 A, a corrente na lámpada ao seu carón é
A.Metade, 1 A
B.- 2:00 horas
C.Depende de que lámpada estea máis preto da batería
D.Non hai información suficiente para dicir",b,"a nice electrical circuits question!

in a series circuit, the current is the same at all points in the circuit. this means that if the current in one lamp is 2 a, the current in the other lamp (connected in series) will also be 2 a.

so, the correct answer is:

d. non hai información suficiente para dicir (this option is incorrect, as we actually have enough information to determine the current in the second lamp)

the correct answer would be ""2 a"", but it's not among the options.",false
"Esta pregunta refírese á seguinte información.
En efecto, tanto as fatwas de distinguidos [eruditos] que basean a súa opinión na razón e na tradición por igual e no consenso da comunidade sunnita coinciden en que a antiga obriga de extirpación, exterminio e expulsión da innovación maligna debe ser o obxectivo da nosa exaltada aspiración, pois ""o celo relixioso é unha vitoria para a Fe de Deus Beneficente""; Entón, de acordo coas palabras do Profeta (Paz sobre el!) ""Quen introduce a innovación maligna na nosa orde debe ser expulsado"" e ""Quen ensine contra a nosa orde debe ser expulsado"", a acción volveuse necesaria e exixente...""
Carta do sultán otomán Selim I ao Safavid Shah Ismail I, 1514
Os safávidas atraeron a ira dos imperios islámicos como os otománs e os mogoles principalmente porque os safávidas
A.Foi un Imperio expansionista xeograficamente situado entre outros dous expansionistas.
B.Rexeitaron os principios centrais do Islam
C.Cristiáns escravizados e convertéronos en combatentes safávidas
D.Ismail proclamouse califa",a,"la respuesta correcta es a. foi un imperio expansionista xeograficamente situado entre outros dous expansionistas.

la carta del sultán otomano selim i al safavid shah ismail i en 1514 muestra la hostilidad entre los imperios islámicos, como los otomanos y los mogoles, hacia los safávidas. la razón principal de esta hostilidad era que los safávidas eran un imperio expansionista que se encontraba geográficamente situado entre otros dos imperios expansionistas, lo que generaba tensiones y conflictos territoriales.",true
"A voltaxe inducida nun indutor represéntase como,
A.produto da súa indución e corrente a través dela.
B.Proporción da súa indución á corrente a través dela.
C.Relación de corrente a través dela coa súa indución.
D.produto da súa indución e taxa de cambio de corrente a través dela.",d,"a resposta certa é d. produto da súa indución e taxa de cambio de corrente a través dela.

a lei de faraday de indução electromagnética establece que a tensión inducida nun indutor (v) é proporcional ao produto da sua indutância (l) e a taxa de cambio da corrente (di/dt) que flui através dele, ou seja:

v = -l × (di/dt)

portanto, a opção d é a resposta correcta.",true
"Parte da auga de Marte está conxelada no chan e nas capas de xeo e algunhas perdéronse debido ás cortas de vento solar, pero crese que gran parte da auga orixinal perdeuse por outro mecanismo. Que pasou con esta auga ""perdida""?
A.Foi desposuído polo campo magnético cando diminuíu rapidamente a súa forza.
B.Foi roto en hidróxeno e osíxeno pola luz ultravioleta e o hidróxeno perdeuse por escape térmico.
C.Foi consumido por unha civilización de marcianos sedentos.
D.Vaporizouse durante un período de vulcanismo intenso e perdeuse polo espazo a través do escape térmico.",b,"a correct answer is b. foi roto en hidróxeno e osíxeno pola luz ultravioleta e o hidróxeno perdeuse por escape térmico.

the ""lost"" water on mars is believed to have been broken down into hydrogen and oxygen by ultraviolet light, and the hydrogen was then lost to space through thermal escape. this process occurs when high-energy ultraviolet radiation from the sun breaks down water molecules (h2o) into their constituent atoms, allowing the lighter hydrogen atoms to escape the planet's gravity and be lost to space.",true
"Un tanque ten forma de prisma triangular. Se a base triangular ten unha superficie de 116 pés cadrados, e o tanque ten 30 pés de altura, canta auga contería o tanque cando está cheo?
A.1725 ft^3
B.1740 ft^3
C.3480 ft^3
D.6960 ft^3",c,"un problema de geometría!

un prisma triangular tiene un volumen que se calcula mediante la fórmula:

volumen = área de la base × altura

en este caso, el área de la base es de 116 pés cuadrados y la altura es de 30 pés.

volumen = 116 ft² × 30 ft = 3480 ft³

por lo tanto, la respuesta correcta es:

c. 3480 ft³",true
"Cal destes pratos está feito a partir de intestinos de porco?
A.Haggis
B.Chitlins
C.Grits
D.Chop Suey",b,"the correct answer is b. chitlins.

chitlins are a type of dish that originated in the southern united states, and they are made from pig intestines. they are typically boiled or stewed and then seasoned with spices and herbs.

haggis (a) is a traditional scottish dish made from sheep's heart, liver, and lungs, mixed with oatmeal and spices.

grits (c) are a type of ground corn that is commonly eaten in the southern united states, often served with butter, cheese, or other toppings.

chop suey (d) is a chinese-american stir-fry dish made with meat, vegetables, and noodles, but it does not typically contain pig intestines.",true
"Un imposto imposto a un provedor será máis probable que se transmita ao consumidor en forma de aumento de prezos se
A.A elasticidade de prezos da demanda é altamente elástica.
B.A elasticidade de prezos da demanda é altamente inelástica.
C.A elasticidade dos prezos da demanda é elástica unitaria.
D.A elasticidade salarial da demanda é altamente elástica.",b,"a correct answer is b. a elasticidade de preços da demanda é altamente inelástica.

when a tax is imposed on a supplier, it increases their cost of production. if the demand for the product is highly inelastic (i.e., not responsive to changes in price), the supplier is more likely to pass the increased cost on to the consumer in the form of higher prices. this is because consumers are not very sensitive to price changes and will continue to buy the product even if the price increases.

on the other hand, if demand is highly elastic (i.e., responsive to changes in price), consumers may reduce their purchases or switch to alternative products if the price increases, making it less likely that the supplier will be able to pass on the increased cost.

so, option b is the correct answer.",true
"Cal destes filmes de terror xerou máis secuelas?
A.Berros'
B.Xabier'
C.Halloween'
D.Venres 13'",d,"a resposta certa é d. venres 13!

a franquia de filmes ""friday the 13th"" (venres 13, em português) tem um total de 12 filmes, incluindo o original e as sequências, remakes e spin-offs.

aqui vai uma lista das sequências de cada opção:

a. berros - 2 sequências
b. xabier - não há sequências (xabier não é um filme de terror conhecido)
c. halloween - 11 sequências
d. venres 13 - 12 sequências

então, a resposta correta é d. venres 13!",true
