Question,CorrectAnswer,GivenAnswer,Correct
"नीदरलैंड की आधिकारिक भाषा क्या है?
A.डैनिश
B.स्वीडिश
C.जर्मन
D.डच",d,"the correct answer is d. डच (dutch).

netherlands' official language is dutch.",true
"अभिनेता एंटोनियो बैंडेरस मूल भाषा क्या है?
A.स्पैनिश
B.रूसी
C.जर्मन
D.फ़्रेंच",a,"the correct answer is a. स्पैनिश (spanish).

antonio banderas is a spanish actor, born in málaga, spain, and spanish is his native language.",true
"1999 की फिल्म मैगनोलिया 'किस राज्य में सेट है?
A.कैलिफ़ोर्निया
B.दक्षिण कैरोलिना
C.जॉर्जिया
D.टेक्सास",a,"the correct answer is a. कैलिफ़ोर्निया (california). the 1999 film magnolia is set in the san fernando valley region of los angeles, california.",true
"निम्नलिखित में से किस देश ने 2017 में प्रति व्यक्ति सबसे अधिक CO2 उत्सर्जित किया?
A.जापान
B.कनाडा
C.रूस
D.ईरान",b,"according to the world bank, in 2017, the country with the highest per capita co2 emissions was canada.

so, the correct answer is b. कनाडा (canada).",true
"एक संख्या, जो निकटतम हजार तक पूर्णांकित है, 47,000 है। पूर्णांक बनाने वाली संख्या कौन-सी हो सकती है?
A.46,295
B.46,504
C.47,520
D.47,924",b,"the correct answer is b. 46,504.

since the number is rounded to the nearest thousand, which is 47,000, the original number must be close to 47,000. among the options, 46,504 is the closest to 47,000.",true
"मध्यम आयु वर्ग के वयस्क पुराने या छोटे वयस्कों की तुलना में अधिक ____ दिखाई देते हैं
A.उत्पादक
B.विक्षिप्त
C.सहमत
D.कोई एक",a,"the correct answer is a. उत्पादक (productive).

the sentence should read: ""मध्यम आयु वर्ग के वयस्क पुराने या छोटे वयस्कों की तुलना में अधिक उत्पादक दिखाई देते हैं""

this means that middle-aged adults tend to appear more productive compared to older or younger adults.",true
"उत्परिवर्तन जो अचोंड्रोप्लासिया का कारण बनते हैं, एक प्रभाव डालते हैं जिसे इस प्रकार वर्गीकृत किया जा सकता है:
A.प्रमुख नकारात्मक।
B.गेन-ऑफ-फंक्शन।
C.हैप्लोइन्सफिशिएंसी।
D.लॉस-ऑफ-फंक्शन।",b,"the correct answer is d. लॉस-ऑफ-फंक्शन (loss-of-function).

achondroplasia is a genetic disorder caused by mutations in the fgfr3 gene, which leads to a loss of function of the protein encoded by this gene. this results in abnormal bone growth and development, leading to short stature and other characteristic features of achondroplasia.

so, the correct classification of the effect of these mutations is loss-of-function, as they result in a reduction or complete loss of the normal function of the fgfr3 protein.",false
"एक श्रृंखला परिपथ में, यदि एक लैंप में धारा 2 एम्पियर है, तो लैंप के बगल में धारा क्या है?
A.आधा, 1 ए
B.2:00 पूर्वाह्न
C.निर्भर करता है कि कौन सा दीपक बैटरी के करीब है
D.कहने के लिए पर्याप्त जानकारी नहीं है",b,"a simple question about series circuits! 😊

in a series circuit, the current is the same at every point in the circuit. this is because there is only one path for the current to flow, and it flows through each component in sequence.

so, if the current through one lamp is 2 amperes, then the current through the lamp next to it (or any other component in the circuit) is also 2 amperes.

the correct answer is: none of the above (the correct answer is simply ""2 amperes"").

let me know if you have any doubts or need further clarification! 😊",false
"$-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}~}.$ ढूँढें
A.1
B.-1
C.0
D.2",b,"let's break it down step by step:

$$-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}~}$$

first, simplify the fraction inside the fraction:

$$\frac{1}{~\frac{1}{-3}~} = \frac{1}{\frac{1}{-3}} = -3$$

now, multiply the two fractions:

$$-\dfrac{1}{-3}\cdot (-3) = 1$$

so, the correct answer is:

a. 1",true
"Parfit समानता का विरोध क्यों करता है?
A.उनका तर्क है कि एक असमान समाज अपरिहार्य है।
B.उनका दावा है कि गरीबों की जरूरतों को प्राथमिकता देकर हम समानता बढ़ा सकते हैं।
C.उन्होंने दावा किया कि हम अपनी गरीबी के लिए प्रत्येक जिम्मेदार हैं।
D.वह समानता के विचार को पूरी तरह से खारिज कर देता है।",b,"the correct answer is b. उनका दावा है कि गरीबों की जरूरतों को प्राथमिकता देकर हम समानता बढ़ा सकते हैं।

derek parfit, a british philosopher, argues against equality in his book ""equality or priority?"" (1997). he claims that prioritizing the needs of the worst-off individuals can increase overall well-being and reduce inequality, rather than striving for complete equality. this approach is known as the ""priority view"" or ""prioritarianism"".

so, option b correctly summarizes parfit's argument against equality.",true
"यह प्रश्न निम्नलिखित जानकारी को संदर्भित करता है।
""अधिनायकवादी शासन के बीज दुख और अभाव से पोषित होते हैं। वे गरीबी और संघर्ष की बुरी मिट्टी में फैलते और बढ़ते हैं। वे अपने पूर्ण विकास तक पहुँचते हैं जब बेहतर जीवन के लिए लोगों की आशा मर जाती है। हमें इस आशा को जीवित रखना चाहिए। । । । घटनाओं के तेज आंदोलन से हम पर बड़ी जिम्मेदारियां रखी गई हैं। । । । मुझे विश्वास है कि कांग्रेस इन जिम्मेदारियों का निर्वहन करेगी।
राष्ट्रपति हैरी एस. ट्रूमैन, 1947
उपरोक्त मार्ग में व्यक्त किए गए विचार अमेरिकी इतिहास में निम्नलिखित में से किस निरंतरता को सीधे दर्शाते हैं?
A.कांग्रेस और राष्ट्रपति के बीच संबंधों के बारे में बहस।
B.अस्थिर स्थितियों में सैन्य बल के उपयोग के बारे में बहस।
C.विश्व मामलों में संयुक्त राज्य अमेरिका की भूमिका के बारे में बहस।
D.राजनीतिक दलों की उचित भूमिका के बारे में बहस।",c,"the correct answer is c. विश्व मामलों में संयुक्त राज्य अमेरिका की भूमिका के बारे में बहस.

the quote by president harry s. truman in 1947 expresses the idea that the united states has a responsibility to play a role in world affairs, particularly in promoting democracy and preventing the spread of authoritarianism. this reflects a continuity in american history of debating the role of the united states in global politics and international relations.",true
"इनमें से किस हॉरर फिल्म ने सबसे ज्यादा सीक्वल बनाए?
A.चीख'
B.जबड़े'
C.हैलोवीन'
D.शुक्रवार 13 वीं'",d,"a horror movie question! 🎃

according to various sources, the correct answer is:

d. शुक्रवार 13 वीं (friday the 13th)

the friday the 13th franchise has a whopping 12 sequels, making it one of the most prolific horror franchises in history.

here's a brief rundown of the number of sequels for each option:

a. चीख (scream) - 4 sequels
b. जबड़े (jaws) - 3 sequels
c. हैलोवीन (halloween) - 11 sequels
d. शुक्रवार 13 वीं (friday the 13th) - 12 sequels

so, friday the 13th takes the cake (or should i say, the machete?) with the most sequels! 😱",true
"उच्च ऊर्जा फॉस्फेट के टूटने से जारी ऊर्जा, एटीपी और फॉस्फोस्रीटाइन, के बारे में अधिकतम परिश्रम व्यायाम को बनाए रख सकते हैं:
A.1-2 सेकंड।
B.5-10 सेकंड।
C.30-40 सेकंड।
D.50-60 सेकंड।",b,"the correct answer is b. 5-10 seconds.

high-energy phosphates, such as atp and phosphocreatine, are stored in muscles and can be rapidly broken down to release energy during intense, short-duration activities. this energy system is known as the phosphocreatine (pcr) system or the atp-pcr system.

the pcr system can sustain high-intensity efforts for approximately 5-10 seconds before being depleted. during this time, the muscles use the stored atp and pcr to fuel contractions. after 5-10 seconds, the energy stores are depleted, and the muscles must rely on other energy systems, such as anaerobic glycolysis or oxidative phosphorylation, to continue generating energy.

therefore, option b (5-10 seconds) is the correct answer.",true
"एक प्रारंभ करनेवाला में प्रेरित वोल्टेज को इस प्रकार दर्शाया जाता है,
A.इसके अधिष्ठापन और इसके माध्यम से वर्तमान का उत्पाद।
B.इसके प्रेरकत्व का इसके माध्यम से वर्तमान का अनुपात।
C.इसके माध्यम से धारा का इसके प्रेरकत्व से अनुपात।
D.इसके अधिष्ठापन और इसके माध्यम से धारा के परिवर्तन की दर का गुणनफल।",d,"the correct answer is b. इसके प्रेरकत्व का इसके माध्यम से वर्तमान का अनुपात.

in a transformer, the induced voltage is represented by the ratio of its inductance to the current flowing through it. this is known as the turns ratio or transformation ratio.

so, option b is the correct answer.

here's why the other options are incorrect:

a. the induced voltage is not the product of its inductance and current.

c. the ratio of current to inductance is not the correct representation of induced voltage.

d. the rate of change of current with respect to inductance is not related to induced voltage.",false
"तथ्य यह है कि ड्यूटेरियम क्लोराइड (DCl) की अवरक्त अवशोषण आवृत्ति हाइड्रोजन क्लोराइड (HCl) से स्थानांतरित हो जाती है, उनके में अंतर के कारण होती है
A.इलेक्ट्रॉन वितरण
B.द्विध्रुव आघूर्ण
C.बल स्थिरांक
D.कम द्रव्यमान",d,"the correct answer is d. कम द्रव्यमान (lower mass).

the reason for the shift in infrared absorption frequency of deuterium chloride (dcl) compared to hydrogen chloride (hcl) is due to the difference in mass between deuterium (²h) and hydrogen (¹h). deuterium has a higher mass than hydrogen, which affects the vibrational frequency of the molecule.

in particular, the reduced mass of the dcl molecule is higher than that of hcl, which leads to a lower vibrational frequency and a corresponding shift in the infrared absorption spectrum. this is because the heavier deuterium atom slows down the vibration of the molecule, resulting in a longer wavelength and lower frequency absorption.

so, option d, कम द्रव्यमान (lower mass), is the correct answer.",true
"इनमें से कौन सा व्यंजन सुअर की आंतों से बनाया जाता है?
A.हैगिस
B.चिटलिन्स
C.जई का आटा
D.चॉप सुई",b,"the correct answer is b. चिटलिन्स (chitlins).

chitlins are a type of dish that originated in the southern united states, and they are made from pig intestines. they are typically boiled or stewed and then seasoned with spices and herbs.

haggis (a) is a traditional scottish dish made from sheep's heart, liver, and lungs, mixed with oatmeal and spices.

jai ka aata (c) is not a known dish made from pig intestines.

chop suey (d) is a chinese-american stir-fry dish made from a variety of ingredients, including meat, vegetables, and noodles, but it is not made from pig intestines.",true
"इंग्लैंड और इज़राइल जैसे देशों में राजनीतिक दलों की तुलना में, जिनमें से दोनों में बहुदलीय प्रणाली है, अमेरिकी राजनीतिक दल हैं
A.चुनावों के परिणाम को प्रभावित करने में कम दिलचस्पी
B.सुसंगत राजनीतिक विचारधाराओं के साथ कम स्पष्ट रूप से पहचाना जाता है
C.राजनीतिक समर्थकों से धन जुटाने में कम प्रभावी
D.अपने पूरे निर्वाचन क्षेत्रों के लक्ष्यों को प्रतिबिंबित करने में सक्षम",b,"the correct answer is b. सुसंगत राजनीतिक विचारधाराओं के साथ कम स्पष्ट रूप से पहचाना जाता है (less clearly identified with consistent political ideologies).

in the united states, the two main political parties, the democrats and republicans, are often criticized for lacking clear and consistent political ideologies. this is in contrast to countries like england and israel, which have multi-party systems where each party tends to have a more distinct and coherent ideology.

in the us, both parties have diverse factions and interests within them, which can lead to inconsistent policy positions and ideological ambiguity. additionally, the influence of money in politics, gerrymandering, and other factors can further blur the lines between the parties' ideologies.

therefore, option b is the most accurate description of american political parties compared to those in england and israel.",true
