Question,CorrectAnswer,GivenAnswer,Correct
"Ո՞րն է Նիդերլանդների պաշտոնական լեզուն:
A.Դանիերեն
B.Շվեդերեն
C.Գերմաներեն
D.Հոլանդերեն",d,the correct answer is d. հոլանդերեն (dutch). dutch is the official language of the netherlands.,true
"Ի՞նչ վիճակում է գտնվում 1999 թվականին նկարահանված «Մագնոլիա» ֆիլմը:
A.Կալիֆորնիա
B.Հարավային Կարոլինա
C.Վրաստան
D.Տեխաս",a,"the correct answer is a. կալիֆորնիա (california).

the film ""magnolia"" (1999) directed by paul thomas anderson is set in the san fernando valley region of los angeles, california.",true
"Գտնել $-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}~}.$
A.1
B.-1
C.0
D.2",b,"let's break it down step by step:

$$-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}~} = -\dfrac{1}{-3}\cdot\dfrac{-3}{1} = 1$$

so, the correct answer is a. 1.",false
"Հետեւյալ երկրներից ո՞ր մեկն է 2017թ. ամենաշատը արտանետել CO2-ը
A.Ճապոնիա
B.Կանադա
C.Ռուսաստան
D.Իրան",b,"according to the data from the international energy agency (iea), in 2017, russia was the third-largest emitter of co2 emissions from fuel combustion, accounting for about 5.3% of global co2 emissions.

so, the correct answer is:

c.ռուսաստան (russia)",false
"Շարքի մեջ, եթե մեկ լամպում հոսանքը 2 A է, ապա նրա կողքին գտնվող լամպի հոսանքը
A.կես, 1 Ա
B.2:00 ՀՀ դրամ
C.Կախված նրանից, թե որ լամպն է ավելի մոտ մարտկոցին
D.Բավարար տեղեկություն չկա ասելու համար",b,"a nice electrical circuit question!

when lamps are connected in series, the current through each lamp is the same. this is because the current flows from one lamp to the next, and there's no branching or splitting of the current.

so, if one lamp has a current of 2 a, then the lamp next to it will also have a current of 2 a.

the correct answer is:

none of the above (the correct answer is ""2 a"")

let me know if you have any other questions!",false
"Այս հարցը վերաբերում է հետեւյալ տեղեկություններին:
«Իրականում, ինչպես եւ ականավոր [գիտնականների] ֆաթվայները, ովքեր իրենց կարծիքը հիմնում են ինչպես տրամաբանության, այնպես էլ ավանդույթի վրա, եւ սուննի համայնքի համաձայնությունը համամիտ են, որ վեհացման, բնաջնջման եւ չար նորարարությունների արտաքսման հին պարտականությունը պետք է լինի մեր վեհ ձգտումների նպատակը, քանզի «Կրոնական նախանձախնդրությունը հաղթանակ է Աստծո Հավատքի համար Բենեֆիսենթ»; ապա, մարգարեի խոսքերին համապատասխան (Խաղաղություն նրա վրա!) «Ով որ մեր կարգի մեջ չար նորարարություն է մտցնում, պետք է վտարվի» եւ «Ով որ մեր կարգի դեմ է անում, պետք է վտարվի», գործողությունները դարձել են անհրաժեշտ եւ խիստ...»:
Օսմանյան սուլթան Սելիմ I-ի նամակը Սաֆավիդ Շահ Իսմայիլ I-ին, 1514 թ.
Սաֆավիդները ցասումը բորբոքեցին այնպիսի իսլամական կայսրությունների, ինչպիսիք են Օսմանյան եւ Մուգալ կայսրությունները գլխավորապես այն պատճառով, որ սաֆավիդները
A.էին տարածական կայսրությունը աշխարհագրական առումով, որը գտնվում էր երկու այլ ընդլայնումների միջեւ
B.մերժեցին Իսլամի կենտրոնական
C.ստրուկ քրիստոնյաներին եւ նրանց վերածեց սաֆավիդի մարտիկների
D.Իսմայիլը իրեն խալիֆ հռչակեց",a,"the correct answer is d. իսմայիլը իրեն խալիֆ հռչակեց (isma'il declared himself caliph).

the text mentions that the safavids provoked the anger of islamic empires such as the ottoman and mughal empires, mainly because isma'il i, the safavid shah, declared himself caliph, which was a claim to spiritual and political authority that challenged the existing islamic powers.",false
"Ո՞ր հոգեբանական հայեցակարգն էր առավել հայտնի Արեւմտյան Եվրոպայի քսաներորդ դարի սկզբին:
A.նեւրոզ
B.էվոլյուցիոն
C.վարքաբան
D.պսիխոանալիտիկ",d,"the correct answer is d. պսիխոանալիտիկ (psychoanalytic).

in the early 20th century, psychoanalysis, developed by sigmund freud, was a highly influential and popular psychological concept in western europe. it focused on the role of the unconscious mind in shaping behavior and personality, and introduced concepts such as the oedipus complex, repression, and the structure of personality (id, ego, superego).",true
"Ինչո՞ւ է Պարֆիթը դեմ հավասարությանը:
A.Նա պնդում է, որ անհավասար հասարակությունն անխուսափելի է։
B.Նա պնդում է, որ նախապատվությունը տալով աղքատների կարիքներին՝ մենք կարող ենք մեծացնել հավասարությունը:
C.Նա պնդում է, որ յուրաքանչյուրս պատասխանատու ենք մեր աղքատության համար։
D.Նա ընդհանրապես մերժում է հավասարության գաղափարը։",b,"the correct answer is a. նա պնդում է, որ անհավասար հասարակությունն անխուսափելի է.

perfitt argues that unequal society is inevitable, which means he believes that inequality is a natural and unavoidable part of human society.",false
"Այս հարցը վերաբերում է հետեւյալ տեղեկություններին:
«Տոտալիտար ռեժիմների սերմերը սնուցվում են թշվառությամբ եւ ցանկությամբ: Նրանք տարածվում ու աճում են աղքատության ու կռիվների չար հողի մեջ։ Նրանք հասնում են իրենց աճին, երբ ավելի լավ կյանք ունենալու հույսը մահանում է ։ Մենք պետք է այդ հույսը կենդանի պահենք... Մեծ պատասխանատվություն է դրվել իրադարձությունների սրընթաց շարժման վրա... Վստահ եմ, որ Կոնգրեսը այդ պարտականությունները կկրի ամբողջությամբ»:
Նախագահ Հարի Ս. Տրումեն, 1947 թ.
Վերոհիշյալ հատվածում արտահայտված մտքերն առավել անմիջականորեն արտացոլում են ԱՄՆ-ի պատմության մեջ հետեւյալ շարունակություններից ո՞ր մեկը:
A.Կոնգրեսի եւ նախագահի հարաբերությունների մասին վեճեր:
B.Ռազմական ուժի կիրառման վերաբերյալ վեճեր՝ անկայուն իրավիճակներում:
C.Համաշխարհային գործերում Միացյալ Նահանգների դերի մասին վեճեր:
D.Բանավեճեր քաղաքական կուսակցությունների պատշաճ դերի մասին:",c,"based on the provided text, the correct answer is c. համաշխարհային գործերում միացյալ նահանգների դերի մասին վեճեր.

the text mentions the responsibility of the congress and the importance of keeping hope alive in the face of totalitarian regimes, which suggests that the context is related to international affairs and the role of the united states in global politics.",true
"Գարսիայի եւ Կոելինգի հետազոտությունները իմացած ոտնապնդումների վերաբերյալ հաստատեցին, որ հետեւյալ UCS եւ CS զույգերից ո՞րն է ամենահզորը եւ ամենից արագ է սովորել:
A.առաջադրանքի կատարումը եւ սննդի վարձատրություն ստանալը
B.սրտխառնոց եւ սնունդ կամ խմիչք
C.շարժումն ու ցնցումը
D.պատիժները եւ պարգեւատրումները",b,"a nice question in armenian!

according to garcia and koelling's research, the correct answer is:

b. սրտխառնոց եւ սնունդ կամ խմիչք (nausea and food or drink)

their study found that the pairing of ucs (unconditioned stimulus) and cs (conditioned stimulus) that leads to the most powerful and rapid learning is the one that involves nausea and food or drink. this is because the association between the two is particularly strong and salient, leading to a more robust conditioned response.",true
