Question,CorrectAnswer,GivenAnswer,Correct
"نیدرلینڈٕچ سرکٲرۍ زبان کیٛاہ چھِ؟
A.دانِش
B.سویڈِش
C.جرمنی
D.ڈَچ",d,"the correct answer is d. ڈَچ (dutch).

netherlands' official language is dutch.",true
"1999 چہِ فِلِم میگنولیا کَتھ رِیاستَس منٛز چھِ سیٚٹ؟
A.کیلیفورنیا
B.جنوبی کیرولائنا
C.جورجِیا
D.ٹیکساس",a,"the correct answer is a. کیلیفورنیا (california).

the film ""magnolia"" (1999) is set in the san fernando valley region of los angeles, california.",true
"اداکار انتونیو بینڈیرا سٕنٛز مقٲمی زبان کیٛاہ چھِ؟
A.ہسپانِیہ
B.رُوسی
C.جرمنی
D.فرانٛسیسی",a,"the correct answer is a. ہسپانِیہ (spanish).

antonio banderas is a spanish actor, born in málaga, spain, and his native language is spanish.",true
"ژھأنڈیو $-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}~}.$
A.1
B.-1
C.0
D.2",b,"let's break it down step by step:

$$-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}~} = -\dfrac{1}{-3}\cdot\dfrac{-3}{1} = 1$$

so, the correct answer is:

a. 1",true
"ہِنٛدُستان پیٚٹھٕ امریٖکہ کُن یِنہٕ وِزِ یِمو منٛزٕ کُس عُنصر یِیہِ ریوا سٕنٛدِ خٲطرٕ ""پُل"" عنصر مانٛنہٕ؟
A.غریبی ہُند ابجیکٹْہ
B.بہتر نوکری تہٕ زیادٕ اجرت
C.ہندوستانُک ذات پات ہُنٛد نظام
D.أمۍ سٕنٛدِس ہمسایہ علاقس منٛز تشدد",b,"i see you're asking a question in kashmiri!

the correct answer is c. ہندوستانُک ذات پات ہُنٛد نظام (india's caste system).

the question is asking what is the main obstacle (""پُل"" or ""pul"" meaning bridge or obstacle) that hinders india's progress or development. the correct answer is the caste system, which has been a significant social and economic hurdle in india's growth.",false
"یِمو منٛزٕ کٔمۍ ہارر فلمَو کٔر ساروِی کھۄتہٕ زِیٛادٕ سیکوئل پٲدٕ؟
A.چیخ
B.جاوْز
C.ہالووین
D.جُمعہ دِ 13 ہِم",d,"i see you're asking about a famous horror movie franchise with many sequels!

the correct answer is d. جُمعہ دِ 13 ہِم (friday the 13th).

friday the 13th is a popular horror franchise that has spawned numerous sequels, remakes, and spin-offs. the franchise revolves around jason voorhees, a masked killer who terrorizes camp crystal lake.

let me know if you have any more questions or if there's anything else i can help you with!",true
"اکس سیریز سرکٹس منٛز، اگر اکس لیمپس منٛز کرنٹ 2 A چُھ، تیلہٕ چُھ اتھ سۭتۍ لیمپس منٛز کرنٹ آسان۔
A.نصف، ۱ اے
B.2:00 AM
C.یہ چُھ دارمدار تھاوان زِ کُس لیمپ چُھ بیٹریس نزدیک
D.کأفی انفارمیشن چُھ نْہ وننْہ باپت",b,"i see you're asking about a series circuit with two lamps!

if one lamp in the series circuit has a current of 2a, then the current through the other lamp will also be:

a. 2a

explanation: in a series circuit, the current is the same throughout the circuit. since one lamp has a current of 2a, the other lamp will also have the same current, which is 2a.

so, the correct answer is a. 2a.",true
"یہٕ سوال چُھ مندرجہ ذیل معلوماتس سۭتۍ مراد تھاوان۔
""مطلق العنان حکومتن ہنٛد بیٲل چِھ مصائب تہٕ ضرورتہٕ سۭتۍ پرورش یوان کرنہٕ۔ تِم چھِ غریبی تہٕ جھگڑن ہٕنٛزِ بُرٕ میژِ منٛز پھٔہلِتھ تہٕ بڑان۔ تِم چھِ پنٕنۍ پوٗرٕ ترقی تام واتان ییٚلہِ بہتر زِنٛدگی خٲطرٕ لوٗکَن ہٕنٛز وۄمید ختم گٔیہِ۔ اسہِ پزِ یہِ وۄمید زِنٛدٕ تھاوٕنۍ۔ ۔ ۔ واقعاتن ہنٛز تیز رفتار نقل و حرکتہٕ سۭتۍ چِھ اسہٕ پیٹھ عظیم ذمہٕ دأری تھونہٕ آمژ۔ . . . مےٚ چھُ بھروسہٕ زِ کانگریس کرِ یِمَن ذمہٕ دٲریَن ہُنٛد پوٗرٕ پٲٹھۍ مُقابلہٕ۔""
صدر ہیری ایس ٹرومین، 1947
ہیرکیٛن حوالس منٛز بیان کرنہٕ آمت خیالات چِھ ساروی کھوتہٕ زیادٕ براہ راست یہٕ ظأہر کران کہ امریکی تٲریخس منٛز چِھ مندرجہ ذیل تسلسلن منٛز کُس تسلسل؟
A.کانگریس تہٕ صدرس درمیان تعلقاتن مُتعلِق بحث۔
B.غیر مستحکم حالاتن منٛز فوجی طاقت کس استعمالس متعلق بحث۔
C.عالمی معاملاتن منٛز ریاستہائے متحدٕک کردار کس بارس منٛز بحث۔
D.سیٲسی جماعتن ہٕنٛدس مُنٲسِب کردارس مُتعلِق بحث۔",c,"based on the provided text, the correct answer is:

c. عالمی معاملاتن منٛز ریاستہائے متحدٕک کردار کس بارس منٛز بحث۔

the text mentions the role of the united states in international affairs, specifically in relation to its responsibility to provide aid and support to countries in need. the speech by president harry s. truman in 1947 emphasizes the importance of the us taking a leading role in promoting peace, stability, and economic development around the world.",true
"بِٹ سِٹرینگ ہُند کُس سیٹ ہیکو نہٕ باقٲعدٕ ایکسپریشن سۭتۍ بیان کٔرتھ؟
A.تمام بِٹ سِٹرینگ یمن ہُند نمبر صفرن ہُند نمبر چُھ اکھ ملٹیپل پانژن ہُند
B.تمام بِٹ سِٹرینگ یوس شروع گژھان چُھ صفرس سْیت تْہ اند گژھان أکس سْیت
C.تمام بِٹ سِٹرینگ یتھ منز ایکِس ایوین نمبرس سْیت صفرن ہُند چُھ
D.تمام بِٹ سِٹرینگ یمن منز ذیادْ چِھ صفرو کھوتْہ ذیادْ",d,"i see you're asking about bit strings and their properties!

the correct answer is:

b. تمام بِٹ سِٹرینگ یوس شروع گژھان چُھ صفرس سْیت تْہ اند گژھان أکس سْیت

this translates to: ""all bit strings start with a zero, and then there are one or more ones.""

in other words, every bit string begins with a 0, followed by one or more 1s.

let me know if you have any further questions or need help with anything else!",false
"ری پلے اٹیک کیا چُھ؟
A.ییلہ حملہ آور جواب دِوان چُھ أکس میسیجس یوس اتھ سوزنْہ آمُت چُھ سسٹم ذریعہٕ
B.اکھ حملہٕ یُس لگاتار دوہراوان چُھ، کمزوری ہنٛز تحقیقات کران
C.اکھ حملہٕ یُس سسٹمٕک پنٕنۍ پٲغامات استعمال کران چھُ تہٕ اَمی مۄکھٕ ہیٚکو نہٕ بچاو کٔرِتھ
D.حملہٕ آور چُھ رٹنہٕ آمُت پٲغام دُبارٕ سوزان، تہٕ سایٹہٕ چِھ یہٕ قبول کران تہٕ حملہ آور سنٛدس حقس منٛز جواب دیوان۔",d,"the correct answer is d. حملہٕ آور چُھ رٹنہٕ آمُت پٲغام دُبارٕ سوزان، تہٕ سایٹہٕ چِھ یہٕ قبول کران تہٕ حملہ آور سنٛدس حقس منٛز جواب دیوان.

this option describes a replay attack, which is a type of attack where an attacker intercepts and retransmits a message or data packet that was previously sent by a legitimate user, in order to gain unauthorized access or disrupt the system.",true
