Question,CorrectAnswer,GivenAnswer,Correct
"زمانی فەرمی هۆڵەندا چییە؟
A.دانیمارکی
B.سویدی
C.ئەڵمانی
D.هۆڵەندی",d,"the correct answer is d. هۆڵەندی (dutch).

the official language of the netherlands is dutch.",true
"لە چ وڵاتێکدا فیلمی ماگنۆلیای ساڵی ۱۹۹۹یە؟
A.کالیفۆرنیا
B.کارۆلینای باشوور
C.جۆرجیا
D.تێکساس",a,"the correct answer is b. کارۆلینای باشوور (south carolina).

the movie ""magnolia"" (1999) was filmed in south carolina, usa.",false
"ئەکتەر ئەنتۆنیۆ باندێراس چییە؟
A.ئیسپانی
B.ڕووسی
C.ئەڵمانی
D.فەرەنسی",a,"the correct answer is a. ئیسپانی (spanish).

antonio banderas is a spanish actor, born on august 10, 1960, in málaga, spain.",true
"گه نجانی ته مه ن زیاتر له گه نج و گه نجن
A.دروستکەر
B.دەمار
C.ڕەزامەند
D.دڵنیا",a,"i see you're speaking kurdish!

the correct answer is:

d. دڵنیا

the sentence ""گه نجانی ته مه ن زیاتر له گه نج و گه نجن"" means ""i trust you more than myself and others."" and the word ""دڵنیا"" (dilniya) indeed means ""trust"".",true
"کام لەو زنجیرانەی خوارەوە ناتوانرێت بە دەربڕینێکی ئاسایی وەسف بکرێن؟
A.هەموو ئەو زنجیرە بتانەی کە ژمارەی سفرەکانیان فرە فرەیە لە پێنج
B.هەموو زنجیرە بتەکان بە سفر دەست پێدەکەن و بە یەکێکیان کۆتایی پێدێت
C.هەموو زنجیرە بتەکان لەگەڵ ژمارەیەکی یەکسان لە سفرەکان
D.هەموو زنجیرە بتەکان لەگەڵ زیاتر لە سفر",d,"the correct answer is a. هەموو ئەو زنجیرە بتانەی کە ژمارەی سفرەکانیان فرە فرەیە لە پێنج.

this option describes the sequence as having more than 5 zeros.",false
"ئەو وزەیەی کە لە تێکشکانی فۆسفاتە وزە بەرزەکان، ئەی تی پی و فۆسفۆرکریاتینەوە دەردەچێت، دەتوانێت زۆرترین ڕاهێنانی هەوڵدان بەردەوام بێت بۆ نزیکەی:
A.۱-۲ چرکە
B.۵-۱۰ چرکە
C.۳۰-۴۰ چرکە
D.۵۰-۶۰ چرکە",b,"the correct answer is b. ۵-۱۰ چرکە.

the energy released from the breakdown of phosphocreatine (pcr) and atp can sustain high-intensity efforts for approximately 5-10 seconds. this is because pcr is a rapidly available energy source that can be used to replenish atp stores quickly, but it is limited in quantity and can only sustain high-intensity efforts for a short period of time.",true
"بۆچی پێشمەرگە دژی یەکسانییە؟
A.ئەو دەڵێت کە کۆمەڵگایەکی نایەکسان شتێکی حەتمییە.
B.ئەو دەڵێت بە دابینکردنی پێداویستییەکانی هەژاران، دەتوانین یەکسانی زیاد بکەین.
C.ئەو دەڵێت ئێمە هەموومان بەرپرسیارین لە هەژاریی خۆمان.
D.ئەو بە تەواوی بیرۆکەی یەکسانی ڕەت دەکاتەوە.",b,"the correct answer is a. ئەو دەڵێت کە کۆمەڵگایەکی نایەکسان شتێکی حەتمییە.

this option suggests that the peshmerga (kurdish military forces) are against equality because they believe that an unequal society is inevitable or natural.",false
"ئایا ڕێککەوتنەکە لەگەڵ کام لەم خاڵانەی خوارەوەدا دەکرێت؟
A.شێوازی سووڕانەوە لە پاشماوەکاندا
B.شێوازێکی گۆڕاو لە پاشماوەکاندا
C.هه ڕه مه کییه کی ته واو له پاشماوه کاندا
D.پاشماوەکان کە هەموویان نزیکن لە سفر",b,"i think i can help you with that!

the correct answer is b. شێوازێکی گۆڕاو لە پاشماوەکاندا.

this option translates to ""a varying pattern in the remains"" or ""a changing pattern in the fossils"", which makes sense in the context of evolution and fossil records.

let me know if you have any further questions or if there's anything else i can help you with!",true
"کام ڕوانگەی دەروونی بەناوبانگترین بوو لە سەدەی بیستەم لە ئەوروپای ڕۆژئاوا؟
A.دەمارزانی
B.پەرەسەندن
C.ڕەفتارکار
D.دەروونشیکاری",d,"the correct answer is d. دەروونشیکاری (psychoanalyst).

sigmund freud, an austrian neurologist, is considered one of the most influential psychologists of the 20th century in western europe. he is known for developing the field of psychoanalysis, which focuses on the unconscious mind and its role in shaping behavior and personality.

so, the correct answer is d. دەروونشیکاری (psychoanalyst), which refers to freud's profession and area of expertise.",true
"کام لەو وڵاتانە زۆرترین ڕێژەی CO2یان لە ساڵی 2017دا بڵاوکردەوە؟
A.ژاپۆن
B.کەنەدا
C.ڕووسیا
D.ئێران",b,"according to the data from the international energy agency (iea), in 2017, the top co2 emitters were:

1. china: 9,056 million tonnes
2. united states: 5,107 million tonnes
3. european union (28): 3,444 million tonnes
4. india: 2,274 million tonnes
5. russia: 1,622 million tonnes

so, the correct answer is:

c. ڕووسیا (russia)",false
