Question,CorrectAnswer,GivenAnswer,Correct
"Antonio Banderas elobeli ya bana-mboka ezali nini?
A.Espagnol
B.Russe
C.Allemand
D.Français",a,"bonjour!

antonio banderas is a spanish actor, so the correct answer is:

a. espagnol",true
"Na 1999, filme ya Magnolia ezali nini?
A.Californie
B.Caroline ya Sudi
C.Géorgie
D.Texas",a,the answer is a. californie. the 1999 film magnolia is set in the san fernando valley region of california.,true
"Mibange ya katikati bamonanaka lokola bato mingi _ koleka mikóló to bilenge
A.Generative
B.Neurotic
C.Ondimi yango
D.Tokoloba solo",a,"i see you're speaking lingala!

the correct translation of the sentence is:

""the middle finger is like a long finger, it's not good to point at people with it.""

and the correct answer is:

c. ondimi yango (which means ""it's not good"" in lingala)

well done on testing my language skills!",false
"Na kati ya bafilme wana ya nsɔmɔ ebimisaki bafilme oyo ezalaki kolandana mingi?
A.Scream'
B.Mbanga
C.Halloween '
D.13 Mokolokili",d,"i see you're asking about a famous filmmaker who has made many horror movies!

the correct answer is c. halloween. john carpenter, the director of the classic horror movie ""halloween"" (1978), is known for his work in the horror genre and has made many influential films in the category.

let me know if you have any more questions or if there's anything else i can help you with!",false
"Na bilei oyo wapi basalaka na misɔpɔ ya ngulu?
A.Haggis
B.Chitlins
C.Grits
D.chop suey",b,"i see you're asking a question in yoruba!

the translation of your question is: ""where can i find baselga soup with peanut sauce?""

and the correct answer is b. chitlins. chitlins are a traditional dish in some african american and southern american cuisines, which consists of cooked pig intestines, often served with a side of baselga soup or peanut sauce.

well done on asking a question in yoruba!",true
"Mpo na nini Parfit aboyi bokokani?
A.Azali koloba na esika oyo mokili oyo ekokani te ekoki kopɛngolama te.
B.Alobi ete soki tozali kotya bamposa ya babola na esika ya liboso, tokoki kobakisa bokokani.
C.Alobaka ete mokomoko na biso azali na mokumba ya bobola na biso.
D.Aboyi mpenza likanisi ya kozala ndenge moko.",b,"i see you're speaking lingala!

the correct answer is a. azali koloba na esika oyo mokili oyo ekokani te ekoki kopɛngolama te.

translation: ""it's not good to leave the thing that is already done and start again from the beginning.""

this phrase means that it's not wise to abandon something that has already been accomplished and start over from scratch.",false
"Mai mosusu ya Mars ezalaka na ngalasi na kati ya mabele mpe mabanga ya ngalasi mpe mosusu ebungaki mpo na kolongola mopepe ya moi kasi mai mingi ya liboso ekanisami ete ebungaki na nzela ya mwango mosusu. Nini ekómelaki ""mai oyo ebungi""?
A.Nguya na yango elongolaki yango na champ magnétique ntango ezalaki kokita nokinoki
B.Ebukanaki na hydrogène mpe oxygène na pole ya ultraviolet mpe hydrogène ebungaki na nzela ya kokima na thermique
C.Civilisation ya bato ya Mars oyo bazalaki na mposa makasi ya mai
D.ezalaki vaporisé na eleko moko ya volcanisme ya makasi pe ebungaki na etando na nzela ya kokima thermique",b,"i see you're speaking in lingala!

the correct answer is b. ebukanaki na hydrogène mpe oxygène na pole ya ultraviolet mpe hydrogène ebungaki na nzela ya kokima na thermique.

""mai oyo ebungi"" refers to water (mai) that has been broken down into its constituent elements, hydrogen and oxygen, through a process involving ultraviolet radiation and thermal energy.",true
"Monɔkɔ ya Leta ya Pays - Bas ezali nini?
A.Danois
B.Suédois
C.Allemand
D.Néerlandais",d,"bonjour !

la réponse est a. danois.

""monɔkɔ ya leta ya pays"" signifie ""le pays du danemark"" en lingala, une langue parlée en république démocratique du congo.

donc, la bonne réponse est le danemark, qui est associé à la langue danoise.",false
"K-Haut Kobo Kobo
A.linear na K
B.Quadratic na kati ya K
C.kikia na k
D.Exponence na K",a,"i see you're trying to match a mathematical concept with a description in swahili!

here's the correct answer:

a. linear na k

in mathematics, ""linear"" refers to a relationship between variables that can be represented by a straight line. the phrase ""na k"" means ""with k"" or ""involving k"", where k is a constant.

so, the correct match is a. linear na k, which translates to ""linear with k"" or ""linear involving k"".",true
"Kosala malamu ya quantum ya detecteur ya photon eza 0,1. Soki batindi ba photons 100 na kati ya detecteur, moko nsima ya mosusu, detecteur akomona ba photons
A.10 - 10 Takoyaki 4
B.10 ya pas de soucis, ya pas de 3 ans
C.10 ya pas moyen de 10 mois, ya pas mieux
D.10 ya pas de 10 ans, ya pas de 0.1",b,"i see you're asking about the detection of photons using a quantum detector with an efficiency of 0.1.

if 100 photons are sent to the detector, and it detects some of them, what is the expected number of detected photons?

let's calculate the expected value:

expected number of detected photons = number of photons sent × detector efficiency
= 100 × 0.1
= 10

so, the correct answer is:

a. 10",true
