Question,CorrectAnswer,GivenAnswer,Correct
"Kāda ir oficiālā valoda Nīderlandē?
A.Dāņu
B.Zviedru
C.Vācu
D.Holandiešu",d,the correct answer is d. holandiešu (dutch). dutch is the official language of the netherlands.,true
"Kāda ir aktiera Antonio Banderasa dzimtā valoda?
A.Spāņu
B.Krievu
C.Vācu
D.Franču",a,"the correct answer is a. spāņu (spanish). antonio banderas is a spanish actor, born in málaga, spain, and spanish is his native language.",true
"Kādā stāvoklī ir 1999. gada filma Magnolija?
A.California
B.Dienvidkarolīna
C.Gruzija
D.Texas",a,"the correct answer is a. california.

the 1999 film magnolia is set in the san fernando valley region of los angeles, california.",true
" Šis mārketinga un komunikācijas rīks piedāvā tiešu pamudinājumu vai stimulu, lai mudinātu klientus iegādāties produktu/pakalpojumu:
A.Reklāmas.
B.Sabiedriskās attiecības.
C.Pārdošanas veicināšana.
D.Tiešais mārketings.",c,"the correct answer is d. tiešais mārketings.

this marketing and communication tool offers direct stimulation or incentive to encourage customers to purchase a product or service, which is the definition of direct marketing.",false
"Enerģija, kas izdalās no augstas enerģijas fosfātu, ATP un fosfokreatīna sadalīšanās, var uzturēt maksimālu slodzi apmēram:
A.1-2 sekundes.
B.5-10 sekundes.
C.30-40 sekundes.
D.50-60 sekundes.",b,"the correct answer is a. 1-2 sekundes.

the energy released from the breakdown of high-energy phosphates, such as atp and phosphocreatine, can sustain maximum muscle force for approximately 1-2 seconds. this is because these energy stores are rapidly depleted during high-intensity activities, and it takes time for the body to replenish them.",false
"Kuras no šīm pazīmēm kopumā atbilst izvarošanas datumam?
A.pārmērīga spēka izmantošana
B.Nodomāts
C.seksuāli motivēts
D.ietver ieroča pielietošanu",c,"it seems like you're asking which of the options corresponds to the characteristics of a specific date, likely related to a crime or incident.

based on the options provided, i'm going to take a guess that the correct answer is d. ietver ieroča pielietošanu, which translates to ""involves the use of weapons"".

am i correct?",false
"Šis jautājums attiecas uz šādu informāciju.
""Patiešām, tā kā gan izcilu [zinātnieku] fatwas, kuri savu viedokli balsta gan uz saprātu un tradīcijām, gan sunnītu kopienas vienprātība ir vienisprātis, ka senajam pienākumam iznīcināt, iznīcināt un izraidīt ļaunus jauninājumus ir jābūt mūsu paaugstināto centienu mērķim, jo ""Reliģiskā dedzība ir Dieva Labvēlīgā ticības uzvara""; tad saskaņā ar pravieša vārdiem (Miers pār viņu!) ""Ikviens, kas ievieš ļaunus jauninājumus mūsu kārtībā, ir jāizraida"" un ""Ikviens, kas māca pret mūsu kārtību, ir jāizraida"", rīcība ir kļuvusi nepieciešama un attaisnojoša...""
Osmaņu sultāna Selima I vēstule Safavidam Šaham Ismailam I, 1514. gads
Safavīdi zīmēja islāma impēriju, piemēram, Osmaņu un Mughal impēriju, ire galvenokārt tāpēc, ka Safavids
A.bija ekspansionistiska impērija, kas ģeogrāfiski atradās starp diviem citiem ekspansionistiem
B.noraidīja islāma centrālos principus
C.paverdzināja kristiešus un pārvērta tos par Safavīdu cīnītājiem
D.Ismails pasludināja sevi par kalifu",a,"based on the provided information, the correct answer is a. bija ekspansionistiska impērija, kas ģeogrāfiski atradās starp diviem citiem ekspansionistiem.

the text mentions that the safavids marked the islamic empire, such as the ottoman and mughal empires, mainly because they were an expansionist empire geographically located between two other expansionist empires.",true
"Kas ir atkārtojuma uzbrukums?
A.Kad uzbrucējs atbild uz ziņojumu, ko tam nosūtījusi sistēma
B.Uzbrukums, kas nepārtraukti atkārtojas, zondējot vājumu
C.Uzbrukums, kurā tiek izmantoti pašas sistēmas ziņojumi, un tāpēc pret to nevar aizstāvēties
D.Uzbrucējs atkārtoti nosūta notvertu ziņojumu, un vietne to pieņem un reaģē uzbrucēja labā",d,"the correct answer is d. uzbrucējs atkārtoti nosūta notvertu ziņojumu, un vietne to pieņem un reaģē uzbrucēja labā.

this is known as a replay attack, where an attacker intercepts and retransmits a legitimate message, often to gain unauthorized access or to disrupt the system.",true
"Find $-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}~}.$
A.1
B.-1
C.0
D.2",b,"we have that $-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}~} = \dfrac{1}{3}\cdot\dfrac{-3}{1} = -1.$ therefore, the answer is $\boxed{\textbf{(b)}}$.
final answer: the final answer is b.",true
"Sērijas ķēdē, ja strāva vienā lampā ir 2 A, strāva blakus esošajā lampā ir
A.puse, 1 A
B.2.00 līdz plkst.
C.Atkarīgs no tā, kura lampa ir tuvāk akumulatoram
D.Nav pietiekami daudz informācijas, lai pateiktu",b,"a nice electrical circuit question!

let's analyze the situation:

we have a series circuit with two lamps. the current through one lamp is 2 a.

in a series circuit, the current is the same throughout the entire circuit. therefore, the current through the other lamp is also 2 a.

so, the correct answer is:

a. puse (which means ""the same"" in latvian)

the current through both lamps is the same, 2 a.",false
"Mutācijas, kas izraisa ahondroplāziju, rada iedarbību, ko var klasificēt kā:
A.dominējošais negatīvais.
B.funkcijas pieaugums.
C.haploinsibility.
D.funkcijas zudums.",b,"the correct answer is d. funkcionālā zudums (loss of function).

achondroplasia is a genetic disorder caused by mutations in the fgfr3 gene, which leads to a loss of function in the fibroblast growth factor receptor 3 protein. this results in abnormal bone growth and development, leading to short-limbed dwarfism.

so, the correct classification of the effect of these mutations is a loss of function (d).",false
"Šķiet, ka pusmūža pieaugušo ir vairāk ____ nekā vecāku vai jaunāku pieaugušo
A.Radošs
B.Neirotisku
C.Patīkamu
D.Noteiktu",a,"the correct answer is b. neirotisku.

the sentence should read: ""šķiet, ka pusmūža pieaugušo ir vairāk neirotisku nekā vecāku vai jaunāku pieaugušo.""

translation: ""it seems that middle-aged adults have more neurotic people than older or younger adults.""

neirotisku means ""neurotic"" in latvian.",false
