Question,CorrectAnswer,GivenAnswer,Correct
" ဒီဈေးကွက်နဲ့ ဆက်သွယ်ရေးကိရိယာက သုံးစွဲသူတွေကို ကုန်ပစ္စည်း/ဝန်ဆောင်မှုတစ်ခု ဝယ်ဖို့ အားပေးဖို့ တိုက်ရိုက် လှုံ့ဆော်မှု ဒါမှမဟုတ် လှုံ့ဆော်ပေးပါတယ်။
A.ကြော်ငြာခြင်း။
B.လူထုဆက်ဆံရေး။
C.အရောင်းမြှင့်တင်ခြင်း။
D.တိုက်ရိုက်ဈေးကွက်။",c,d,false
"သရုပ်ဆောင် အန်တိုနီယို ဘန်ဒါရပ်စ်တိုင်းရင်းသားဘာသာစကားက ဘာလဲ။
A.စပိန်ဘာသာစကား
B.ရုရှား ဘာသာစကား
C.ဂျာမန်
D.ပြင်သစ်ဘာသာစကား",a,a,true
"နယ်သာလန်နိုင်ငံရဲ့ တရားဝင်ဘာသာစကားက ဘာလဲ။
A.ဒန်နစ်
B.ဆွီဒင်ဘာသာစကား
C.ဂျာမန်
D.ဒတ်ခ်ျ",d,d,true
"မြော်လင့်တတ်သော ဥပဓိရုပ်၏ မှားယွင်းမှုသည် သတ်သတ်မှတ်မှတ် အမျိုးအစားတစ်ခုဖြစ်
A.မတော်တဆမှုရဲ့ မှားယွင်းမှု
B.မှားယွင်းတဲ့ အကျပ်ရိုက်မှု
C.မေးခွန်းမေးခြင်း
D.စက်ဝိုင်းကျိုးကြောင်းဆင်ခြင်မှု",a,a,true
"တင့်ကားတစ်စင်းသည် တြိဂံပုံ ပရီဂံပုံသဏ္ဌာန်ဖြစ်သည်။ တြိဂံပုံ အခြေစိုက် စခန်း တွင် ၁၁၆ စတုရန်း ပေ ဧရိယာ တစ် ခု ရှိ ပြီး ၊ တင့်ကား သည် ပေ ၃၀ မြင့် လျှင် ၊ ရေနံဆီ အပြည့် ရှိ သောအခါ ရေ မည်မျှ ပါဝင် လိမ့်မည် နည်း ။
A.၁၇၂၅ ပေ^၃
B.၁၇၄၀ ^၃
C.၃၄၈၀ ^၃
D.၆၉၆၀ ^၃",c,c,true
"K-fold အတည်ပြုချက်မှာ
A.ကေတွင် မျဉ်းကြောင်း
B.ကေမြို့တွင် ကွဒ်ဒရာတစ်
C.ကေအင်န်ဒီအိုးတွင် ကုဗ
D.ကေတွင် စူးစမ်းလေ့လာမှု",a,d,false
"ယေဘုယျအားဖြင့် ရက်စွဲမုဒိမ်းမှုနဲ့ ကိုက်ညီတဲ့ အောက်ပါစရစ်တွေထဲက ဘယ်လက္ခန်တာလဲ။
A.လွန်ကဲသော အင်အားကို အသုံးပြုခြင်း
B.ကြိုတင်ကြံစည်ထားသော
C.လိင်ဆိုင်ရာလှုံ့ဆော်မှု
D.လက်နက်အသုံးပြုခြင်း ပါဝင်",c,c,true
"ဒီထိတ်လန့်စရာ ရုပ်ရှင်တွေထဲက ဘယ်ရုပ်ရှင်တွေက နောက်ဆက်တွဲအကောင်းဆုံးကို ဖြစ်စေခဲ့သလဲ။
A.' အော်ဟစ် '
B.မေးရိုး'
C.ဟယ်လိုဝိန်း'
D.သောကြာနေ့ ၁၃ ရက်မြောက် သောကြာနေ့'",d,a,false
"အင်္ဂလန်နှင့် အစ္စရေးနိုင်ငံများရှိ နိုင်ငံရေးပါတီများနှင့် နှိုင်းယှဉ်လိုက်လျှင် ပါတီပေါင်းစုံစနစ်များရှိသည့် နိုင်ငံရေးပါတီများနှင့် နှိုင်းယှဉ်လျှင် အမေရိကန်နိုင်ငံရေးပါတီများမှာ
A.ရွေးကောက်ပွဲရဲ့ ရလဒ်ကို ဩဇာလွှမ်းမိုးဖို့ စိတ်ဝင်စားမှု လျော့နည်း
B.တစ်သမတ်တည်းဖြစ်သော နိုင်ငံရေးအယူဝါဒများနှင့် ရှင်းလင်းစွာ မဖော်ပြထားပါ
C.နိုင်ငံရေးထောက်ခံသူများထံမှ ပိုက်ဆံစုဆောင်းရာတွင် ထိရောက်မှု လျော့နည်း
D.သူတို့ရဲ့ မဲဆန္ဒနယ်အားလုံးရဲ့ ရည်မှန်းချက်တွေကို ပိုကောင်းစွာ ရောင်ပြန်ဟပ်နိုင်ပါတယ်",b,d,false
"အပျက်သဘောအကြွင်းအကျန်များကို အောက်ပါတို့အနက် မည်သည့်အရာက ဖော်ပြသနည်း။
A.အကြွင်းအကျန်တွေထဲက သံသရာပုံစံတစ်ခု
B.အကျန်အကျန်များတွင် ခြားနားသော ပုံစံတစ်မျိုး
C.ကျန်အကျန်တွေထဲမှာ အပြည့်အဝ ကျပန်းမှု
D.သုညနဲ့နီးတဲ့ အဆိပ်အတောက်တွေဟာ",b,a,false
