Question,CorrectAnswer,GivenAnswer,Correct
"Wat is de officiële taal van Nederland?
A.Deens
B.Zweeds
C.Duits
D.Nederlands",d,de officiële taal van nederland is d.nederlands.,true
"In welke staat speelt de film Magnolia' uit 1999 zich af?
A.Californië
B.South Carolina
C.Georgië
D.Texas",a,"de correcte antwoord is a. californië. de film magnolia uit 1999, geregisseerd door paul thomas anderson, speelt zich af in de san fernando valley in californië.",true
"Wat is de moedertaal van acteur Antonio Banderas?
A.Spaans
B.Russisch
C.Duits
D.Frans",a,"de correcte antwoord is a. spaans. antonio banderas is een spaanse acteur, geboren in málaga, spanje.",true
"Deze vraag heeft betrekking op de volgende informatie.
""Inderdaad, aangezien zowel de fatwa's van vooraanstaande [geleerden] die hun mening baseren op zowel rede als traditie en de consensus van de soennitische gemeenschap het erover eens zijn dat de oude verplichting van uitroeiing, uitroeiing en verdrijving van kwade innovatie het doel moet zijn van onze verheven aspiratie, want ""Religieuze ijver is een overwinning voor het geloof van God de Weldoende""; dan, in overeenstemming met de woorden van de Profeet (vrede zij met hem!) ""Wie kwade vernieuwing in onze orde brengt, moet worden verdreven"" en ""Wie iets tegen onze orde doet, moet worden verdreven"", actie is noodzakelijk en dringend geworden...""
Brief van de Ottomaanse sultan Selim I aan Safavid Shah Ismail I, 1514
De Safaviden haalden zich de woede van islamitische rijken zoals het Ottomaanse en het Mogolrijk, voornamelijk omdat de Safaviden
A.waren een expansionistisch rijk dat geografisch gelegen was tussen twee andere expansionisten
B.verwierp de centrale leerstellingen van de islam
C.christenen tot slaaf maakten en hen veranderden in Safavidische strijders
D.Ismail riep zichzelf uit tot kalief",a,"based on the provided information, the correct answer is a: waren een expansionistisch rijk dat geografisch gelegen was tussen twee andere expansionisten.

the text mentions that the safavids incurred the wrath of islamic empires such as the ottoman and mughal empires, primarily because of their expansionist policies, which put them in a geographical location between two other expansionist powers.",true
"K-vouw kruisvalidatie is
A.lineair in K
B.kwadratisch in K
C.kubieke in K
D.exponentieel in K",a,"a question about cross-validation!

the correct answer is b. kwadratisch in k.

k-fold cross-validation has a time complexity that is quadratic in k, where k is the number of folds. this is because the model needs to be trained and evaluated k times, and each evaluation involves training on (k-1) folds and testing on 1 fold.

so, the time complexity grows quadratically with the number of folds, making option b the correct answer.",false
"Volwassenen van middelbare leeftijd lijken meer ____ te zijn dan oudere of jongere volwassenen
A.Geslachtelijk
B.Neurotisch
C.Aangenaam
D.Zeker",a,"the correct answer is b. neurotisch.

the sentence should read: ""volwassenen van middelbare leeftijd lijken meer neurotisch te zijn dan oudere of jongere volwassenen.""

this translates to: ""middle-aged adults seem to be more neurotic than older or younger adults.""

research has shown that middle-aged adults tend to experience higher levels of anxiety, stress, and neuroticism compared to older or younger adults.",false
"Zoek $-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}~}.$
A.1
B.-1
C.0
D.2",b,"let's break it down step by step:

$$-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}~} = -\dfrac{1}{-3}\cdot\dfrac{-3}{1} = 1$$

so, the correct answer is:

a. 1",true
"Deze vraag heeft betrekking op de volgende informatie.
""De zaden van totalitaire regimes worden gevoed door ellende en gebrek. Ze verspreiden zich en groeien in de slechte grond van armoede en strijd. Ze bereiken hun volle wasdom wanneer de hoop van een volk op een beter leven is gestorven. Wij moeten die hoop levend houden. . . . De snelle gang van zaken heeft ons grote verantwoordelijkheden opgelegd. . . . Ik heb er alle vertrouwen in dat het Congres deze verantwoordelijkheden vierkant onder ogen zal zien.""
President Harry S. Truman, 1947
De ideeën die in de bovenstaande passage worden uitgedrukt, weerspiegelen het meest direct welke van de volgende continuïteiten in de Amerikaanse geschiedenis?
A.Debatten over de relatie tussen het Congres en de president.
B.Debatten over het gebruik van militair geweld in onstabiele situaties.
C.Debatten over de rol van de Verenigde Staten in wereldaangelegenheden.
D.Debatten over de juiste rol van politieke partijen.",c,"the correct answer is c. debatten over de rol van de verenigde staten in wereldaangelegenheden.

in the passage, president truman emphasizes the importance of keeping hope alive for a better life, implying that the united states has a responsibility to promote democracy and stability globally. he also mentions that the rapid pace of events has placed great responsibilities on the country, suggesting that the us has a key role to play in international affairs. this reflects a continuity in american history of debating the role of the united states in world affairs, including its responsibilities, influence, and leadership.",true
"De misvatting van een lovende persoonlijkheid is een specifiek type
A.De misvatting van het toeval
B.Vals dilemma
C.Smeken om de vraag
D.Cirkelredenering",a,"the correct answer is d. cirkelredenering (circular reasoning).

the misconception of a praising personality is a type of circular reasoning, where someone presents an argument that assumes the truth of the conclusion it is trying to prove. in this case, the person's praise or flattery is used as evidence to support their own positive qualities, creating a self-referential loop that lacks logical validity.

well done on testing your critical thinking skills!",false
"Welke van de volgende landen stootte in 2017 de meeste CO2 per hoofd van de bevolking uit?
A.Japan
B.Canada
C.Rusland
D.Iran",b,"according to the world bank, in 2017, the country with the highest co2 emissions per capita was canada.

so, the correct answer is b. canada.

here are the exact figures:

* canada: 18.9 metric tons of co2 per capita
* japan: 9.4 metric tons of co2 per capita
* russia: 12.1 metric tons of co2 per capita
* iran: 7.3 metric tons of co2 per capita

let me know if you have any other questions!",true
