Question,CorrectAnswer,GivenAnswer,Correct
"ਨੀਦਰਲੈਂਡਜ਼ ਦੀ ਅਧਿਕਾਰਤ ਭਾਸ਼ਾ ਕੀ ਹੈ?
A.ਡੈਨਿਸ਼
B.ਸਵੀਡਿਸ਼
C.ਜਰਮਨ
D.ਡੱਚ",d,the correct answer is d. ਡੱਚ (dutch). dutch is the official language of the netherlands.,true
"1999 ਦੀ ਫਿਲਮ ਮੈਗਨੋਲੀਆ ਕਿਸ ਰਾਜ ਵਿੱਚ ਸੈੱਟ ਕੀਤੀ ਗਈ ਹੈ?
A.ਕੈਲੀਫੋਰਨੀਆ
B.ਦੱਖਣੀ ਕੈਰੋਲੀਨਾ
C.ਜੋਰਜੀਆ
D.ਟੈਕਸਾਸ",a,"the correct answer is c. ਜੋਰਜੀਆ (georgia).

the 1999 film magnolia is set in georgia, usa.",false
"ਅਭਿਨੇਤਾ ਐਂਟੋਨੀਓ ਬੈਂਡਰਸ ਦੀ ਮੂਲ ਭਾਸ਼ਾ ਕੀ ਹੈ?
A.ਸਪੇਨੀ
B.ਰੂਸੀ
C.ਜਰਮਨ
D.ਫਰੈਂਚ",a,"the correct answer is a. ਸਪੇਨੀ (spanish).

antonio banderas is a spanish actor, born in málaga, spain, and spanish is his native language.",true
"ਇਹਨਾਂ ਵਿੱਚੋਂ ਕਿਹੜੇ ਦੇਸ਼ ਨੇ 2017 ਵਿੱਚ ਪ੍ਰਤੀ ਵਿਅਕਤੀ ਸਭ ਤੋਂ ਵੱਧ CO2 ਦਾ ਨਿਕਾਸ ਕੀਤਾ?
A.ਜਪਾਨ
B.ਕਨੇਡਾ
C.ਰੂਸ
D.ਇਰਾਨ",b,"according to the world bank, in 2017, canada had the highest co2 emissions per capita among the options listed.

so, the correct answer is:

b. ਕਨੇਡਾ",true
"ਲੱਭੋ $-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}~}.$
A.1
B.-1
C.0
D.2",b,"let's break it down step by step:

$$-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}~} = -\dfrac{1}{-3}\cdot\dfrac{-3}{1} = 1$$

so, the correct answer is:

a. 1",true
"ਪਰਿਵਰਤਨ ਜੋ ਐਕੋਨਡਰੋਪਲਾਸੀਆ ਦਾ ਕਾਰਨ ਬਣਦੇ ਹਨ ਇੱਕ ਪ੍ਰਭਾਵ ਪਾਉਂਦੇ ਹਨ ਜਿਸਨੂੰ ਇਸ ਤਰ੍ਹਾਂ ਵਰਗੀਕ੍ਰਿਤ ਕੀਤਾ ਜਾ ਸਕਦਾ ਹੈ:
A.ਪ੍ਰਭਾਵਸ਼ਾਲੀ ਨਕਾਰਾਤਮਕ.
B.ਫੰਕਸ਼ਨ ਦਾ ਲਾਭ।
C.ਹੈਪਲੋਇਨਫੈਂਸੀ।
D.ਫੰਕਸ਼ਨ ਦਾ ਨੁਕਸਾਨ।",b,"the correct answer is d. ਫੰਕਸ਼ਨ ਦਾ ਨੁਕਸਾਨ (functional impairment).

parivartan jo achondroplasia da karan bande han (mutations that cause achondroplasia) have a negative impact on the function of the gene, leading to functional impairment. achondroplasia is a genetic disorder that affects bone growth and development, resulting in short stature and other skeletal abnormalities.

so, option d is the correct answer.",true
"ਇਸ ਦੀ ਗਿਣਤੀ 47,000 ਹੈ, ਜੋ ਕਿ ਸਭ ਤੋਂ ਨੇੜੇ ਹੈ। ਕਿਹੜੀ ਸੰਖਿਆ ਉਹ ਸੰਖਿਆ ਹੋ ਸਕਦੀ ਹੈ ਜੋ ਗੋਲ ਕੀਤੀ ਗਈ ਸੀ?
A.46,295
B.46,504
C.47,520
D.47,924",b,"a nice question! 😊

since the given number is 47,000, we need to find the closest rounded number. rounding 47,000 to the nearest thousand gives us 47,000.

now, let's analyze the options:

a. 46,295 - too low
b. 46,504 - too low
c. 47,520 - close, but a bit higher than 47,000
d. 47,924 - too high

the correct answer is c. 47,520, as it is the closest rounded number to 47,000. 👍",false
"K-ਫੋਲਡ ਕਰਾਸ-ਵੈਲੀਡੇਸ਼ਨ ਹੈ
A.K ਵਿੱਚ ਲੀਨੀਅਰ
B.K ਵਿੱਚ ਚਤੁਰਕੀ
C.K ਵਿੱਚ ਕਿਊਬਿਕ
D.K ਵਿੱਚ ਐਕਸਪੋਨੇਂਸ਼ੀਅਲ",a,"it seems like you're referring to the complexity of k-fold cross-validation in different scenarios.

the correct answer is:

a. k-fold cross-validation has a linear complexity in terms of k.

here's why:

* in k-fold cross-validation, the model is trained and evaluated k times, where each fold is used as a test set once.
* the time complexity of training and evaluating a model is typically assumed to be constant, let's call it o(1).
* since this process is repeated k times, the overall time complexity becomes o(k).

so, the correct answer is a. k-fold cross-validation has a linear complexity in terms of k.",true
"ਮੱਧ-ਉਮਰ ਦੇ ਬਾਲਗ ਬਜ਼ੁਰਗ ਜਾਂ ਛੋਟੇ ਬਾਲਗਾਂ ਨਾਲੋਂ ਵਧੇਰੇ ____ ਜਾਪਦੇ ਹਨ
A.ਜੈਨੇਰੇਟਿਵ
B.ਨਿਊਰੋਟਿਕ
C.ਸਹਿਮਤ
D.ਕੁਝ ਖਾਸ",a,"the correct answer is c. ਸਹਿਮਤ (conservative).

the sentence should read: ""ਮੱਧ-ਉਮਰ ਦੇ ਬਾਲਗ ਬਜ਼ੁਰਗ ਜਾਂ ਛੋਟੇ ਬਾਲਗਾਂ ਨਾਲੋਂ ਵਧੇਰੇ ਸਹਿਮਤ ਜਾਪਦੇ ਹਨ"" which means ""middle-aged adults appear more conservative than younger or older adults.""",false
"ਇੱਕ ਸੀਰੀਜ਼ ਸਰਕਟ ਵਿੱਚ, ਜੇ ਇੱਕ ਲੈਂਪ ਵਿੱਚ ਕਰੰਟ 2 A ਹੈ, ਤਾਂ ਇਸਦੇ ਨਾਲ ਵਾਲੇ ਲੈਂਪ ਵਿੱਚ ਕਰੰਟ ਕੀ ਹੈ?
A.ਅੱਧਾ, 1 A
B.ਸਵੇਰੇ 2:00 ਵਜੇ
C.ਇਹ ਇਸ ਗੱਲ 'ਤੇ ਨਿਰਭਰ ਕਰਦਾ ਹੈ ਕਿ ਕਿਹੜਾ ਲੈਂਪ ਬੈਟਰੀ ਦੇ ਨੇੜੇ ਹੈ
D.ਕਹਿਣ ਲਈ ਕਾਫ਼ੀ ਜਾਣਕਾਰੀ ਨਹੀਂ",b,"a nice question in punjabi!

the correct answer is d. ਕਹਿਣ ਲਈ ਕਾਫ਼ੀ ਜਾਣਕਾਰੀ ਨਹੀਂ (there is not enough information to say).

in a series circuit, the current is the same throughout the circuit. so, if one lamp has a current of 2 a, all other lamps in the same series circuit will also have a current of 2 a.

the position of the lamp with respect to the battery or any other lamp does not affect the current in a series circuit. therefore, options a, b, and c are incorrect.",false
