Question,CorrectAnswer,GivenAnswer,Correct
"Aký je úradný jazyk Holandska?
A.Dánčina
B.Švédčina
C.Nemčina
D.Holandčina",d,the correct answer is d. holandčina (dutch). dutch is the official language of the netherlands.,true
"Ktorá z nasledujúcich krajín vypustila v roku 2017 najviac CO2 na obyvateľa?
A.Japonsko
B.Kanada
C.Rusko
D.Irán",b,"according to the world bank data, in 2017, the country with the highest co2 emissions per capita was canada.

so, the correct answer is b. kanada.",true
"Aký je rodný jazyk herca Antonia Banderasa?
A.Španielčina
B.Ruština
C.Nemčina
D.Francúzština",a,"the correct answer is a. španielčina (spanish). antonio banderas is a spanish actor, born in málaga, spain, and spanish is his native language.",true
"V akom stave sa odohráva film Magnólia z roku 1999?
A.Kalifornia
B.Južná Karolína
C.Gruzínsko
D.Texas",a,"the correct answer is a. kalifornia (california). the 1999 film magnolia, directed by paul thomas anderson, takes place in the san fernando valley region of los angeles, california.",true
"K-násobná krížová validácia je
A.lineárne v K
B.kvadratický v K
C.kubický v K
D.exponenciálny v K",a,"a question about k-fold cross-validation!

the correct answer is a. lineárne v k.

in k-fold cross-validation, the dataset is divided into k subsets, and the model is trained and evaluated k times, with each subset serving as the validation set once. the computational complexity of this process grows linearly with k, hence the answer ""lineárne v k"" which means ""linear in k"".",true
"Dospelí v strednom veku sa zdajú byť viac _____ ako starší alebo mladší dospelí
A.Generativní
B.Neurotický
C.Príjemný
D.Istý",a,"the correct answer is a. generativní.

in the middle ages, middle-aged adults (dospelí) were considered more generative than older or younger adults. this means that they were seen as being in their prime, with a strong sense of responsibility and a desire to contribute to society through their work, family, and community.",true
"Nájdite $-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}~}.$
A.1
B.-1
C.0
D.2",b,"let's break it down step by step:

$$-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}~} = -\dfrac{1}{-3}\cdot\dfrac{-3}{1} = 1$$

so, the correct answer is a. 1.",false
"Časť vody Marsu je zamrznutá v pôde a ľadovcoch a časť sa stratila v dôsledku odstraňovania slnečného vetra, ale predpokladá sa, že veľká časť pôvodnej vody sa stratila iným mechanizmom. Čo sa stalo s touto ""stratenou"" vodou?
A.Bol odstránený magnetickým poľom, keď rýchlo klesla jeho sila
B.ultrafialovým svetlom sa rozbil na vodík a kyslík a vodík sa tepelným únikom stratil
C.pohltila ho civilizácia smädných Marťanov
D.Počas obdobia intenzívneho vulkanizmu sa vyparil a tepelným únikom sa stratil vo vesmíre",b,"the correct answer is b. ultrafialovým svetlom sa rozbil na vodík a kyslík a vodík sa tepelným únikom stratil.

the ""lost"" water on mars is believed to have been dissociated by ultraviolet radiation from the sun, breaking down into hydrogen and oxygen. the hydrogen then escaped into space due to thermal escape, leaving behind the oxygen. this process is thought to have occurred over millions of years, resulting in the loss of a significant amount of water from the martian surface.",true
"Omyl pochvalnej osobnosti je špecifickým typom
A.Omyl nehody
B.Falošná dilema
C.Prosba o otázku
D.Kruhové uvažovanie",a,"i think i can help you with that!

the correct answer is a. omyl nehody.

""omyl pochvalnej osobnosti"" in slovak translates to ""error of flattering personality"" in english, which is also known as the ""accident fallacy"" or ""omyl nehody"" in slovak.

this type of fallacy occurs when someone attributes a person's success or achievement to luck or chance rather than their abilities or efforts.",true
"Mutácie, ktoré spôsobujú achondropláziu, majú účinok, ktorý možno klasifikovať ako:
A.dominantné negatívne.
B.zisk funkcie.
C.haploinsuficiencia.
D.strata funkcie.",b,"the correct answer is d. strata funkcie.

achondroplasia is a genetic disorder caused by mutations in the fgfr3 gene, which codes for a receptor involved in bone growth and development. the mutations that cause achondroplasia lead to a loss of function of the fgfr3 receptor, resulting in abnormal bone growth and dwarfism.

therefore, the effect of these mutations can be classified as a loss of function (strata funkcie).",false
"Nádrž má tvar trojuholníkového hranolu. Ak má trojuholníková základňa plochu 116 štvorcových stôp a nádrž je vysoká 30 stôp, koľko vody by nádrž obsahovala, keď je plná?
A.1725 ft^3
B.1740 stôp ^ 3
C.3480 stôp^3
D.6960 stôp^3",c,"a nice problem!

let's break it down step by step:

the tank has a triangular prism shape, which means its volume can be calculated using the formula:

v = (base area) × height

we are given:
- the base area of the triangular base is 116 square feet.
- the height of the tank is 30 feet.

now, let's plug in the values:
v = 116 ft² × 30 ft
= 3480 ft³

so, the correct answer is:
c. 3480 stôp^3",true
