Question,CorrectAnswer,GivenAnswer,Correct
"Kaj je materni jezik igralca Antonia Banderasa?
A.Španščina
B.Ruščina
C.Nemščina
D.Francoščina",a,"the correct answer is a. španščina (spanish). antonio banderas is a spanish actor, born in málaga, spain, and spanish is his native language.",true
"Kateri je uradni jezik Nizozemske?
A.Danščina
B.Švedščina
C.Nemščina
D.Nizozemščina",d,the correct answer is d. nizozemščina (dutch). dutch is the official language of the netherlands.,true
"V kakšnem stanju je film Magnolia iz leta 1999?
A.Kaliforniji
B.Južna Karolina
C.Gruzija
D.Texas",a,"the correct answer is a. kaliforniji (california).

the film magnolia (1999) directed by paul thomas anderson is set in the san fernando valley region of los angeles, california.",true
"Negativna preostala avtokorelacija je označena s katero od naslednjih?
A.Ciklični vzorec v ostankih
B.Izmenični vzorec v ostankih
C.Popolna naključnost ostankov
D.Ostanki, ki so vsi blizu nič",b,"the correct answer is b. izmenični vzorec v ostankih.

a negative residual autocorrelation is indicated by an alternating pattern in the residuals, which is option b.",true
"Katera od naslednjih držav je v letu 2017 ustvarila največ emisij CO2 na prebivalca?
A.Japonska
B.Kanada
C.Rusija
D.Iran",b,"according to the world bank data, in 2017, iran had the highest co2 emissions per capita among the options listed.

so, the correct answer is:

d. iran",true
"Najdi $-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}~}.$
A.1
B.-1
C.0
D.2",b,"let's break it down step by step:

$$-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}~} = -\dfrac{1}{-3}\cdot\dfrac{-3}{1} = 1$$

so, the correct answer is:

a. 1",true
"Kateri od teh grozljivk je sprožil največ nadaljevanj?
A.Kriči""
B.Čeljusti""
C.Noč čarovnic""
D.petek 13.",d,"the correct answer is b. čeljusti (jaws).

jaws, a thriller film directed by steven spielberg, has spawned three sequels: jaws 2 (1978), jaws 3-d (1983), and jaws: the revenge (1987).",false
"Katera psihološka perspektiva je bila najbolj priljubljena na prelomu dvajsetega stoletja v zahodni Evropi?
A.Nevroznanost
B.Evolucijski
C.Vedenje
D.Psihoanalize",d,"the correct answer is d. psihoanalize (psychoanalysis).

at the turn of the 20th century, psychoanalysis, developed by sigmund freud, was the most popular and influential psychological perspective in western europe. psychoanalysis emphasized the role of unconscious thoughts, feelings, and experiences in shaping behavior and personality, and it had a significant impact on the development of psychology as a discipline.",true
"To vprašanje se nanaša na naslednje informacije.
Tako fatve uglednih učenjakov, ki svoje mnenje utemeljujejo tako na razumu kot na tradiciji, in soglasje sunitske skupnosti se strinjajo, da mora biti starodavna obveznost iztrebljanja, iztrebljanja in izgona zlih inovacij cilj našega vzvišenega hrepenenja, kajti »verska gorečnost je zmaga vere Boga dobrodelnega«; potem v skladu s prerokovimi besedami (Mir z njim!) ""Kdor v naš red vnese zlo inovacijo, mora biti izgnan"" in ""Kdor nasprotuje našemu redu, mora biti izgnan,"" je ukrepanje postalo potrebno in naporno ...""
Pismo osmanskega sultana Selima I. Safavidskemu šahu Ismailu I., 1514
Safavidi so vznemirjali islamske imperije, kot sta Otomansko in Mogulsko cesarstvo, predvsem zato, ker so Safavidi
A.so bili ekspanzionistični imperij, geografsko umeščen med dva druga ekspanzionista
B.zavrnil osrednja načela islama
C.zasužnjeni kristjani in jih spremenili v safavidske borce
D.Ismail se je razglasil za kalifa",a,"based on the provided text, the correct answer is a. so bili ekspanzionistični imperij, geografsko umeščen med dva druga ekspanzionista.

the text mentions that the safavids disturbed the islamic empires, such as the ottoman and mughal empires, primarily because they were an expansionist empire, geographically situated between two other expansionist empires.",true
"Kaj je napad ponovnega predvajanja?
A.Ko napadalec odgovori na sporočilo, ki mu ga pošlje sistem
B.Napad, ki se nenehno ponavlja, preizkuša šibkost
C.Napad, ki uporablja lastna sporočila sistema in ga zato ni mogoče braniti
D.Napadalec ponovno pošlje zajeto sporočilo, spletno mesto pa ga sprejme in se odzove v korist napadalca",d,"the correct answer is d. napadalec ponovno pošlje zajeto sporočilo, spletno mesto pa ga sprejme in se odzove v korist napadalca.

this is known as a ""replay attack"". in a replay attack, an attacker intercepts and records a message or communication between two parties, and then retransmits it at a later time to impersonate one of the parties and gain unauthorized access or benefits.",true
"To vprašanje se nanaša na naslednje informacije.
Semena totalitarnih režimov se hranijo z bedo in pomanjkanjem. Širijo se in rastejo na zlobnih tleh revščine in prepirov. Svojo polno rast dosežejo, ko umre upanje ljudi na boljše življenje. To upanje moramo ohraniti živo. [. . .] Hitro gibanje dogodkov nam je naložilo veliko odgovornost. [. . .] Prepričan sem, da se bo kongres s temi odgovornostmi soočil odkrito.""
Predsednik Harry S. Truman, 1947
Ideje, izražene v zgornjem odlomku, najbolj neposredno odražajo, katera od naslednjih kontinuitet v zgodovini ZDA?
A.Razprave o odnosu med kongresom in predsednikom.
B.Razprave o uporabi vojaške sile v nestabilnih razmerah.
C.Razprave o vlogi Združenih držav v svetovnih zadevah.
D.Razprave o ustrezni vlogi političnih strank.",c,"based on the quote from president harry s. truman in 1947, the idea expressed most directly reflects:

c. razprave o vlogi združenih držav v svetovnih zadevah.

the quote mentions the importance of maintaining hope for a better life and the responsibility that comes with it, which is related to the role of the united states in global affairs, particularly in the context of the post-world war ii era.",true
"K-kratna navzkrižna validacija je
A.linearno v K
B.kvadratna v K
C.kubični v K
D.eksponentno v K",a,"a question about cross-validation!

the correct answer is a. linearno v k.

k-fold cross-validation is a resampling procedure used to evaluate machine learning models. in k-fold cross-validation, the dataset is divided into k folds, and the model is trained and evaluated k times, with each fold serving as the validation set once.

the relationship between the number of folds (k) and the computational complexity of cross-validation is linear. as k increases, the computational cost of cross-validation increases linearly.

so, the correct answer is a. linearno v k, which means ""linear in k"".",true
"Zdi se, da so odrasli srednjih let več kot starejši ali mlajši odrasli
A.Generativno
B.Nevrotični
C.Prijetno
D.Nekaterih",a,"i think i can help you with that!

the correct answer is a. generativno.

the statement ""zdi se, da so odrasli srednjih let več kot starejši ali mlajši odrasli"" translates to ""it seems that middle-aged adults are more than older or younger adults"". this refers to the concept of generativity, which is a psychological theory developed by erik erikson. according to this theory, middle-aged adults (around 40-65 years old) tend to be more concerned with contributing to society, leaving a lasting legacy, and guiding the next generation, which is known as generativity.

let me know if you have any further questions!",true
