Question,CorrectAnswer,GivenAnswer,Correct
"一名患者颈部骨折，第六颈椎水平的脊髓受损。
A.如果没有生命支持，他们将无法呼吸。
B.他们只能安静地呼吸。
C.无法预测对呼吸的影响。
D.呼吸不会受到影响。",b,a,false
"这种营销和沟通工具提供了直接的诱因或激励，以鼓励客户购买产品/服务：
A.广告。
B.公共关系。
C.促销。
D.直销。",c,c,true
"导致软骨发育不全的突变会产生可分为以下几类的影响：
A.显性阴性。
B.功能增益。
C.单倍体功能不全。
D.功能丧失。",b,acd,false
"本问题涉及以下信息。
“极权主义政权的种子是由苦难和匮乏孕育的。它们在贫穷和纷争的邪恶土壤中传播和生长。当一个民族对更美好生活的希望破灭时，他们就会充分成长。我们必须保持这种希望。事态的迅速发展赋予了我们重大责任。我相信，国会将正视这些责任。
哈里·杜鲁门总统，1947年
上面这段话所表达的思想最直接地反映了美国历史上以下哪一项连续性？
A.关于国会与总统之间关系的辩论。
B.关于在动荡局势中使用武力的辩论。
C.关于美国在世界事务中的作用的辩论。
D.关于政党适当作用的辩论。",c,c,true
"中年人似乎比老年人或年轻人更____
A.生成
B.神经
C.同意
D.一定",a,c,false
"荷兰的官方语言是什么？
A.丹麦语
B.瑞典语
C.德语
D.荷兰语",d,d,true
"测定1.0M苯酚，C 6H 5 OH溶液中的H +（aq）浓度。（苯酚的 Ka 为 1 × 10^-10。
A.1 × 10^-10 米
B.1 × 10^-9 米
C.1 × 10^-3 米
D.1 × 10^-5 米",d,b,false
"根据同源蛋白质的氨基酸序列确定不同物种的进化相关性通常不如基于同源基因的核苷酸序列确定相关性准确？
A.沉默突变
B.基因复制
C.改变基因序列的易位事件
D.交叉",a,c,false
"这些菜肴中哪一种是用猪肠制成的？
A.哈吉斯
B.甲壳素
C.糁
D.剁手",b,c,false
"K-fold 交叉验证是
A.线性 K
B.二次方 K
C.立方 K
D.指数 K",a,a,true
"这些恐怖片中哪部催生了最多的续集？
A.尖叫'
B.大白鲨
C.万圣节'
D.13日星期五",d,d,true
"演员安东尼奥·班德拉斯的母语是什么？
A.西班牙语
B.俄语
C.德语
D.法语",a,a,true
"在考虑从印度搬到美国时，以下哪些因素会被视为丽娃的“拉动”因素？
A.赤贫
B.更好的工作和更高的工资
C.印度的种姓制度
D.她所在社区的暴力事件",b,b,true
"确定以下条件命题的前因：只有当土豚或花栗鼠没有赢得第一场比赛时，蜜蜂才会赢得第一场比赛。
A.土豚队没有赢得他们的第一场比赛。
B.蜜蜂队赢得了他们的第一场比赛。
C.花栗鼠没有赢得他们的第一场比赛。
D.土豚或花栗鼠都没有赢得他们的第一场比赛。",b,d,false
"以下哪些特征与约会强奸大体一致？
A.过度使用武力
B.预谋
C.性动机
D.涉及使用武器",c,bc,false
"坦克呈三棱柱形状。如果三角形底座的面积为 116 平方英尺，而水箱高 30 英尺，那么水箱装满时会装多少水？
A.1725 英尺^3
B.1740 英尺^3
C.3480 英尺^3
D.6960 英尺^3",c,b,false
"四舍五入到最接近的千位的数字是 47,000。哪个数字可能是四舍五入的数字？
A.46,295
B.46,504
C.47,520
D.47,924",b,b,true
"X国驻外公使的非法杀人行为是法律上的帝国行为还是法律上的统治行为？
A.这种行为是公共行为（jure imperii）
B.这种行为从来不会获得豁免权
C.这种行为是私人行为（jure gestionis）
D.这种行为是公共行为，但受到豁免权的保护",c,a,false
"学生们正在进行植物色素分离练习，要求他们使用一个封闭的色谱室，在室的底部加入少量丙酮。丙酮的安全警告包括声明它对眼睛和皮肤有刺激性，并具有易燃蒸气。在以下几点中，学生在进行练习时应采取哪些安全预防措施？
A.戴上阻燃手套，在丙酮着火时将腔室带到通风柜
B.在颜料分离期间将腔室放置在封闭的黑暗柜中
C.戴上皮手套，用颗粒面罩遮住口鼻
D.戴上护目镜和丁腈手套，并保持所有丙酮容器关闭",d,d,true
