Question,CorrectAnswer,GivenAnswer,Correct
"1999-cu ildə çəkilən ""Maqnolia"" filmi hansı ştatda çəkilib?
A.Kaliforniya
B.Cənubi Karolina
C.Gürcüstan
D.Texas",a,"the correct answer is a. kaliforniya.

the film ""magnolia"" (1999) was directed by paul thomas anderson and filmed in california, primarily in the san fernando valley.",true
"Xəstə 6-cı sidik oritinin səviyyəsində onurğa beyninin zədələnməsi ilə boynunun sınığı ilə əziyyət çəkir.
A.Onlar həyat dəstəyi olmadan nəfəs ala bilməyəcək.
B.Onlar yalnız sakit nəfəs ala biləcəklər.
C.Tənəffüsə təsirini proqnozlaşdırmaq qeyri-mümkündür.
D.Tənəffüs təsirsiz olacaq.",b,"the correct answer is a. onlar həyat dəstəyi olmadan nəfəs ala bilməyəcək.

the sentence means that without life support, they will not be able to breathe.",false
"Niderlandın rəsmi dili hansıdır?
A.Dan dili
B.Isveç dili
C.Alman dili
D.Holland dili",d,the correct answer is a. nederlands (also known as dutch) is the official language of the netherlands.,false
"İzahlı şəxsiyyətin qeyri-səlisliyi konkret bir növ
A.Bədbəxt hadisənin qeyri-dəqiqliyi
B.Yalançı dilemma
C.Sual-cavab yalvarmaq
D.Dairəvi mülahizələr",a,"the correct answer is a. bədbəxt hadisənin qeyri-dəqiqliyi.

this option translates to ""the unclearness of a bad event"" or ""the ambiguity of a unfortunate occurrence"".

the other options do not accurately translate to a specific type of unclearness.",true
"Bunlardan hansı homoloji zülalların amin turşusu ardıcıllığına əsaslanaraq müxtəlif növlərin təkamüllə bağlılığını müəyyən edir? Ümumiyyətlə, homoloji genlərin nukleotid ardıcıllığına əsaslanan qohumluq qərarlarından daha az dəqiqdir?
A.Səssiz mutasiyalar
B.Gen dublajları
C.Gen ardıcıllığını dəyişən translokasiya hadisələri
D.Keçid",a,"the correct answer is c. gen ardıcıllığını dəyişən translokasiya hadisələri.

the question is asking about the relationship between different genes and their ability to influence the development of an organism.",false
"Bu xörəklərdən hansı donuz bağırsağından hazırlanır?
A.haqqi
B.çitlinlər
C.qfits
D.chop suey",b,"i'm happy to help you with that!

however, i must point out that the options provided are not related to the preparation of a dish.

could you please provide more context or clarify what you are trying to achieve? i'll do my best to assist you.",false
"Aktyor Antonio Banderas doğma dil nədir?
A.İspan dili
B.Rus dili
C.Alman dili
D.Fransız dili",a,"the correct answer is a. i̇span dili.

antonio banderas is a spanish actor, and his native language is spanish.",true
"Bu sual aşağıdakı məlumatlara aiddir.
""Totalitar rejimlərin toxumları bədbəxtlik və arzu ilə tərbiyə olunur. Onlar yoxsulluğun və çəkişmələrin şərində yayılıb böyüyürlər. Yaxşı həyat üçün ümidləri öləndə onlar tam inkişaf edirlər. Biz bu ümidi canlı saxlamalıyıq... Hadisələrin sürətlə cərəyan edilməsi ilə üzərimizə böyük vəzifələr qoyuldu... Əminəm ki, Konqres bu məsuliyyətləri birbaşa qarşılayacaq"".
Prezident Harri S. Trumen, 1947-ci il
Yuxarıdakı keçiddə ifadə olunan fikirlər ABŞ tarixində aşağıdakı davamiyyətlərdən hansını birbaşa əks etdirir?
A.Konqreslə prezident arasındakı münasibətlər haqqında debatlar.
B.Qeyri-sabit vəziyyətlərdə hərbi gücdən istifadə ilə bağlı mübahisələr.
C.ABŞ-ın dünya işlərində rolu haqqında debatlar.
D.Siyasi partiyaların düzgün rolu haqqında debatlar.",c,"the correct answer is a. konqreslə prezident arasındakı münasibətlər haqqında debatlar.

the passage mentions the debate between the president and the congress, which is related to the role of the president in the government.",false
"Aşağıdakı şərti təklifin antecedentini müəyyən edin: Arılar ilk oyununu yalnız Aardvarks və ya Chipmunks ilk oyunlarında qalib gəlmədikləri təqdirdə qazanırlar.
A.Aardvarklar ilk oyunda qalib gəlmirlər.
B.İlk oyunda arılar qalib gəldi.
C.Çipmunklar ilk oyunda qalib gəlmirlər.
D.Ya aardvarklar, ya da çipmunklar ilk oyunlarında qalib gəlmirlər.",b,"the antecedent of the pronoun ""they"" in the sentence is ""arilar"" (bees).",false
"Aşağıdakı xüsusiyyətlərdən hansı ümumiyyətlə tarix təcavüzünə uyğundur?
A.həddən artıq gücdən istifadə
B.əvvəlcədən planlaşdırılmış
C.cinsi əlaqə
D.silahdan istifadə ilə bağlıdır",c,"the correct answer is b.əvvəlcədən planlaşdırılmış.

this option corresponds to the concept of ""premeditation"" in the context of criminal law. premeditation refers to the planning and preparation of a crime before it is committed.",false
