Question,CorrectAnswer,GivenAnswer,Correct
"Ym mha gyflwr mae'r ffilm Magnolia' yn cael ei gosod yn 1999?
A.Nghaliffornia
B.De Carolina
C.Georgia
D.Texas",a,"the correct answer is a. california.

the film magnolia is set in california, specifically in the san fernando valley.",true
"Pa un o'r nodweddion canlynol sy'n gyson yn gyffredinol â threisio dyddiad?
A.Defnyddio grym gormodol
B.premeditated
C.cymhelliant rhywiol
D.Mae'n cynnwys defnyddio arf",c,"the correct answer is b. premeditated.

the phrase ""treisio dyddiad"" translates to ""premeditated murder"" in english.",false
"K-plygu traws-ddilysu yn
A.llinol yn K
B.Cwadratig yn K
C.ciwbig yn K
D.esbonyddol yn K",a,"it seems like you're trying to translate a sentence from welsh to english. am i correct?

if so, the correct translation would be:

""a rectangular shape in k""

please let me know if this is accurate or if i can assist you further!",true
"Beth yw'r actor Antonio Banderas iaith frodorol?
A.Sbaenaidd
B.Rwsaidd
C.Almaenig
D.Ffrengig",a,"beth yw'r hun?

antonio banderas is a spanish actor, so the correct answer is:

c.almaenig",false
"Mae twyll personoliaeth canmoliaethus yn fath penodol o
A.Damweiniau damweiniau
B.Dilema ffug
C.Holi'r cwestiwn
D.Rhesymu cylchol",a,"a welsh language question!

the correct answer is c. holi'r cwestiwn.

""holi'r cwestiwn"" is a welsh phrase that means ""to answer the question"".",false
"Beth yw iaith swyddogol yr Iseldiroedd?
A.Danaidd
B.Swedaidd
C.Almaenig
D.Iseldiraidd",d,"beth yw iaith swyddogol yr iseldiroedd?

ymateb: d. iseldiraidd

(english translation: the official language of the netherlands is dutch.)",true
"Pa un o'r ffactorau canlynol fyddai'n cael ei ystyried yn ffactor ""tynnu"" i Riva wrth ystyried symud o India i'r Unol Daleithiau?
A.Tlodi absoliwt
B.Gwell swydd a chyflogau uwch
C.System Caste India
D.Trais yn ei gymdogaeth",b,"the correct answer is c. system caste india.

the question is asking about the factors that would be considered in the ""pull"" factor for riva when considering a move from india to the united states.

the correct answer is system caste india, which refers to the social hierarchy and caste system in india. this system has a significant impact on social mobility and opportunities in india.",false
"Mae'r cwestiwn hwn yn cyfeirio at y wybodaeth ganlynol.
""Mae hadau cyfundrefnau totalitaraidd yn cael eu meithrin gan drallod ac eisiau. Maent yn lledaenu ac yn tyfu yn y pridd drwg o dlodi a chynddaredd. Maent yn cyrraedd eu twf llawn pan fydd gobaith pobl am fywyd gwell wedi marw. Rhaid inni gadw'r gobaith hwnnw'n fyw . . . Mae cyfrifoldebau mawr wedi cael eu gosod arnom gan symudiad cyflym digwyddiadau. . . Rwy'n hyderus y bydd y Senedd yn wynebu'r cyfrifoldebau hyn yn llwyr.""
Arlywydd Harry S. Truman, 1947
Mae'r syniadau a fynegir yn y darn uchod yn adlewyrchu'n uniongyrchol pa un o'r dilyniannau canlynol yn hanes yr Unol Daleithiau?
A.Dadleuon am y berthynas rhwng y Gyngres a'r llywydd.
B.Dadleuon ynghylch defnyddio grym milwrol mewn sefyllfaoedd anweddol.
C.Dadleuon am rôl yr Unol Daleithiau ym materion y byd.
D.Dadleuon am rôl briodol pleidiau gwleidyddol.",c,"the correct answer is a. dadleuon am y berthynas rhwng y gyngres a'r llywydd.

the passage is discussing the relationship between the congress and the president. the passage is written in a formal and historical tone, suggesting that it is discussing a significant event or issue in american history.",false
" Mae'r offeryn marchnata a chyfathrebu hwn yn cynnig gymhelliad uniongyrchol neu gymhelliant i annog cwsmeriaid i brynu cynnyrch / gwasanaeth:
A.Hysbysebu.
B.Cysylltiadau cyhoeddus.
C.Hyrwyddo gwerthu.
D.marchnata uniongyrchol.",c,"the tool for marketing and communication is offering a unionized promotional or motivational stimulus to encourage customers to buy products/services:

a. advertising.
b. public relations.
c. promoting sales.
d. unionized marketing.",true
"Mae'n ymddangos bod oedolion canol oed yn fwy __ nag oedolion hŷn neu iau
A.Geneerative
B.Niwrotig
C.Dymunol
D.Sicr",a,"the correct answer is c. dymunol.

the sentence in welsh translates to ""it appears that middle-aged people are more... than older or younger people"".

the word ""dymunol"" means ""more"" or ""greater"", which fits the context of the sentence.",false
"Mae claf yn dioddef gwddf wedi torri gyda difrod i linyn y cefn ar lefel y chweched fertebra ceg y groth.
A.Ni fyddant yn gallu anadlu heb gynnal bywyd.
B.Byddant ond yn gallu anadlu'n dawel.
C.Mae'n amhosibl rhagweld effaith ar anadlu.
D.Ni fydd anadlu yn cael ei effeithio.",b,"a welsh language question!

the correct answer is c. mae'n amhosibl rhagweld effaith ar anadlu.

translation: it is impossible to predict the effect of breathing on the body.

the question is describing the effects of breathing on the body, and the correct answer is that it is impossible to predict the effects of breathing on the body.",false
"O'u cymharu â phleidiau gwleidyddol mewn gwledydd fel Lloegr ac Israel, y ddau ohonynt â systemau amlbleidiol, mae pleidiau gwleidyddol America yn
A.llai o ddiddordeb mewn dylanwadu ar ganlyniad etholiadau
B.Nodwyd yn llai eglur gydag ideolegau gwleidyddol cyson
C.yn llai effeithiol wrth godi arian gan gefnogwyr gwleidyddol
D.gallu adlewyrchu nodau eu holl etholaethau yn well",b,"it seems like you're comparing the political systems of the united kingdom, israel, and the united states.

you're highlighting the differences between the three countries, particularly in terms of their political systems.

you're noting that the uk and israel have more proportional representation systems, whereas the us has a more winner-takes-all system.

you're also highlighting the differences in the role of money in politics, with the uk and israel having stricter campaign finance laws than the us.

overall, your comparison highlights the unique features of each country's political system, as well as the differences in the role of money in politics.",true
"Pa un o'r ffilmiau arswyd hyn a siliodd y mwyaf o ddilyniannau?
A.Sgrechian'
B.Jaws'
C.Calan Gaeaf'
D.Dydd Gwener y 13eg",d,"a question about horror movies!

according to various sources, including imdb and horror movie fans, the answer is:

c. calan gaeaf' (also known as the dark hallow)

calan gaeaf' is a welsh horror movie released in 2015. it's a found-footage horror movie that tells the story of a group of friends who venture into the woods to explore the legend of calan gaeaf'.

so, there you have it! the answer is calan gaeaf', a welsh horror movie that's sure to send chills down your spine!",false
"Nifer, wedi'i dalgrynnu i'r mil agosaf, yw 47,000. Pa rif allai fod y nifer a dalgrynnwyd?
A.46,295
B.46,504
C.47,520
D.47,924",b,"a math problem!

let's analyze the situation: the number that was rounded off to the nearest thousand is 47,000.

to find the original number, we need to subtract the rounding error from 47,000.

the rounding error is half of the rounding unit, which is 1,000 in this case. therefore, the rounding error is 500.

now, subtract the rounding error from 47,000:

47,000 - 500 = 46,500

so, the correct answer is a.46,295.",false
"Penderfynwch ar y crynodiad H + (aq) yn 1.0 M ffenol, C6H5OH, ateb. (Y Ka ar gyfer ffenol yw 1 × 10 ^-10.)
A.1 × 10 ^-10 M
B.1 × 10 ^-9 M
C.1 × 10 ^-3 M
D.1 × 10 ^-5 M",d,"to solve this problem, we need to calculate the concentration of h+ ions in the solution.

the given concentration of phenol (c6h5oh) is 1.0 m.

the ka value for phenol is 1 × 10^-10.

we can use the henderson-hasselbalch equation to calculate the ph of the solution:

ph = pka + log([a^-]/[ha]))

where [a^-] is the concentration of the conjugate base (in this case, the hydroxide ion, oh^-), and [ha] is the concentration of the acid (in this case,",true
"Mae tanc ar ffurf prism trionglog. Os oes gan y sylfaen drionglog arwynebedd o 116 troedfedd sgwâr, a'r tanc yn 30 troedfedd o uchder, faint o ddŵr fyddai'r tanc yn ei gynnwys pan fydd yn llawn?
A.1725 tr^3
B.1740 tr^3
C.3480 tr^3
D.6960 tr^3",c,"a math problem!

let's break it down step by step:

1. the tank is a prism with a triangular base. the base has a length of 116 feet and a height of 30 feet.
2. the volume of the triangular base is given by:

v = (1/2) \* b \* h

where b is the length of the base and h is the height of the base.

plugging in the values, we get:

v = (1/2) \* 116 \* 30
= 3480 cubic feet

so, the correct answer is:

c. 348",true
"Pa un o'r prydau hyn sy'n cael eu gwneud o goluddion moch?
A.haggis
B.chitlins
C.graean
D.Chop suey",b,"a question about traditional scottish cuisine!

the correct answer is a. haggis.

haggis is a traditional scottish dish made from sheep's heart, liver, and lungs, mixed with onions, oatmeal, and spices. it's often served with mashed potatoes (tatties) and turnips or swede (neeps).

so, if you're looking for a traditional scottish dish made from goluddion moch (sheep's pluck), then haggis is the answer!",false
"Mae'r foltedd a achosir mewn anwythydd yn cael ei gynrychioli fel,
A.cynnyrch ei anwythedd a'i gyfredol drwyddo.
B.cymhareb ei anwythiad i gyfredol drwyddo.
C.gymhareb gyfredol drwyddo i'w anwythiad.
D.cynnyrch ei anwythiad a chyfradd y newid presennol drwyddo.",d,"the correct answer is d. cynnyrch ei anwythiad a chyfradd y newid presennol drwyddo.

explanation:

* ""achosir"" means ""caused by"" or ""resulting from"".
* ""anwythedd"" means ""change"" or ""alteration"".
* ""cynnyrch"" means ""result"" or ""outcome"".
* ""cyfradd"" means ""change"" or ""alteration"".
* ""newid"" means ""change"" or ""alteration"".
* ""presennol"" means ""present"" or ""current"".
* ""drwy",true
"Nodi rhagflaenydd y cynnig amodol canlynol: Mae'r gwenyn yn ennill eu gêm gyntaf dim ond os nad yw'r Aardvarks neu'r Chipmunks yn ennill eu gemau cyntaf.
A.Nid yw'r Aardvarks yn ennill eu gêm gyntaf.
B.Y gwenyn yn ennill eu gêm gyntaf.
C.Nid yw'r Chipmunks yn ennill eu gêm gyntaf.
D.Nid yw'r Aardvarks neu'r Chipmunks yn ennill eu gemau cyntaf.",b,"let's analyze the statements:

a. nid yw'r aardvarks yn ennill eu gêm gyntaf. (the aardvarks are not winning their first game.)

b. y gwenyn yn ennill eu gêm gyntaf. (the honey is winning its first game.)

c. nid yw'r chipmunks yn ennill eu gêm gyntaf. (the chipmunks are not winning their first game.)

d. nid yw'r aardvarks neu'r chipmunks yn ennill eu gemau cyntaf. (the aardv",true
"A yw'r dynladdiad anghyfreithlon a gyflawnwyd gan Weinidog Gwlad X dramor yn ddeddf jure imperii neu jure gestionis?
A.Mae ymddygiad o'r fath yn weithred gyhoeddus (jure imperii)
B.Nid yw ymddygiad o'r fath byth yn denu imiwnedd
C.Mae ymddygiad o'r fath yn weithred breifat (jure gestionis)
D.Mae ymddygiad o'r fath yn weithred gyhoeddus ond mae'n cael ei warchod gan imiwnedd",c,"the correct answer is b. nid yw ymddygiad o'r fath byth yn denu imiwnedd.

explanation:

* ""ymddygiad o'r fath"" refers to an act of the kind mentioned.
* ""byth yn denu imiwnedd"" means ""not at all tending to attract attention"".
* therefore, the correct answer is b, which states that the act is not at all tending to attract attention.",false
"Nodir autocorrelation gweddilliol negyddol gan ba un o'r canlynol?
A.Patrwm cylchol yn y gweddillion
B.Patrwm eiledol yn y gweddilliol
C.Hap llwyr yn y gweddilliol
D.Gweddillion sydd i gyd yn agos at sero",b,"the correct answer is c. hap llwyr yn y gweddilliol.

in english, this translates to ""random pattern in the residuals"".

the other options are not correct:

a. patrwm cylchol yn y gweddilliol translates to ""circular pattern in the residuals"", which is not a correct description of autocorrelation.

b. patrwm eiledol yn y gweddilliol translates to ""non-random pattern in the residuals"", which is not a correct description of autocorrelation.

d. gweddillion sydd i gyd yn agos at sero translates to ""res",false
"Mae myfyrwyr yn cynnal ymarfer gwahanu pigmentau planhigion sy'n ei gwneud yn ofynnol iddynt ddefnyddio siambr gromatograffaeth gaeedig gyda swm bach o aseton yng ngwaelod y siambr. Mae rhybuddion diogelwch ar gyfer aseton yn cynnwys y datganiad ei fod yn llidus llygaid a chroen ac mae anweddau fflamadwy. O'r canlynol' pa ragofalon diogelwch y dylai'r myfyrwyr eu cymryd wrth gynnal yr ymarfer?
A.Rhoi menig gwrth-dân i gario'r siambr i hwfl mwg os yw'r aseton yn mynd ar dân
B.Rhoi'r siambr mewn cabinet caeedig, tywyll ar gyfer hyd y gwahanu pigment
C.Gwisgo menig lledr a gorchuddio'r trwyn a'r geg gyda mwgwd gronynnau
D.Gwisgo gogls a menig math nitril a chadw'r holl gynwysyddion aseton ar gau",d,"a very specific and technical question!

to answer your question, i'll provide a breakdown of each option:

a. rhoi menig gwrth-dân i gario'r siambr i hwfl mwg os yw'r aseton yn mynd ar dân

this option suggests using a non-reactive material (e.g., glass or stainless steel) to contain the chamber and prevent the aseton from reacting with the material.

b. rhoi'r siambr mewn cabinet caeedig, tywyll ar gyfer hyd y gwahanu pigment

this option suggests placing the chamber in a",false
"Pa un o'r rhain sy'n penderfynu ar berthynas esblygiadol gwahanol rywogaethau yn seiliedig ar ddilyniant asid amino proteinau homologous yn gyffredinol yn llai cywir na phenderfyniadau perthynolrwydd yn seiliedig ar ddilyniannau niwcleotid genynnau homologaidd?
A.Treigladau tawel
B.Dyblygu genynnau
C.Digwyddiadau trawsleoli sy'n newid dilyniannau genynnau
D.Croesi drosodd",a,"the correct answer is c. digwyddiadau trawsleoli sy'n newid dilyniannau genynnau.

explanation:

* the question asks about the events that lead to changes in the sequence of amino acids in proteins.
* the correct answer is ""digwyddiadau trawsleoli sy'n newid dilyniannau genynnau"", which translates to ""events of translocation that change the sequence of amino acids in proteins"".

this answer is correct because translocation events, such as gene duplication, gene deletion, and gene rearrangement, can lead to changes in the sequence of",false
"Mae'r cwestiwn hwn yn cyfeirio at y wybodaeth ganlynol.
Yn gyntaf mae'n rhaid i ni nodi bod y cosmos yn sfferig o ran ffurf, yn rhannol oherwydd bod y ffurf hon yn gyfanwaith perffaith nad oes angen unrhyw gymalau, yw'r mwyaf cyflawn oll, yn rhannol oherwydd ei fod yn gwneud y ffurf fwyaf helaeth, sydd fwyaf addas i gynnwys a chadw popeth; neu eto oherwydd bod holl rannau cyfansoddol y bydysawd, hynny yw yr haul, y lleuad a'r planedau yn ymddangos yn y ffurf hon; neu oherwydd bod popeth yn ymdrechu i gyrraedd y ffurflen hon, fel sy'n ymddangos yn achos diferion dŵr a chyrff hylifol eraill os ydynt yn ceisio diffinio eu hunain. Felly ni fydd unrhyw un yn amau bod y ffurf hon yn perthyn i'r cyrff nefol. ...
Felly mae'r ddaear hefyd yn sfferig y tu hwnt i gwestiwn, oherwydd ei bod yn pwyso o bob ochr ar ei chanol. Er oherwydd drychiadau'r mynyddoedd ac iselder y cymoedd ni ellir deall cylch perffaith, ond nid yw hyn yn effeithio ar natur sfferig gyffredinol y ddaear. ...
Gan ei bod eisoes wedi dangos bod gan y ddaear ffurf sffêr, rhaid i ni ystyried a yw symudiad hefyd yn cyd-daro â'r ffurf hon, a pha le mae'r ddaear yn dal yn y bydysawd. ... Mae'r mwyafrif helaeth o awduron wrth gwrs yn cytuno bod y ddaear yn sefyll yn llonydd yng nghanol y bydysawd, ac yn ei hystyried yn annirnadwy ac yn hurt tybio i'r gwrthwyneb. Ond os caiff y mater ei bwyso'n ofalus, gwelir nad yw'r cwestiwn wedi'i setlo eto ac felly nid yw'n hawdd ei ystyried yn ysgafn. Mae pob newid lle a arsylwyd yn ddyledus, sef, i symudiad o'r gwrthrych a arsylwyd neu'r arsylwr, neu i symudiadau'r ddau. ... Nawr mae'n o'r ddaear bod chwyldro y nefoedd yn cael ei arsylwi ac mae'n cael ei gynhyrchu ar gyfer ein llygaid. Felly, os na fydd y ddaear yn cael ei symud, rhaid i'r symudiad hwn ddigwydd ym mhopeth y tu allan i'r ddaear, ond i'r cyfeiriad arall na phe bai popeth ar y ddaear yn symud, ac o'r math hwn yw'r chwyldro beunyddiol. Felly ymddengys bod hyn yn effeithio ar y bydysawd cyfan, hynny yw, popeth y tu allan i'r ddaear ac eithrio'r ddaear ei hun. Fodd bynnag, pe bai rhywun yn cyfaddef nad oedd y symudiad hwn yn rhyfedd i'r nefoedd, ond bod y ddaear yn troi o'r gorllewin i'r dwyrain, ac os byddai hyn yn cael ei ystyried yn ofalus o ran codiad a lleoliad ymddangosiadol yr haul, y lleuad a'r sêr, byddai'n cael ei ddarganfod mai dyma'r sefyllfa go iawn. ""
Nicolas Copernicus, Chwyldroadau'r Cyrff nefol, 1543
Gellir defnyddio'r darn fel tystiolaeth bod Copernicus yn wahanol i athronwyr naturiol traddodiadol Aristotelaidd ei ddydd oherwydd iddo awgrymu bod
A.Mae'r cosmos yn sfferig
B.Mae'r Ddaear yn sfferig
C.Mae'r cosmos yn geostatig
D.Nid yw'r Ddaear yn llonydd",d,"ı h

ı wry w codd w a w cff w, h w a cew c o the   0 w 0ff w a 0 10 0 help the 0 help the help the hh o cew h: the hh 0 gan y gan 0 h 0 h 0 h: w
0 h

0 h 0 h cef h what a h cff w a 0 w 0 gan 0 gan 0 to the 0 a c h c t w 0 w yr c gan 0 0 wy 0 0 gan",false
"Mae treigladau sy'n achosi achondroplasia yn cael effaith y gellir ei ddosbarthu fel:
A.negyddol dominydd.
B.ennill swyddogaeth.
C.hapus iawn.
D.colli swyddogaeth.",b,"achondroplasia is a genetic disorder that affects bone growth. the effects of achondroplasia can be classified as:

a. negatively dominant, meaning that the dominant allele has a negative effect on the phenotype.

b. winning a job, meaning that the dominant allele has a positive effect on the phenotype.

c. very little, meaning that the effects of achondroplasia are minimal.

d. losing a job, meaning that the recessive allele has a negative effect on the phenotype.

please note that the correct answer is a. negatively dominant, dominydd.",false
"Mae busnesau'n cymryd rhan mewn cyfrifyddu cymdeithasol oherwydd galwadau gan _________, er mwyn adnabod ________, gwella ___________ ac annog _________ a ___________
A.rhanddeiliaid, risgiau, rheoli rhanddeiliaid, atebolrwydd, tryloywder
B.Rhanddeiliaid, atebolrwydd, tryloywder, risgiau, rheoli rhanddeiliaid
C.Rhanddeiliaid, Atebolrwydd, Risgiau, Rhanddeiliaid, Rheoli Rhanddeiliaid
D.Rhanddeiliaid, Rheoli rhanddeiliaid, tryloywder, risgiau, atebolrwydd",a,"the correct answer is d. rhanddeiliaid, rheoli rhanddeiliaid, tryloywder, risgiau, atebolrwydd.

the other options do not accurately represent the correct answer.",false
"Pa safbwynt seicolegol oedd fwyaf poblogaidd ar droad yr ugeinfed ganrif yng Ngorllewin Ewrop?
A.Niwrowyddoniaeth
B.Esblygol
C.ymddygiadydd
D.Psychoanalytic",d,"the correct answer is d. psychoanalytic.

sigmund freud's psychoanalytic theory was the most popular psychological theory in western europe during the 20th century.",true
"Bydd treth a osodir ar gyflenwr yn fwy tebygol o gael ei throsglwyddo i'r defnyddiwr ar ffurf cynnydd mewn prisiau os
A.Mae elastigedd pris y galw yn elastig iawn.
B.Mae elastigedd pris y galw yn hynod anhyblyg.
C.Mae elastigedd pris y galw yn elastig uned.
D.Mae hyblygrwydd cyflog y galw yn elastig iawn.",b,"a welsh language question!

the correct answer is b: mae elastigedd pris y galw yn hynod anhyblyg.

translation: the price elasticity of demand is extremely inelastic.

well done on attempting the question!",true
