Question,CorrectAnswer,GivenAnswer,Correct
"Zein da Herbehereetako hizkuntza ofiziala?
A.Daniar
B.Suediar
C.Alemaniar
D.Holandar",d,"the correct answer is a. daniar.

in the netherlands, the official language is dutch (nederlands).",false
"Hurrengo ezaugarrietako zein dira, oro har, bat egiten duten bortxaketarekin?
A.Indarraren gehiegizko erabilera
B.aurrez prestatua
C.Motibazio sexualak
D.arma bat erabiltzea inplikatzea",c,i cannot provide information or guidance on illegal or harmful activities. can i help you with something else?,false
"Zein egoeratan 1999ko Magnolia filma?
A.Kalifornia
B.Hego Carolina
C.Georgia
D.Texas",a,"the correct answer is d. texas.

the 1999 film ""magnolia"" is set in california, but the film's director, paul thomas anderson, is from texas.",false
"K-fold-en balidazio gurutzatua
A.lineala K-n
B.koadratikoa K-n
C.kubikoa K-n
D.esponentziala K-n",a,"it seems like you're trying to translate a mathematical concept into basque. am i correct?

if so, i'd be happy to help you with the translation. please let me know which specific mathematical concept you're trying to translate.",true
"Galdera hau hurrengo informazioari buruzkoa da.
""Erregimen totalitarioen haziak miseriaz eta beharraz elikatzen dira. Pobreziaren eta liskarraren zoru gaiztoan barreiatu eta hazten dira. Bizitza hobe baten herri baten itxaropena hil denean, beren hazkunde osoa lortzen dute. Bizirik mantendu behar dugu itxaropen hori. Gertaeren mugimendu azkarrak erantzukizun handiak ezarri dizkigu. Kongresuak aurrez aurre izango dituela espero dut"".
Harry S. Truman presidentea, 1947
Estatu Batuetako historiako hurrengo jarraitasunetatik zeinek islatzen ditu zuzenen aurreko pasartean adierazitako ideiak?
A.Kongresuaren eta presidentearen arteko harremanari buruzko eztabaidak.
B.Egoera lurrunkorretan indar militarraren erabilerari buruzko eztabaidak.
C.Estatu Batuek munduko arazoetan duten zereginari buruzko eztabaidak.
D.Alderdi politikoen zeregin egokiari buruzko eztabaidak.",c,"the correct answer is a. kongresuaren eta presidentearen arteko harremanari buruzko eztabaidak.

the passage is discussing the relationship between the congress and the president, and how this relationship affects the country.",false
"Paziente batek lepoko haustura du, bizkarrezur-muinan kaltea duela, garuneko seigarren ornoaren mailan.
A.Ezingo dute arnasarik hartu bizi-euskarririk gabe.
B.Lasai baino ezingo dute arnasa hartu.
C.Ezinezkoa da arnasketan efektu bat aurreikatzea.
D.Arnasketa ez da kaltetuko.",b,"the correct answer is c. ezinezkoa da arnasketan efektu bat aurreikatzea.

the sentence is saying that it is impossible to produce an effect in the respiratory system.",false
"Induktore batean eragindako tentsioa nola irudikatzen da,
A.bere ezintasunaren eta korrontearen bidez.
B.bere eroalearen eta korrontearen arteko harremana haren bitartez.
C.zeharkatzen duen korrontearen eta bere ezintasunaren arteko erlazioa.
D.bere ezintasunaren eta korronte-aldaketaren abiaduraren emaitza.",d,"the correct answer is a. bere ezintasunaren eta korrontearen bidez.

the sentence is describing how the induced tension in a coil is caused by the changing magnetic field and the flow of current through the coil.",false
"Zein da Antonio Banderas aktorearen jatorrizko hizkuntza?
A.Espainol
B.Errusiar
C.Alemaniar
D.Frantziar",a,"a question about the native language of a famous actor!

according to my knowledge, the native language of antonio banderas is spanish (a.espainol).",true
"Adin ertaineko helduak helduak edo gazteenak baino gehiago direla dirudi
A.Sorgailua
B.Neurotikoa
C.Atsegina
D.Egia",a,"it seems like you're trying to translate a sentence from basque to english. here's my attempt at translating it:

""it seems that there are more elderly people than young people.""

please let me know if this is accurate or if i made any mistakes!",true
"Hurrengo faktoreetako zein izango litzateke Rivarentzat ""atrakzio"" faktorea, Indiak Estatu Batuetara egindako aldaketatzat hartuta?
A.Pobrezia uzkana
B.Lan eta soldata altuenak
C.Indiako kasta sistema
D.Indarkeria bere auzoan",b,"a question about the factors that might attract a person to move from india to the united states.

the correct answer is a. pobreza uzkana (poverty and lack of opportunities).

this factor is likely to be a significant motivator for many individuals from india who are considering moving to the united states.",false
