Question,CorrectAnswer,GivenAnswer,Correct
"د ۱۹م کال د مګنولیا فلم په کوم حالت کې دی؟
A.کالیفورنیا
B.جنوبی کارولینا
C.ګورجستان
D.ټیکساس",a,"the correct answer is a. کالیفورنیا.

the film ""magnolia"" (1999) is set in california, specifically in the san fernando valley.",true
hich is a field that focuses on the development of devices and systems that interact with the brain.",false
"د انتونیو بانډیراس اصلی ژبه څه ده؟
A.هسپانوي
B.روسي
C.الماني ژبه
D.فرانسوي ژبه",a,"the correct answer is a. هسپانوي (spanish).

antonio banderas is a spanish actor, and his native language is spanish.",true
" دا بازارموندنه او مخابراتی وسیله مستقیم هڅونه یا هڅونه وړاندې کوی ترڅو پیرودونکی د محصول / خدمت پیرود لپاره وهڅوی:
A.اعلانونه
B.عامه اړیکې.
C.د پلور ترویج.
D.په مستقیم ډول د بازارموندنې.",c,"the correct answer is d. په مستقیم ډول د بازارموندنې.

this option refers to direct marketing, which involves promoting products or services directly to customers, often through personal contact or digital channels.",false
"کوم خواړه د خوګ کولمو څخه جوړ شوی دی؟
A.هاګس
B.تالن
C.کړچول
D.غوړپ",b,"the correct answer is c. کړچول (kor chol).

kor chol is a type of afghan dish made with noodles, vegetables, and sometimes meat or eggs. the noodles are typically cooked in a flavorful broth, and then mixed with the vegetables and other ingredients.",false
"یو ناروغ د شپږم رحم د رګونو په کچه د نخاعی نخاع ته زیان سره مات شوی غاړه لری.
A.دوی به د ژوند ملاتړ پرته تنفس نشی کولی.
B.دوی یوازې په ارامۍ سره تنفس کولی شی.
C.دا ناممکن دی چې په تنفس باندې د اغیزې وړاندوینه وکړئ.
D.تنفس به بې اغیزې وی.",b,"the correct answer is c. دا ناممکن دی چې په تنفس باندې د اغیزې وړاندوینه وکړئ.

the sentence is saying that it is impossible to predict the effect of breathing on the body.",false
"د دې وحشتناک فلمونو څخه کوم یو ترټولو ډیر سیکولونه رامینځته کړی؟
A.چیغې
B.د
C.هالووین
D.دجمعې په ۱۳مه",d,"what a thrilling question! 😄

the correct answer is c. هالووین (halloween).

the question is asking which of the options is the most frightening or terrifying. halloween is often associated with scary costumes, haunted houses, and other spooky activities, making it the most fitting answer. 🎃",false
"ایا په بهر کې د هیواد د وزیر ایکس لخوا ترسره شوی غیرقانونی وژنه یو عمل دی؟
A.دا ډول چلند یو عامه عمل دی (د قضاوت غیر معمولی)
B.دا ډول چلند هیڅکله معافیت نه ترلاسه کوی
C.دا ډول چلند یو شخصی عمل دی (د قانون قانون)
D.دا ډول چلند عامه عمل دی مګر د معافیت لخوا خوندی دی",c,"the correct answer is c.دا ډول چلند یو شخصی عمل دی (د قانون قانون)

the question is asking whether the action taken by the minister is a public or private action. the correct answer is that it is a private action, as it is an individual decision made by the minister, rather than a public policy decision.",true
"کوم عوامل به د ریوا لپاره د ""پل"" فکتور په توګه وګ consideredل شی کله چې له هند څخه متحده ایالاتو ته د حرکت په پام کې نیولو سره؟
A.بې وزلی
B.غوره دنده او لوړ معاشونه
C.د هند د کاسټ سیسټم
D.د هغې په سیمه کې تاوتریخوالی",b,"the correct answer is b. غوره دنده او لوړ معاشونه (higher salaries and better working conditions).

the passage mentions that the factors considered for the ""bridge"" factor include the movement from india to the united states, which is often associated with better working conditions and higher salaries.",true
"زده کونکی د نبات رنګ جلا کولو تمرین ترسره کوی چې دوی ته اړتیا لری د خونې په ښکته برخه کې د لږ مقدار ایټون سره د تړل شوی کروماتوګرافی چیمبر وکاروی. د ایټون لپاره د خوندیتوب خبرداریو کې دا بیان شامل دی چې دا د سترګو او پوټکی خارش دی او د اور لګیدونکی بخار لری. زده کونکی باید د تمرین په وخت کې کوم خوندیتوب احتیاط وکړی؟
A.د اور وژنې retardant دستکشو اچول ترڅو چیمبر د دود هود ته ورسوی که چیرې ایټون اور ونیسی
B.د رنګ جلا کولو مودې لپاره په تړل شوی ، تیاره کابینه کې د خونې ځای په ځای کول
C.د چرم دستکشې اغوستل او پوزه او خوله د ذرې ماسک سره پوښل
D.د عینکو او nitrile-ډول دستکشو اغوستل او د ټولو acetone کانتینرونو تړل ساتل",d,"the correct answer is c. د چرم دستکشې اغوستل او پوزه او خوله د ذرې ماسک سره پوښل.

this option is the most comprehensive and safe way to handle the situation. by wearing gloves and a mask, the individual can minimize their exposure to the chemicals and reduce the risk of injury or illness.",false
