Question,CorrectAnswer,GivenAnswer,Correct
"Waa kuwee suxuuntan laga sameeyaa xiidmaha doofaarka?
A.haku
B.chitlins
C.barwood
D.karbaash suey",b,"i think i can help you with that!

the correct answer is a. haku.

""haku"" is the somali word for ""poem"" or ""verse"".",false
re more context or clues about the puzzle, and i'll do my best to assist you.",true
"In gobolka waa 1999 filimka Magnolia 'set?
A.California
B.South Carolina
C.Joorjiya
D.Texas",a,"a question about the movie magnolia!

according to the movie, the setting is:

a. california

that's correct! the movie magnolia is set in california, specifically in the san fernando valley.",true
"Qofka bukaan ahi wuxuu qabaa qoorta oo jaban oo dhaawac ka soo gaaray laf dhabarta oo ah heerka lafdhabarta lixaad ee lafdhabarta afka ilmo-galeenka.
A.Iyagoon haysan taageero nololeed la'aantood way neefsan karaan.
B.Si cad wax u naxriisa (ugumana dagaan) waxna uma tarin.
C.Suurtagal maaha in la saadaaliyo saamayn ay neefsashada ku yeelan karto.
D.Neefsashada wax dhib ah ayey ku noqonaysaa.",b,"it seems like you're asking me to translate a text from somali to english. is that correct?

if so, i'd be happy to help you with the translation. please let me know if there's anything specific you'd like me to focus on during the translation process.",true
"Waa maxay afka hooyo ee actor Antonio Banderas?
A.Af-Isbaanish
B.Af-Ruush
C.Af-Jarmal
D.Faransiis",a,"a question about antonio banderas!

according to my knowledge, antonio banderas is of spanish nationality. therefore, the correct answer is:

a. af-isbaanish (spanish)",true
"Waa kuwee sifooyinka soo socda guud ahaan waafaqsan yihiin kufsiga taariikhda?
A.adeegsashada xoog xad-dhaaf ah
B.premeditated
C.galmo ku kacsan
D.ay ku lug leedahay adeegsashada hubka",c,"the correct answer is c. galmo ku kacsan.

the phrase ""galmo ku kacsan"" is a somali phrase that means ""premeditated"" or ""planned"".",true
"waa maxay luqadda rasmiga ah ee Nederland?
A.Af-Danish
B.Af-iswiidhis
C.Af-Jarmal
D.Af-Holandiis",d,"the correct answer is d. af-holandiis.

af-holandiis is the somali name for the dutch language.",true
"Dadka qaangaarka ah ee da'da dhexe waxay u muuqdaan inay ka badan yihiin _ in ka badan dadka waaweyn ama ka yar yar
A.generative
B.Neurotic
C.Agreeable
D.Caqiido",a,"i think i can help you with that!

the correct answer is d. caqiido.

the phrase ""dadka qaangaarka ah ee da'da dhexe waxay u muuqdaan"" is in somali, and it roughly translates to ""the people who are in a state of agreement are the ones who are in the middle"".

so, the correct answer is d. caqiido, which means ""agreement"" or ""consensus"".",false
"Waa kuwee filimadan argagaxa badani dhaliyay xigasha ugu badan?
A.Scream'
B.Jaws'
C.Halloween'
D.Jimcaha 13ka'",d,"a question about horror movies!

the correct answer is b. jaws.

jaws is a 1975 thriller film directed by steven spielberg, based on a novel of the same name by peter benchley. the film tells the story of a giant great white shark that terrorizes a beach town, and the efforts of a police chief, a marine biologist, and a fisherman to stop it.

i hope that helps!",false
"Fallacy of shaqsiyada laudatory waa nooc gaar ah oo
A.The fallacy shil
B.Qalalaase been ah
C.Dawarsan su'aasha
D.Sababaynta wareega ah",a,"i think i can help you with that!

the correct answer is c. dawarsan su'aasha.

the phrase ""fallacy of shaqsiyada laudatory waa nooc gaar ah oo"" is a somali phrase that roughly translates to ""the fallacy of excessive praise is a great mistake.""

so, the correct answer is c. dawarsan su'aasha, which means ""the fallacy of excessive praise"".",false
