Question,CorrectAnswer,GivenAnswer,Correct
"Cili nga këta filma horror solli më shumë vazhdime?
A.Bërtit'
B.Nofullat'
C.Hallouini'
D.E premtja e 13-të'",d,c,false
"Mutacionet që shkaktojnë achondroplasia ushtrojnë një efekt i cili mund të klasifikohet si:
A.Negative dominuese.
B.Fitimi i funksionit.
C.Haploinsufficiency.
D.Humbja e funksionit.",b,c.,false
"K-fold cross-validation është
A.Lineare në K
B.Quadratic në K
C.Kub në K
D.Eksponenciale në K",a,d.,false
"Identifikoni paraardhësin e propozimit të kushtëzuar të mëposhtëm: Bletët fitojnë ndeshjen e tyre të parë vetëm nëse ose Aardvarks ose Ketrushat nuk fitojnë ndeshjet e para.
A.Aardvarks nuk e fitojnë ndeshjen e tyre të parë.
B.Bletët fitojnë ndeshjen e tyre të parë.
C.Ketrushat nuk e fitojnë ndeshjen e tyre të parë.
D.Ose Aardvarkët ose Ketrushat nuk fitojnë ndeshjet e para.",b,b,true
"Një tank është në formën e një prizmi trekëndor. Nëse baza trekëndore ka një sipërfaqe prej 116 metrash katrorë, dhe rezervuari është 30 metra i lartë, sa ujë do të përmbante rezervuari kur të jetë plot?
A.1725 ft^3
B.1740 ft^3
C.3480 ft^3
D.6960 ft^3",c,c.3480 ft^3,true
"Një numër, i rrumbullakosur deri në njëmijë më të afërt, është 47.000. Cili numër mund të jetë numri që u rrumbullakos?
A.46,295
B.46,504
C.47,520
D.47,924",b,c.,false
" Ky mjet marketingu dhe komunikimi ofron një nxitje të drejtpërdrejtë ose një nxitje për të nxitur klientët të blejnë një produkt/shërbim:
A.Reklama.
B.Marrëdhëniet me publikun.
C.Promovimi i shitjeve.
D.Marketing direkt.",c,a,false
"Cila është gjuha zyrtare e Holandës?
A.Danisht
B.Suedisht
C.Gjermanisht
D.Holandisht",d,d,true
"Cili nga faktorët e mëposhtëm do të konsiderohej si një faktor ""tërheqje"" për Rivën kur do të shqyrtohej një lëvizje nga India në Shtetet e Bashkuara?
A.Varfëria e skajshme
B.Punë më e mirë dhe paga më të larta
C.Sistemi i kastës së Indisë
D.Dhuna në lagjen e saj",b,c,false
"Në ç'gjendje është vendosur filmi Magnolia' i vitit 1999?
A.Kalifornia
B.Karolina e Jugut
C.Gjeorgjia
D.Texas",a,b,false
"Tensioni i induktuar në një induktor përfaqësohet si,
A.produkt i induktimit dhe rrymës së tij nëpërmjet tij.
B.raporti i induktancës së tij me rrymën përmes tij.
C.raporti i rrymës përmes saj me induktimin e tij.
D.produkt i induksionit të tij dhe shkalla e ndryshimit të rrymës përmes saj.",d,b.,false
"Përcaktoni përqendrimin H+(aq) në fenol 1.0 M, C6H5OH, zgjidhje. (Ka për fenol është 1 × 10^-10.)
A.1 × 10^-10 M
B.1 × 10^-9 m
C.1 × 10^-3 M
D.1 × 10^-5 M",d,c,false
"Cila nga këto pjata është bërë nga zorrët e derrit?
A.Haggis
B.Chitlins
C.Grits
D.Chop Suey",b,a,false
"A është vrasja e paligjshme e kryer nga ministri i vendit X jashtë vendit një akt jure imperii apo gestionis jure?
A.Një sjellje e tillë është një akt publik (jure imperii)
B.Një sjellje e tillë nuk tërheq kurrë imunitet
C.Një sjellje e tillë është një akt privat (jure gestionis)
D.Një sjellje e tillë është një akt publik, por mbrohet nga imuniteti",c,c,true
"Autokorrelacioni negativ i mbetjeve tregohet nga cili nga më poshtë?
A.Një model ciklik në mbetjet
B.Një model i alternuar në mbetjet
C.Një rastësi e plotë në mbetjet
D.Mbetje që janë të gjitha afër zeros",b,d,false
"Çfarë është aktori Antonio Banderas gjuhë amtare?
A.Spanjisht
B.Rusisht
C.Gjermanisht
D.Frëngjisht",a,d.,false
"Krahasuar me partitë politike në vende të tilla si Anglia dhe Izraeli, që të dyja kanë sisteme shumëpartiake, partitë politike amerikane janë
A.Më pak të interesuar për të ndikuar në rezultatin e zgjedhjeve
B.Më pak të identifikuara qartë me ideologjitë politike të qëndrueshme
C.Më pak efektive në mbledhjen e parave nga mbështetësit politikë
D.më të aftë për të pasqyruar qëllimet e të gjithë zgjedhësve të tyre",b,a.,false
"Të rriturit e moshës së mesme duket se janë më shumë ____ se të rriturit më të vjetër ose më të rinj
A.Gjeneruese
B.Neurotike
C.E pranueshme
D.Të sigurt",a,c,false
"Cilat nga karakteristikat e mëposhtme janë përgjithësisht në përputhje me përdhunimin e datës?
A.Përdorimi i forcës së tepruar
B.Me paramendim
C.Të motivuar seksualisht
D.Përfshin përdorimin e një arme",c,c,true
"Fallacia e personalitetit lavdërues është një lloj specifik i
A.Pasojat e aksidentit
B.Dilema e rreme
C.Duke iu lutur pyetjes
D.Arsyetimi rrethor",a,e,false
"Cila nga këto e bën përcaktimin e lidhshmërisë evolucionare të llojeve të ndryshme bazuar në sekuencën e aminoacideve të proteinave homologe në përgjithësi më pak të sakta se përcaktimet e lidhshmërisë bazuar në sekuencat nukleotide të gjeneve homologe?
A.Mutacione të heshtura
B.Duplikimet e gjeneve
C.Ngjarjet e translokimit që ndryshojnë sekuencat e gjeneve
D.Kalimi mbi",a,d,false
