Question,CorrectAnswer,GivenAnswer,Correct
"1999-njy ýylda çykarylan «Magnoliýa» filmi haýsy döwletde setiri bar?
A.Kaliforniýa
B.Günorta Karolina
C.Gürjüstan
D.Teksas",a,"the correct answer is a. kaliforniýa.

the film ""magnolia"" (1999) was set in california, specifically in the san fernando valley.",true
"Aktor Antonio Banderasyň ene dili näme?
A.Ispan dili
B.Rus dili
C.Nemes dili
D.Fransuz dili",a,"the correct answer is a. ispan dili.

antonio banderas is a spanish actor, and spanish is his native language.",true
"Niderlandlaryň döwlet dili nähili?
A.Daniýa dili
B.Şwed dili
C.Nemes dili
D.Niderland dili",d,"the correct answer is d. niderland dili.

the question is asking about the official language of the netherlands. the answer is dutch, which is the official language of the netherlands.",true
"Bu sorag aşakdaky maglumatlary aňladýar.
""Totalitar režimleriň tohumlary betbagtlyk we isleg bilen terbiýelenilýär. Olar garyplygyň we dawa-jenjeliň erbet topragynda ýaýrap, ösýärler. Olar halkyň gowy ýaşamaga bolan umydy ölende, doly ösüşine ýetýärler. Şol umydy diri saklamaly... Wakalaryň çalt depginde aýlanylmagy uly jogapkärçilikleri üstüne ýükl... Kongresiň bu borçlara gönüden-göni duçar boljakdygyna ynanýaryn"".
Prezident Harri S. Truman, 1947 ý.
Ýokardaky parçada beýan edilen pikirler ABŞ-nyň taryhynda aşakdaky dowamlaryň haýsysyny gös-göni görkezýär?
A.Kongress bilen prezidentiň arasyndaky gatnaşyklar barada çekişmeler.
B.Durnuksyz ýagdaýlarda harby güýjüň ulanylmagy barada çekişmeler.
C.Dünýä işlerinde Türkmenistanyň orny barada çekişmeler.
D.Syýasy partiýalaryň dogry ornuna degişli jedeller.",c,"the correct answer is a. kongress bilen prezidentiň arasyndaky gatnaşyklar barada çekişmeler.

the passage describes the tensions between the president and congress regarding the country's debt and the president's authority to take action.",false
"Olaryň haýsysy gomoseksual proteinleriň amin turşusynyň yzygiderligi esasynda dürli jandarlaryň ewolýusion baglanyşygyny kesgitlemäge mümkinçilik berýär. Adatça, gomoseksual genleriň nukleotid yzygiderligi esasynda baglanyşygyň kesgitlemelerine garanyňda has az dogry?
A.Ümsüm mutasiýalar
B.Jinlik çogdawuklar
C.Gen yzygiderligini üýtgedýän translokasiýa hadysalary
D.Geçmek-aş",a,"the correct answer is c. gen yzygiderligini üýtgedýän translokasiýa hadysalary.

the question is asking about the possibility of genetic changes occurring in response to environmental factors. the correct answer is translocation, which is a type of genetic change that occurs when a segment of dna breaks off and attaches to a different location in the genome.",false
" Şu marketing we aragatnaşyk guraly müşderileri önüm/hyzmat satyn almaga höweslendirmek üçin gönüden-göni induktiw ýa-da höwes hödürleýär:
A.Reklama.
B.Jemgyýetçilik gatnaşyklary.
C.Satuwyň ýokary wezipesi.
D.Gönüden-göni marketing.",c,"based on the text, the correct answer is d. gönüden-göni marketing.

the text states that the marketing we are discussing is based on the concept of ""gönüden-göni"" which means ""from the heart to the heart"". this type of marketing focuses on building relationships and trust with customers, rather than just trying to sell them something.",false
"Negatiw galyndy awtokorrelyasy aşakdakylaryň haýsysy bilen görkezilýär?
A.Galyndylarda aýlawly nusga
B.Galyndylarda alternatiw nusga
C.Galyndylarda doly tötänleýinlik
D.Hemmesi nula golaý bolan galyndylar",b,"the correct answer is c. galyndylarda doly tötänleýinlik.

the question is asking about the negation of the galvanic response, which is a measure of the electrical activity of the body.

the correct answer is c, which means that the galvanic response is fully abolished.",false
"Induktorda döreýän toguň aňladylýandygy,
A.induktiwliginiň we onuň üsti bilen häzirki zamanyň önümi.
B.onuň üsti bilen induktiwliginiň häzirki zamana bolan gatnaşygy.
C.onuň üsti bilen häzirki zamanyň induktiwligine bolan gatnaşygy.
D.onuň üsti bilen häzirki zamanyň induktiwliginiň we üýtgemeginiň derejesi önümi.",d,"it seems like you're trying to express some complex ideas about induction and its relationship to the present moment. am i correct?

if so, i'd be happy to help you break down your ideas and express them in a clear and concise manner. just let me know how i can assist you!",true
"Bu gorkunç filmleriň haýsysy iň köp yzygiderlige sebäp boldy?
A.Gygyryp'
B.Äňler'
C.Halloweýn'
D.Anna güni 13-nji'",d,"the correct answer is c. halloweýn'.

the question is asking why the majority of horror movies are released around halloween. the correct answer is that halloween is a time when people are more likely to be in the mood for horror movies, and it is also a time when movie studios are more likely to release horror movies in order to capitalize on the holiday's popularity.",false
"Okuwçylar otagyň düýbünde az mukdarda asesony bolan ýapyk hromatografiýa otagyny ulanmagy talap edýän ösümlik pigmentini aýrasy boýunça türgenleşik geçirýärler. Acetone üçin howpsuzlyk duýduryşlaryna onuň göze we deriniň gahary gelip, ýanyp duran buharlaryň bardygyny aýtmak degişli. Aşakdakylaryň haýsy howpsuzlyk çäresini okuwçylar türgenleşip ýörkäler almaly?
A.Acetone ot ýaksa, otagy ýakymly ysly küýzä äkitmek üçin ot-retardant el çarpyşmalaryny geýmek
B.Pigment ibermek möhletine çenli palatany ýapyk, garaňsy kabinetde goýmak
C.Deri el çarpyşmalar geýip, burnuny we agzyny bölejik maskasy bilen örtmek
D.Gözýaşlary we nitril görnüşindäki el çarpyşmalary geýip, ähli acetone konteýnerleri ýapyk saklaýarlar",d,"based on the options provided, the correct answer is:

b. pigment ibermek möhletine çenli palatany ýapyk, garaňsy kabinetde goýmak

this option suggests that the acetone containers should be kept in a well-ventilated area, away from heat sources and open flames.",false
