Question,CorrectAnswer,GivenAnswer,Correct
"На що вказує негативна залишкова автокореляція?
A.Циклічна закономірність залишків
B.Чергування залишків
C.Повна випадковість залишків
D.Залишки, які близькі до нуля",b,d,false
"K-кратна перехресна валідація - це
A.лінійна в К
B.квадратична в К
C.кубічна в К
D.експоненціальна в K",a,b,false
"Помилка хвалебної особистості є специфічним типом
A.Помилка випадковості
B.Хибна дилема
C.Напрошується питання
D.Кругове міркування",a,d,false
"Мутації, що викликають ахондроплазію, надають ефект, який можна класифікувати як:
A.домінуючий негатив.
B.коефіцієнт підсилення функції.
C.гаплонедостатність.
D.втрата функцій.",b,b.,true
"Бак має форму трикутної призми. Якщо трикутна основа має площу 116 квадратних футів, а резервуар має висоту 30 футів, скільки води міститиме резервуар, коли він заповнений?
A.1725 футів^3
B.1740 футів^3
C.3480 футів^3
D.6960 футів^3",c,c.,true
"Визначте антецедент наступного умовного судження: «Бджоли» виграють свою першу партію тільки в тому випадку, якщо «Ардварки» або «Бурундуки» не виграють свої перші партії.
A.""Ардварки"" не виграють свою першу гру.
B.«Бджоли» виграли свою першу гру.
C.«Бурундуки» не виграють свою першу партію.
D.Або «Ардварки», або «Бурундуки» не виграють свої перші партії.",b,d,false
"У якому стані відбувається дія фільму «Магнолія» 1999 року?
A.Каліфорнія
B.Південна Кароліна
C.Грузія
D.Техас",a,a,true
"Яка офіційна мова Нідерландів?
A.Датська
B.Шведська
C.Німецька
D.Нідерландська",d,d.,true
" Цей маркетинговий та комунікаційний інструмент пропонує прямий стимул або стимул для заохочення клієнтів придбати продукт/послугу:
A.Реклама.
B.Зв'язки з громадськістю.
C.Стимулювання збуту.
D.Прямий маркетинг.",c,c,true
"Дорослі середнього віку виявляються більш _____, ніж старші або молодші
A.Генеративні
B.Невротичні
C.Згоден
D.Певних",a,c,false
"Який із цих фільмів жахів породив найбільше продовжень?
A.Крик'
B.Щелепи»
C.Хелловін
D.П'ятниця, 13-те'",d,b,false
"Визначте концентрацію H+(aq) у розчині 1,0 М фенолу, C6H5OH. (Ка для фенолу дорівнює 1 × 10^-10.)
A.1 × 10^-10 м
B.1 × 10^-9 м
C.1 × 10^-3 М
D.1 × 10^-5 м",d,c,false
"Який з наведених нижче факторів буде вважатися фактором «тяжіння» для Riva при розгляді питання про переїзд з Індії до Сполучених Штатів?
A.Жахлива бідність
B.Краща робота та вища заробітна плата
C.Кастова система Індії
D.Насильство в її районі",b,c,false
"Хворий отримує перелом шиї з пошкодженням спинного мозку на рівні шостого шийного хребця.
A.Вони не зможуть дихати без життєзабезпечення.
B.Вони зможуть тільки спокійно дихати.
C.Передбачити вплив на дихання неможливо.
D.Дихання не постраждає.",b,a,false
"Число, округлене до найближчої тисячі, дорівнює 47 000. Яке число може бути числом, яке було округлено?
A.46,295
B.46,504
C.47,520
D.47,924",b,"c.47,520",false
"Напруга, що індукується в котушці індуктивності, представляється як:
A.добуток його індуктивності і струму через нього.
B.відношення його індуктивності до струму через нього.
C.відношення струму через нього до його індуктивності.
D.добуток його індуктивності і швидкості зміни струму через нього.",d,a.,false
